 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8141E-03    2.7878E-03    2.6374E-05
  0.020    5.6334E-03    5.5806E-03    5.2872E-05
  0.030    8.4581E-03    8.3786E-03    7.9497E-05
  0.040    1.1288E-02    1.1182E-02    1.0625E-04
  0.050    1.4125E-02    1.3992E-02    1.3314E-04
  0.060    1.6967E-02    1.6807E-02    1.6017E-04
  0.070    1.9816E-02    1.9628E-02    1.8734E-04
  0.080    2.2671E-02    2.2456E-02    2.1465E-04
  0.090    2.5533E-02    2.5291E-02    2.4211E-04
  0.100    2.8403E-02    2.8133E-02    2.6973E-04
  0.110    3.1280E-02    3.0982E-02    2.9749E-04
  0.120    3.4164E-02    3.3839E-02    3.2542E-04
  0.130    3.7057E-02    3.6704E-02    3.5351E-04
  0.140    3.9958E-02    3.9576E-02    3.8176E-04
  0.150    4.2868E-02    4.2458E-02    4.1019E-04
  0.160    4.5786E-02    4.5348E-02    4.3879E-04
  0.170    4.8714E-02    4.8247E-02    4.6757E-04
  0.180    5.1652E-02    5.1155E-02    4.9654E-04
  0.190    5.4599E-02    5.4073E-02    5.2569E-04
  0.200    5.7556E-02    5.7001E-02    5.5504E-04
  0.210    6.0524E-02    5.9940E-02    5.8458E-04
  0.220    6.3503E-02    6.2889E-02    6.1433E-04
  0.230    6.6493E-02    6.5849E-02    6.4428E-04
  0.240    6.9495E-02    6.8821E-02    6.7445E-04
  0.250    7.2509E-02    7.1804E-02    7.0484E-04
  0.260    7.5535E-02    7.4800E-02    7.3544E-04
  0.270    7.8574E-02    7.7808E-02    7.6628E-04
  0.280    8.1627E-02    8.0829E-02    7.9736E-04
  0.290    8.4692E-02    8.3864E-02    8.2867E-04
  0.300    8.7772E-02    8.6912E-02    8.6023E-04
  0.310    9.0866E-02    8.9974E-02    8.9204E-04
  0.320    9.3976E-02    9.3052E-02    9.2412E-04
  0.330    9.7100E-02    9.6144E-02    9.5646E-04
  0.340    1.0024E-01    9.9252E-02    9.8907E-04
  0.350    1.0340E-01    1.0238E-01    1.0220E-03
  0.360    1.0657E-01    1.0552E-01    1.0551E-03
  0.370    1.0976E-01    1.0867E-01    1.0886E-03
  0.380    1.1297E-01    1.1185E-01    1.1224E-03
  0.390    1.1620E-01    1.1504E-01    1.1565E-03
  0.400    1.1944E-01    1.1825E-01    1.1909E-03
  0.410    1.2271E-01    1.2149E-01    1.2256E-03
  0.420    1.2600E-01    1.2474E-01    1.2607E-03
  0.430    1.2930E-01    1.2801E-01    1.2961E-03
  0.440    1.3263E-01    1.3130E-01    1.3319E-03
  0.450    1.3598E-01    1.3462E-01    1.3681E-03
  0.460    1.3936E-01    1.3795E-01    1.4046E-03
  0.470    1.4275E-01    1.4131E-01    1.4415E-03
  0.480    1.4618E-01    1.4470E-01    1.4788E-03
  0.490    1.4962E-01    1.4811E-01    1.5165E-03
  0.500    1.5309E-01    1.5154E-01    1.5546E-03
  0.510    1.5659E-01    1.5500E-01    1.5932E-03
  0.520    1.6012E-01    1.5849E-01    1.6322E-03
  0.530    1.6368E-01    1.6200E-01    1.6716E-03
  0.540    1.6726E-01    1.6555E-01    1.7116E-03
  0.550    1.7087E-01    1.6912E-01    1.7520E-03
  0.560    1.7452E-01    1.7273E-01    1.7929E-03
  0.570    1.7820E-01    1.7636E-01    1.8343E-03
  0.580    1.8191E-01    1.8003E-01    1.8763E-03
  0.590    1.8566E-01    1.8374E-01    1.9188E-03
  0.600    1.8944E-01    1.8747E-01    1.9619E-03
  0.610    1.9326E-01    1.9125E-01    2.0055E-03
  0.620    1.9711E-01    1.9506E-01    2.0498E-03
  0.630    2.0101E-01    1.9891E-01    2.0947E-03
  0.640    2.0494E-01    2.0280E-01    2.1402E-03
  0.650    2.0892E-01    2.0674E-01    2.1864E-03
  0.660    2.1295E-01    2.1071E-01    2.2333E-03
  0.670    2.1701E-01    2.1473E-01    2.2808E-03
  0.680    2.2113E-01    2.1880E-01    2.3291E-03
  0.690    2.2529E-01    2.2291E-01    2.3782E-03
  0.700    2.2951E-01    2.2708E-01    2.4281E-03
  0.710    2.3377E-01    2.3129E-01    2.4787E-03
  0.720    2.3809E-01    2.3556E-01    2.5302E-03
  0.730    2.4247E-01    2.3989E-01    2.5826E-03
  0.740    2.4690E-01    2.4427E-01    2.6359E-03
  0.750    2.5140E-01    2.4871E-01    2.6901E-03
  0.760    2.5596E-01    2.5321E-01    2.7453E-03
  0.770    2.6059E-01    2.5778E-01    2.8015E-03
  0.780    2.6528E-01    2.6242E-01    2.8588E-03
  0.790    2.7004E-01    2.6713E-01    2.9171E-03
  0.800    2.7488E-01    2.7191E-01    2.9766E-03
  0.810    2.7980E-01    2.7676E-01    3.0373E-03
  0.820    2.8480E-01    2.8170E-01    3.0992E-03
  0.830    2.8988E-01    2.8672E-01    3.1624E-03
  0.840    2.9505E-01    2.9182E-01    3.2269E-03
  0.850    3.0031E-01    2.9702E-01    3.2929E-03
  0.860    3.0567E-01    3.0231E-01    3.3603E-03
  0.870    3.1113E-01    3.0770E-01    3.4292E-03
  0.880    3.1669E-01    3.1319E-01    3.4998E-03
  0.890    3.2237E-01    3.1880E-01    3.5720E-03
  0.900    3.2816E-01    3.2451E-01    3.6460E-03
  0.910    3.3407E-01    3.3035E-01    3.7218E-03
  0.920    3.4011E-01    3.3631E-01    3.7995E-03
  0.930    3.4628E-01    3.4241E-01    3.8793E-03
  0.940    3.5260E-01    3.4864E-01    3.9612E-03
  0.950    3.5906E-01    3.5502E-01    4.0454E-03
  0.960    3.6568E-01    3.6155E-01    4.1320E-03
  0.970    3.7247E-01    3.6825E-01    4.2210E-03
  0.980    3.7943E-01    3.7512E-01    4.3127E-03
  0.990    3.8658E-01    3.8217E-01    4.4072E-03
  1.000    3.9392E-01    3.8941E-01    4.5046E-03
