 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8794E-03    2.8533E-03    2.6160E-05
  0.020    5.7643E-03    5.7119E-03    5.2441E-05
  0.030    8.6549E-03    8.5761E-03    7.8846E-05
  0.040    1.1551E-02    1.1446E-02    1.0538E-04
  0.050    1.4454E-02    1.4322E-02    1.3204E-04
  0.060    1.7363E-02    1.7204E-02    1.5884E-04
  0.070    2.0279E-02    2.0093E-02    1.8578E-04
  0.080    2.3201E-02    2.2988E-02    2.1286E-04
  0.090    2.6131E-02    2.5890E-02    2.4009E-04
  0.100    2.9068E-02    2.8800E-02    2.6746E-04
  0.110    3.2012E-02    3.1717E-02    2.9499E-04
  0.120    3.4965E-02    3.4642E-02    3.2267E-04
  0.130    3.7925E-02    3.7575E-02    3.5052E-04
  0.140    4.0894E-02    4.0516E-02    3.7853E-04
  0.150    4.3872E-02    4.3465E-02    4.0671E-04
  0.160    4.6859E-02    4.6424E-02    4.3506E-04
  0.170    4.9855E-02    4.9391E-02    4.6359E-04
  0.180    5.2861E-02    5.2368E-02    4.9231E-04
  0.190    5.5877E-02    5.5355E-02    5.2121E-04
  0.200    5.8903E-02    5.8352E-02    5.5030E-04
  0.210    6.1939E-02    6.1360E-02    5.7959E-04
  0.220    6.4987E-02    6.4378E-02    6.0908E-04
  0.230    6.8045E-02    6.7407E-02    6.3877E-04
  0.240    7.1116E-02    7.0447E-02    6.6868E-04
  0.250    7.4198E-02    7.3499E-02    6.9881E-04
  0.260    7.7293E-02    7.6564E-02    7.2915E-04
  0.270    8.0401E-02    7.9641E-02    7.5973E-04
  0.280    8.3521E-02    8.2731E-02    7.9054E-04
  0.290    8.6656E-02    8.5834E-02    8.2159E-04
  0.300    8.9804E-02    8.8951E-02    8.5288E-04
  0.310    9.2966E-02    9.2082E-02    8.8443E-04
  0.320    9.6144E-02    9.5227E-02    9.1623E-04
  0.330    9.9336E-02    9.8388E-02    9.4831E-04
  0.340    1.0254E-01    1.0156E-01    9.8065E-04
  0.350    1.0577E-01    1.0476E-01    1.0133E-03
  0.360    1.0901E-01    1.0796E-01    1.0462E-03
  0.370    1.1227E-01    1.1119E-01    1.0794E-03
  0.380    1.1555E-01    1.1443E-01    1.1129E-03
  0.390    1.1884E-01    1.1769E-01    1.1467E-03
  0.400    1.2215E-01    1.2097E-01    1.1808E-03
  0.410    1.2549E-01    1.2427E-01    1.2153E-03
  0.420    1.2884E-01    1.2759E-01    1.2501E-03
  0.430    1.3221E-01    1.3093E-01    1.2852E-03
  0.440    1.3561E-01    1.3429E-01    1.3207E-03
  0.450    1.3902E-01    1.3767E-01    1.3566E-03
  0.460    1.4246E-01    1.4107E-01    1.3928E-03
  0.470    1.4593E-01    1.4450E-01    1.4294E-03
  0.480    1.4941E-01    1.4795E-01    1.4665E-03
  0.490    1.5292E-01    1.5142E-01    1.5039E-03
  0.500    1.5646E-01    1.5492E-01    1.5417E-03
  0.510    1.6002E-01    1.5844E-01    1.5800E-03
  0.520    1.6361E-01    1.6200E-01    1.6187E-03
