 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8029E-03    2.7775E-03    2.5361E-05
  0.020    5.6112E-03    5.5604E-03    5.0852E-05
  0.030    8.4253E-03    8.3489E-03    7.6476E-05
  0.040    1.1245E-02    1.1143E-02    1.0224E-04
  0.050    1.4072E-02    1.3944E-02    1.2814E-04
  0.060    1.6905E-02    1.6750E-02    1.5418E-04
  0.070    1.9744E-02    1.9564E-02    1.8037E-04
  0.080    2.2591E-02    2.2384E-02    2.0671E-04
  0.090    2.5444E-02    2.5211E-02    2.3321E-04
  0.100    2.8306E-02    2.8046E-02    2.5986E-04
  0.110    3.1175E-02    3.0888E-02    2.8668E-04
  0.120    3.4052E-02    3.3739E-02    3.1366E-04
  0.130    3.6938E-02    3.6597E-02    3.4081E-04
  0.140    3.9832E-02    3.9464E-02    3.6813E-04
  0.150    4.2736E-02    4.2340E-02    3.9563E-04
  0.160    4.5648E-02    4.5225E-02    4.2331E-04
  0.170    4.8570E-02    4.8119E-02    4.5118E-04
  0.180    5.1503E-02    5.1023E-02    4.7923E-04
  0.190    5.4445E-02    5.3938E-02    5.0749E-04
  0.200    5.7398E-02    5.6862E-02    5.3594E-04
  0.210    6.0362E-02    5.9797E-02    5.6460E-04
  0.220    6.3337E-02    6.2744E-02    5.9346E-04
  0.230    6.6324E-02    6.5701E-02    6.2255E-04
  0.240    6.9323E-02    6.8671E-02    6.5185E-04
  0.250    7.2334E-02    7.1653E-02    6.8138E-04
  0.260    7.5358E-02    7.4647E-02    7.1114E-04
  0.270    7.8395E-02    7.7654E-02    7.4113E-04
  0.280    8.1446E-02    8.0674E-02    7.7137E-04
  0.290    8.4511E-02    8.3709E-02    8.0186E-04
  0.300    8.7590E-02    8.6757E-02    8.3260E-04
  0.310    9.0684E-02    8.9820E-02    8.6360E-04
  0.320    9.3793E-02    9.2898E-02    8.9488E-04
  0.330    9.6918E-02    9.5992E-02    9.2642E-04
  0.340    1.0006E-01    9.9102E-02    9.5825E-04
  0.350    1.0322E-01    1.0223E-01    9.9037E-04
  0.360    1.0639E-01    1.0537E-01    1.0228E-03
  0.370    1.0959E-01    1.0853E-01    1.0555E-03
  0.380    1.1280E-01    1.1171E-01    1.0885E-03
  0.390    1.1603E-01    1.1491E-01    1.1219E-03
  0.400    1.1928E-01    1.1812E-01    1.1556E-03
  0.410    1.2255E-01    1.2136E-01    1.1896E-03
  0.420    1.2584E-01    1.2462E-01    1.2239E-03
  0.430    1.2915E-01    1.2789E-01    1.2587E-03
  0.440    1.3249E-01    1.3119E-01    1.2938E-03
  0.450    1.3584E-01    1.3452E-01    1.3292E-03
  0.460    1.3923E-01    1.3786E-01    1.3651E-03
  0.470    1.4263E-01    1.4123E-01    1.4013E-03
  0.480    1.4606E-01    1.4462E-01    1.4380E-03
  0.490    1.4951E-01    1.4804E-01    1.4750E-03
  0.500    1.5300E-01    1.5148E-01    1.5125E-03
  0.510    1.5650E-01    1.5495E-01    1.5505E-03
  0.520    1.6004E-01    1.5845E-01    1.5889E-03
  0.530    1.6361E-01    1.6198E-01    1.6277E-03
  0.540    1.6720E-01    1.6554E-01    1.6671E-03
  0.550    1.7083E-01    1.6912E-01    1.7069E-03
  0.560    1.7449E-01    1.7274E-01    1.7473E-03
  0.570    1.7818E-01    1.7639E-01    1.7882E-03
  0.580    1.8190E-01    1.8007E-01    1.8296E-03
  0.590    1.8567E-01    1.8379E-01    1.8716E-03
  0.600    1.8946E-01    1.8755E-01    1.9141E-03
  0.610    1.9330E-01    1.9134E-01    1.9573E-03
  0.620    1.9717E-01    1.9517E-01    2.0011E-03
  0.630    2.0108E-01    1.9904E-01    2.0455E-03
  0.640    2.0504E-01    2.0295E-01    2.0905E-03
  0.650    2.0904E-01    2.0690E-01    2.1362E-03
  0.660    2.1308E-01    2.1090E-01    2.1827E-03
  0.670    2.1717E-01    2.1494E-01    2.2298E-03
  0.680    2.2130E-01    2.1903E-01    2.2777E-03
  0.690    2.2549E-01    2.2316E-01    2.3263E-03
  0.700    2.2973E-01    2.2735E-01    2.3758E-03
  0.710    2.3401E-01    2.3159E-01    2.4260E-03
  0.720    2.3836E-01    2.3588E-01    2.4772E-03
  0.730    2.4276E-01    2.4023E-01    2.5291E-03
  0.740    2.4722E-01    2.4464E-01    2.5820E-03
  0.750    2.5174E-01    2.4911E-01    2.6359E-03
  0.760    2.5633E-01    2.5364E-01    2.6907E-03
  0.770    2.6098E-01    2.5824E-01    2.7466E-03
  0.780    2.6570E-01    2.6290E-01    2.8035E-03
  0.790    2.7050E-01    2.6764E-01    2.8614E-03
  0.800    2.7537E-01    2.7244E-01    2.9206E-03
  0.810    2.8031E-01    2.7733E-01    2.9809E-03
  0.820    2.8534E-01    2.8230E-01    3.0424E-03
  0.830    2.9045E-01    2.8734E-01    3.1052E-03
  0.840    2.9565E-01    2.9248E-01    3.1693E-03
  0.850    3.0094E-01    2.9771E-01    3.2349E-03
  0.860    3.0633E-01    3.0303E-01    3.3018E-03
  0.870    3.1182E-01    3.0845E-01    3.3703E-03
  0.880    3.1741E-01    3.1397E-01    3.4403E-03
  0.890    3.2312E-01    3.1960E-01    3.5120E-03
  0.900    3.2893E-01    3.2535E-01    3.5854E-03
  0.910    3.3487E-01    3.3121E-01    3.6606E-03
  0.920    3.4094E-01    3.3720E-01    3.7376E-03
  0.930    3.4714E-01    3.4332E-01    3.8167E-03
  0.940    3.5348E-01    3.4958E-01    3.8978E-03
  0.950    3.5997E-01    3.5598E-01    3.9810E-03
  0.960    3.6661E-01    3.6254E-01    4.0665E-03
  0.970    3.7341E-01    3.6926E-01    4.1544E-03
  0.980    3.8039E-01    3.7614E-01    4.2448E-03
  0.990    3.8754E-01    3.8321E-01    4.3379E-03
  1.000    3.9489E-01    3.9046E-01    4.4337E-03
