 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7908E-03    2.7649E-03    2.5871E-05
  0.020    5.5871E-03    5.5352E-03    5.1866E-05
  0.030    8.3891E-03    8.3111E-03    7.7988E-05
  0.040    1.1197E-02    1.1093E-02    1.0424E-04
  0.050    1.4011E-02    1.3881E-02    1.3063E-04
  0.060    1.6832E-02    1.6675E-02    1.5715E-04
  0.070    1.9660E-02    1.9476E-02    1.8382E-04
  0.080    2.2494E-02    2.2283E-02    2.1063E-04
  0.090    2.5336E-02    2.5098E-02    2.3760E-04
  0.100    2.8185E-02    2.7920E-02    2.6471E-04
  0.110    3.1042E-02    3.0750E-02    2.9198E-04
  0.120    3.3907E-02    3.3587E-02    3.1941E-04
  0.130    3.6780E-02    3.6433E-02    3.4701E-04
  0.140    3.9662E-02    3.9287E-02    3.7478E-04
  0.150    4.2552E-02    4.2150E-02    4.0272E-04
  0.160    4.5452E-02    4.5021E-02    4.3084E-04
  0.170    4.8361E-02    4.7902E-02    4.5914E-04
  0.180    5.1280E-02    5.0793E-02    4.8763E-04
  0.190    5.4210E-02    5.3693E-02    5.1632E-04
  0.200    5.7149E-02    5.6604E-02    5.4520E-04
  0.210    6.0099E-02    5.9525E-02    5.7428E-04
  0.220    6.3061E-02    6.2457E-02    6.0357E-04
  0.230    6.6033E-02    6.5400E-02    6.3308E-04
  0.240    6.9018E-02    6.8355E-02    6.6280E-04
  0.250    7.2014E-02    7.1321E-02    6.9275E-04
  0.260    7.5023E-02    7.4300E-02    7.2293E-04
  0.270    7.8045E-02    7.7292E-02    7.5334E-04
  0.280    8.1080E-02    8.0296E-02    7.8400E-04
  0.290    8.4129E-02    8.3314E-02    8.1491E-04
  0.300    8.7192E-02    8.6346E-02    8.4607E-04
  0.310    9.0269E-02    8.9392E-02    8.7749E-04
  0.320    9.3361E-02    9.2452E-02    9.0919E-04
  0.330    9.6469E-02    9.5528E-02    9.4116E-04
  0.340    9.9592E-02    9.8619E-02    9.7341E-04
  0.350    1.0273E-01    1.0173E-01    1.0060E-03
  0.360    1.0589E-01    1.0485E-01    1.0388E-03
  0.370    1.0906E-01    1.0799E-01    1.0720E-03
  0.380    1.1225E-01    1.1115E-01    1.1054E-03
  0.390    1.1546E-01    1.1432E-01    1.1392E-03
  0.400    1.1869E-01    1.1752E-01    1.1733E-03
  0.410    1.2194E-01    1.2073E-01    1.2078E-03
  0.420    1.2521E-01    1.2397E-01    1.2426E-03
  0.430    1.2850E-01    1.2722E-01    1.2778E-03
  0.440    1.3181E-01    1.3049E-01    1.3134E-03
  0.450    1.3514E-01    1.3379E-01    1.3493E-03
  0.460    1.3849E-01    1.3711E-01    1.3856E-03
  0.470    1.4187E-01    1.4045E-01    1.4224E-03
  0.480    1.4527E-01    1.4381E-01    1.4595E-03
  0.490    1.4870E-01    1.4720E-01    1.4971E-03
  0.500    1.5215E-01    1.5061E-01    1.5351E-03
  0.510    1.5563E-01    1.5405E-01    1.5736E-03
  0.520    1.5913E-01    1.5752E-01    1.6125E-03
  0.530    1.6266E-01    1.6101E-01    1.6519E-03
  0.540    1.6622E-01    1.6453E-01    1.6918E-03
  0.550    1.6982E-01    1.6808E-01    1.7323E-03
  0.560    1.7344E-01    1.7166E-01    1.7732E-03
  0.570    1.7709E-01    1.7527E-01    1.8147E-03
  0.580    1.8077E-01    1.7892E-01    1.8568E-03
  0.590    1.8449E-01    1.8259E-01    1.8994E-03
  0.600    1.8825E-01    1.8631E-01    1.9426E-03
  0.610    1.9204E-01    1.9005E-01    1.9865E-03
  0.620    1.9586E-01    1.9383E-01    2.0310E-03
  0.630    1.9973E-01    1.9765E-01    2.0761E-03
  0.640    2.0363E-01    2.0151E-01    2.1219E-03
  0.650    2.0758E-01    2.0541E-01    2.1684E-03
  0.660    2.1157E-01    2.0935E-01    2.2156E-03
  0.670    2.1560E-01    2.1334E-01    2.2636E-03
  0.680    2.1968E-01    2.1737E-01    2.3123E-03
  0.690    2.2380E-01    2.2144E-01    2.3619E-03
  0.700    2.2798E-01    2.2556E-01    2.4123E-03
  0.710    2.3220E-01    2.2974E-01    2.4635E-03
  0.720    2.3648E-01    2.3396E-01    2.5156E-03
  0.730    2.4081E-01    2.3824E-01    2.5686E-03
  0.740    2.4520E-01    2.4257E-01    2.6226E-03
  0.750    2.4964E-01    2.4696E-01    2.6776E-03
  0.760    2.5415E-01    2.5142E-01    2.7336E-03
  0.770    2.5872E-01    2.5593E-01    2.7907E-03
  0.780    2.6336E-01    2.6051E-01    2.8488E-03
  0.790    2.6806E-01    2.6515E-01    2.9081E-03
  0.800    2.7284E-01    2.6987E-01    2.9686E-03
  0.810    2.7769E-01    2.7466E-01    3.0304E-03
  0.820    2.8261E-01    2.7952E-01    3.0934E-03
  0.830    2.8762E-01    2.8447E-01    3.1578E-03
  0.840    2.9272E-01    2.8949E-01    3.2236E-03
  0.850    2.9790E-01    2.9460E-01    3.2909E-03
  0.860    3.0317E-01    2.9981E-01    3.3596E-03
  0.870    3.0854E-01    3.0511E-01    3.4300E-03
  0.880    3.1400E-01    3.1050E-01    3.5020E-03
  0.890    3.1958E-01    3.1600E-01    3.5758E-03
  0.900    3.2526E-01    3.2161E-01    3.6514E-03
  0.910    3.3106E-01    3.2733E-01    3.7289E-03
  0.920    3.3698E-01    3.3317E-01    3.8084E-03
  0.930    3.4302E-01    3.3913E-01    3.8900E-03
  0.940    3.4920E-01    3.4523E-01    3.9738E-03
  0.950    3.5552E-01    3.5146E-01    4.0598E-03
  0.960    3.6198E-01    3.5784E-01    4.1484E-03
  0.970    3.6860E-01    3.6437E-01    4.2394E-03
  0.980    3.7539E-01    3.7106E-01    4.3332E-03
  0.990    3.8234E-01    3.7791E-01    4.4297E-03
  1.000    3.8948E-01    3.8495E-01    4.5293E-03
