 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7491E-03    2.7236E-03    2.5532E-05
  0.020    5.5040E-03    5.4528E-03    5.1197E-05
  0.030    8.2649E-03    8.1879E-03    7.6997E-05
  0.040    1.1032E-02    1.0929E-02    1.0294E-04
  0.050    1.3806E-02    1.3677E-02    1.2902E-04
  0.060    1.6586E-02    1.6431E-02    1.5524E-04
  0.070    1.9374E-02    1.9192E-02    1.8161E-04
  0.080    2.2169E-02    2.1960E-02    2.0813E-04
  0.090    2.4971E-02    2.4736E-02    2.3481E-04
  0.100    2.7781E-02    2.7519E-02    2.6165E-04
  0.110    3.0599E-02    3.0310E-02    2.8864E-04
  0.120    3.3426E-02    3.3110E-02    3.1580E-04
  0.130    3.6261E-02    3.5918E-02    3.4313E-04
  0.140    3.9105E-02    3.8734E-02    3.7064E-04
  0.150    4.1958E-02    4.1560E-02    3.9832E-04
  0.160    4.4821E-02    4.4395E-02    4.2617E-04
  0.170    4.7694E-02    4.7240E-02    4.5422E-04
  0.180    5.0577E-02    5.0094E-02    4.8245E-04
  0.190    5.3470E-02    5.2960E-02    5.1087E-04
  0.200    5.6375E-02    5.5835E-02    5.3950E-04
  0.210    5.9290E-02    5.8722E-02    5.6832E-04
  0.220    6.2217E-02    6.1620E-02    5.9735E-04
  0.230    6.5156E-02    6.4529E-02    6.2659E-04
  0.240    6.8107E-02    6.7451E-02    6.5605E-04
  0.250    7.1071E-02    7.0385E-02    6.8573E-04
  0.260    7.4048E-02    7.3332E-02    7.1564E-04
  0.270    7.7038E-02    7.6292E-02    7.4578E-04
  0.280    8.0042E-02    7.9266E-02    7.7616E-04
  0.290    8.3061E-02    8.2254E-02    8.0678E-04
  0.300    8.6094E-02    8.5256E-02    8.3765E-04
  0.310    8.9142E-02    8.8273E-02    8.6878E-04
  0.320    9.2206E-02    9.1306E-02    9.0016E-04
  0.330    9.5286E-02    9.4354E-02    9.3182E-04
  0.340    9.8382E-02    9.7418E-02    9.6375E-04
  0.350    1.0150E-01    1.0050E-01    9.9597E-04
  0.360    1.0463E-01    1.0360E-01    1.0285E-03
  0.370    1.0778E-01    1.0671E-01    1.0613E-03
  0.380    1.1094E-01    1.0985E-01    1.0944E-03
  0.390    1.1413E-01    1.1300E-01    1.1278E-03
  0.400    1.1734E-01    1.1618E-01    1.1615E-03
  0.410    1.2056E-01    1.1937E-01    1.1956E-03
  0.420    1.2381E-01    1.2258E-01    1.2300E-03
  0.430    1.2708E-01    1.2582E-01    1.2647E-03
  0.440    1.3038E-01    1.2908E-01    1.2999E-03
  0.450    1.3369E-01    1.3236E-01    1.3353E-03
  0.460    1.3703E-01    1.3566E-01    1.3712E-03
  0.470    1.4039E-01    1.3899E-01    1.4074E-03
  0.480    1.4378E-01    1.4234E-01    1.4440E-03
  0.490    1.4720E-01    1.4571E-01    1.4811E-03
  0.500    1.5064E-01    1.4912E-01    1.5185E-03
  0.510    1.5411E-01    1.5255E-01    1.5564E-03
  0.520    1.5760E-01    1.5601E-01    1.5948E-03
  0.530    1.6113E-01    1.5950E-01    1.6336E-03
  0.540    1.6469E-01    1.6302E-01    1.6728E-03
  0.550    1.6828E-01    1.6657E-01    1.7126E-03
  0.560    1.7190E-01    1.7015E-01    1.7528E-03
  0.570    1.7555E-01    1.7376E-01    1.7936E-03
  0.580    1.7924E-01    1.7741E-01    1.8349E-03
  0.590    1.8297E-01    1.8109E-01    1.8768E-03
  0.600    1.8673E-01    1.8481E-01    1.9192E-03
  0.610    1.9053E-01    1.8857E-01    1.9622E-03
  0.620    1.9437E-01    1.9237E-01    2.0058E-03
  0.630    1.9826E-01    1.9621E-01    2.0501E-03
  0.640    2.0218E-01    2.0008E-01    2.0949E-03
  0.650    2.0615E-01    2.0401E-01    2.1405E-03
  0.660    2.1016E-01    2.0797E-01    2.1867E-03
  0.670    2.1422E-01    2.1199E-01    2.2337E-03
  0.680    2.1833E-01    2.1605E-01    2.2814E-03
  0.690    2.2249E-01    2.2016E-01    2.3298E-03
  0.700    2.2670E-01    2.2432E-01    2.3791E-03
  0.710    2.3097E-01    2.2854E-01    2.4292E-03
  0.720    2.3529E-01    2.3281E-01    2.4801E-03
  0.730    2.3968E-01    2.3714E-01    2.5319E-03
  0.740    2.4412E-01    2.4154E-01    2.5847E-03
  0.750    2.4863E-01    2.4599E-01    2.6384E-03
  0.760    2.5320E-01    2.5051E-01    2.6931E-03
  0.770    2.5784E-01    2.5510E-01    2.7488E-03
  0.780    2.6256E-01    2.5975E-01    2.8056E-03
  0.790    2.6735E-01    2.6448E-01    2.8636E-03
  0.800    2.7222E-01    2.6929E-01    2.9227E-03
  0.810    2.7716E-01    2.7418E-01    2.9830E-03
  0.820    2.8220E-01    2.7915E-01    3.0446E-03
  0.830    2.8732E-01    2.8421E-01    3.1075E-03
  0.840    2.9253E-01    2.8936E-01    3.1719E-03
  0.850    2.9785E-01    2.9461E-01    3.2377E-03
  0.860    3.0326E-01    2.9996E-01    3.3050E-03
  0.870    3.0878E-01    3.0541E-01    3.3739E-03
  0.880    3.1441E-01    3.1097E-01    3.4444E-03
  0.890    3.2016E-01    3.1664E-01    3.5168E-03
