 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7697E-03    2.7443E-03    2.5471E-05
  0.020    5.5451E-03    5.4940E-03    5.1080E-05
  0.030    8.3263E-03    8.2495E-03    7.6832E-05
  0.040    1.1114E-02    1.1011E-02    1.0273E-04
  0.050    1.3907E-02    1.3779E-02    1.2877E-04
  0.060    1.6707E-02    1.6553E-02    1.5497E-04
  0.070    1.9515E-02    1.9333E-02    1.8132E-04
  0.080    2.2329E-02    2.2121E-02    2.0783E-04
  0.090    2.5150E-02    2.4915E-02    2.3450E-04
  0.100    2.7979E-02    2.7717E-02    2.6134E-04
  0.110    3.0816E-02    3.0527E-02    2.8834E-04
  0.120    3.3660E-02    3.3345E-02    3.1552E-04
  0.130    3.6514E-02    3.6171E-02    3.4287E-04
  0.140    3.9375E-02    3.9005E-02    3.7041E-04
  0.150    4.2246E-02    4.1848E-02    3.9813E-04
  0.160    4.5126E-02    4.4700E-02    4.2603E-04
  0.170    4.8015E-02    4.7561E-02    4.5413E-04
  0.180    5.0915E-02    5.0432E-02    4.8243E-04
  0.190    5.3824E-02    5.3313E-02    5.1093E-04
  0.200    5.6744E-02    5.6204E-02    5.3963E-04
  0.210    5.9674E-02    5.9105E-02    5.6855E-04
  0.220    6.2616E-02    6.2018E-02    5.9768E-04
  0.230    6.5569E-02    6.4942E-02    6.2703E-04
  0.240    6.8533E-02    6.7877E-02    6.5661E-04
  0.250    7.1510E-02    7.0824E-02    6.8641E-04
  0.260    7.4500E-02    7.3783E-02    7.1646E-04
  0.270    7.7502E-02    7.6755E-02    7.4674E-04
  0.280    8.0517E-02    7.9740E-02    7.7728E-04
  0.290    8.3547E-02    8.2739E-02    8.0806E-04
  0.300    8.6590E-02    8.5751E-02    8.3911E-04
  0.310    8.9648E-02    8.8777E-02    8.7042E-04
  0.320    9.2720E-02    9.1818E-02    9.0200E-04
  0.330    9.5808E-02    9.4875E-02    9.3386E-04
  0.340    9.8912E-02    9.7946E-02    9.6601E-04
  0.350    1.0203E-01    1.0103E-01    9.9845E-04
  0.360    1.0517E-01    1.0414E-01    1.0312E-03
  0.370    1.0832E-01    1.0726E-01    1.0642E-03
  0.380    1.1150E-01    1.1040E-01    1.0976E-03
  0.390    1.1469E-01    1.1355E-01    1.1313E-03
  0.400    1.1790E-01    1.1673E-01    1.1653E-03
  0.410    1.2112E-01    1.1992E-01    1.1997E-03
  0.420    1.2437E-01    1.2314E-01    1.2344E-03
  0.430    1.2764E-01    1.2637E-01    1.2694E-03
  0.440    1.3093E-01    1.2963E-01    1.3049E-03
  0.450    1.3425E-01    1.3290E-01    1.3407E-03
  0.460    1.3758E-01    1.3620E-01    1.3769E-03
  0.470    1.4094E-01    1.3952E-01    1.4135E-03
  0.480    1.4432E-01    1.4287E-01    1.4505E-03
  0.490    1.4773E-01    1.4624E-01    1.4879E-03
  0.500    1.5116E-01    1.4963E-01    1.5258E-03
  0.510    1.5462E-01    1.5306E-01    1.5641E-03
  0.520    1.5811E-01    1.5650E-01    1.6028E-03
  0.530    1.6162E-01    1.5998E-01    1.6421E-03
  0.540    1.6516E-01    1.6348E-01    1.6818E-03
  0.550    1.6873E-01    1.6701E-01    1.7220E-03
  0.560    1.7234E-01    1.7057E-01    1.7627E-03
  0.570    1.7597E-01    1.7417E-01    1.8040E-03
  0.580    1.7964E-01    1.7779E-01    1.8458E-03
  0.590    1.8334E-01    1.8145E-01    1.8881E-03
  0.600    1.8708E-01    1.8515E-01    1.9311E-03
  0.610    1.9085E-01    1.8888E-01    1.9746E-03
  0.620    1.9466E-01    1.9264E-01    2.0188E-03
  0.630    1.9851E-01    1.9644E-01    2.0636E-03
  0.640    2.0240E-01    2.0029E-01    2.1090E-03
  0.650    2.0633E-01    2.0417E-01    2.1551E-03
  0.660    2.1030E-01    2.0810E-01    2.2020E-03
  0.670    2.1432E-01    2.1207E-01    2.2495E-03
  0.680    2.1838E-01    2.1608E-01    2.2978E-03
  0.690    2.2249E-01    2.2014E-01    2.3469E-03
  0.700    2.2665E-01    2.2425E-01    2.3967E-03
  0.710    2.3086E-01    2.2841E-01    2.4474E-03
  0.720    2.3512E-01    2.3262E-01    2.4990E-03
  0.730    2.3944E-01    2.3689E-01    2.5514E-03
  0.740    2.4381E-01    2.4121E-01    2.6047E-03
  0.750    2.4825E-01    2.4559E-01    2.6590E-03
  0.760    2.5274E-01    2.5003E-01    2.7143E-03
  0.770    2.5730E-01    2.5453E-01    2.7706E-03
  0.780    2.6193E-01    2.5910E-01    2.8280E-03
  0.790    2.6662E-01    2.6373E-01    2.8865E-03
  0.800    2.7139E-01    2.6844E-01    2.9461E-03
  0.810    2.7623E-01    2.7322E-01    3.0069E-03
  0.820    2.8115E-01    2.7808E-01    3.0689E-03
  0.830    2.8615E-01    2.8302E-01    3.1323E-03
  0.840    2.9123E-01    2.8804E-01    3.1969E-03
  0.850    2.9641E-01    2.9314E-01    3.2630E-03
  0.860    3.0167E-01    2.9834E-01    3.3305E-03
  0.870    3.0704E-01    3.0364E-01    3.3996E-03
  0.880    3.1250E-01    3.0903E-01    3.4702E-03
  0.890    3.1807E-01    3.1453E-01    3.5424E-03
  0.900    3.2375E-01    3.2014E-01    3.6164E-03
  0.910    3.2955E-01    3.2586E-01    3.6922E-03
  0.920    3.3547E-01    3.3170E-01    3.7699E-03
  0.930    3.4152E-01    3.3767E-01    3.8495E-03
  0.940    3.4770E-01    3.4377E-01    3.9312E-03
  0.950    3.5402E-01    3.5001E-01    4.0151E-03
  0.960    3.6049E-01    3.5639E-01    4.1012E-03
  0.970    3.6712E-01    3.6293E-01    4.1897E-03
  0.980    3.7392E-01    3.6964E-01    4.2807E-03
  0.990    3.8088E-01    3.7651E-01    4.3743E-03
  1.000    3.8804E-01    3.8357E-01    4.4707E-03
