 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8165E-03    2.7909E-03    2.5548E-05
  0.020    5.6386E-03    5.5874E-03    5.1222E-05
  0.030    8.4665E-03    8.3895E-03    7.7028E-05
  0.040    1.1301E-02    1.1198E-02    1.0297E-04
  0.050    1.4141E-02    1.4012E-02    1.2904E-04
  0.060    1.6988E-02    1.6833E-02    1.5526E-04
  0.070    1.9842E-02    1.9660E-02    1.8162E-04
  0.080    2.2703E-02    2.2495E-02    2.0812E-04
  0.090    2.5572E-02    2.5337E-02    2.3478E-04
  0.100    2.8448E-02    2.8187E-02    2.6159E-04
  0.110    3.1333E-02    3.1044E-02    2.8856E-04
  0.120    3.4226E-02    3.3910E-02    3.1569E-04
  0.130    3.7127E-02    3.6784E-02    3.4298E-04
  0.140    4.0038E-02    3.9667E-02    3.7045E-04
  0.150    4.2957E-02    4.2559E-02    3.9809E-04
  0.160    4.5887E-02    4.5461E-02    4.2591E-04
  0.170    4.8826E-02    4.8372E-02    4.5391E-04
  0.180    5.1776E-02    5.1294E-02    4.8210E-04
  0.190    5.4736E-02    5.4225E-02    5.1048E-04
  0.200    5.7707E-02    5.7168E-02    5.3905E-04
  0.210    6.0690E-02    6.0122E-02    5.6783E-04
  0.220    6.3684E-02    6.3087E-02    5.9681E-04
  0.230    6.6690E-02    6.6064E-02    6.2600E-04
  0.240    6.9709E-02    6.9053E-02    6.5541E-04
  0.250    7.2740E-02    7.2055E-02    6.8504E-04
  0.260    7.5785E-02    7.5070E-02    7.1490E-04
  0.270    7.8844E-02    7.8099E-02    7.4499E-04
  0.280    8.1916E-02    8.1141E-02    7.7532E-04
  0.290    8.5004E-02    8.4198E-02    8.0589E-04
  0.300    8.8106E-02    8.7269E-02    8.3671E-04
  0.310    9.1223E-02    9.0355E-02    8.6779E-04
  0.320    9.4356E-02    9.3457E-02    8.9914E-04
  0.330    9.7506E-02    9.6575E-02    9.3075E-04
  0.340    1.0067E-01    9.9710E-02    9.6264E-04
  0.350    1.0386E-01    1.0286E-01    9.9481E-04
  0.360    1.0706E-01    1.0603E-01    1.0273E-03
  0.370    1.1028E-01    1.0922E-01    1.0600E-03
  0.380    1.1352E-01    1.1243E-01    1.0931E-03
  0.390    1.1678E-01    1.1565E-01    1.1265E-03
  0.400    1.2006E-01    1.1890E-01    1.1602E-03
  0.410    1.2336E-01    1.2216E-01    1.1942E-03
  0.420    1.2668E-01    1.2545E-01    1.2286E-03
  0.430    1.3002E-01    1.2876E-01    1.2633E-03
  0.440    1.3338E-01    1.3209E-01    1.2984E-03
  0.450    1.3677E-01    1.3544E-01    1.3339E-03
  0.460    1.4019E-01    1.3882E-01    1.3697E-03
  0.470    1.4362E-01    1.4222E-01    1.4060E-03
  0.480    1.4709E-01    1.4564E-01    1.4426E-03
  0.490    1.5058E-01    1.4910E-01    1.4796E-03
  0.500    1.5409E-01    1.5258E-01    1.5171E-03
  0.510    1.5764E-01    1.5608E-01    1.5550E-03
  0.520    1.6121E-01    1.5962E-01    1.5933E-03
  0.530    1.6481E-01    1.6318E-01    1.6321E-03
  0.540    1.6845E-01    1.6677E-01    1.6714E-03
