 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    7.2730E-04    6.9766E-04    2.9637E-05
  0.020    1.4678E-03    1.4084E-03    5.9377E-05
  0.030    2.2216E-03    2.1323E-03    8.9223E-05
  0.040    2.9889E-03    2.8697E-03    1.1918E-04
  0.050    3.7699E-03    3.6207E-03    1.4925E-04
  0.060    4.5648E-03    4.3854E-03    1.7943E-04
  0.070    5.3737E-03    5.1640E-03    2.0973E-04
  0.080    6.1969E-03    5.9568E-03    2.4016E-04
  0.090    7.0346E-03    6.7639E-03    2.7071E-04
  0.100    7.8869E-03    7.5855E-03    3.0139E-04
  0.110    8.7542E-03    8.4220E-03    3.3221E-04
  0.120    9.6365E-03    9.2733E-03    3.6316E-04
  0.130    1.0534E-02    1.0140E-02    3.9426E-04
  0.140    1.1447E-02    1.1022E-02    4.2550E-04
  0.150    1.2376E-02    1.1920E-02    4.5689E-04
  0.160    1.3322E-02    1.2833E-02    4.8843E-04
  0.170    1.4283E-02    1.3763E-02    5.2014E-04
  0.180    1.5261E-02    1.4709E-02    5.5200E-04
  0.190    1.6256E-02    1.5672E-02    5.8404E-04
  0.200    1.7268E-02    1.6652E-02    6.1625E-04
  0.210    1.8297E-02    1.7649E-02    6.4863E-04
  0.220    1.9344E-02    1.8663E-02    6.8120E-04
  0.230    2.0410E-02    1.9696E-02    7.1396E-04
  0.240    2.1493E-02    2.0746E-02    7.4690E-04
  0.250    2.2596E-02    2.1816E-02    7.8005E-04
  0.260    2.3717E-02    2.2904E-02    8.1340E-04
  0.270    2.4858E-02    2.4011E-02    8.4696E-04
  0.280    2.6018E-02    2.5138E-02    8.8074E-04
  0.290    2.7199E-02    2.6284E-02    9.1474E-04
  0.300    2.8400E-02    2.7451E-02    9.4897E-04
  0.310    2.9623E-02    2.8639E-02    9.8344E-04
  0.320    3.0866E-02    2.9848E-02    1.0181E-03
  0.330    3.2132E-02    3.1079E-02    1.0531E-03
  0.340    3.3419E-02    3.2331E-02    1.0883E-03
  0.350    3.4730E-02    3.3606E-02    1.1238E-03
  0.360    3.6064E-02    3.4904E-02    1.1595E-03
  0.370    3.7421E-02    3.6225E-02    1.1956E-03
  0.380    3.8802E-02    3.7571E-02    1.2319E-03
  0.390    4.0209E-02    3.8940E-02    1.2685E-03
  0.400    4.1640E-02    4.0335E-02    1.3054E-03
  0.410    4.3098E-02    4.1755E-02    1.3426E-03
  0.420    4.4582E-02    4.3202E-02    1.3802E-03
  0.430    4.6093E-02    4.4675E-02    1.4180E-03
  0.440    4.7631E-02    4.6175E-02    1.4563E-03
  0.450    4.9199E-02    4.7704E-02    1.4948E-03
  0.460    5.0795E-02    4.9261E-02    1.5338E-03
  0.470    5.2421E-02    5.0848E-02    1.5731E-03
  0.480    5.4077E-02    5.2464E-02    1.6128E-03
  0.490    5.5765E-02    5.4112E-02    1.6529E-03
  0.500    5.7485E-02    5.5791E-02    1.6934E-03
  0.510    5.9237E-02    5.7503E-02    1.7343E-03
  0.520    6.1024E-02    5.9248E-02    1.7757E-03
  0.530    6.2845E-02    6.1027E-02    1.8175E-03
  0.540    6.4702E-02    6.2842E-02    1.8598E-03
  0.550    6.6595E-02    6.4692E-02    1.9026E-03
  0.560    6.8526E-02    6.6580E-02    1.9458E-03
  0.570    7.0495E-02    6.8505E-02    1.9896E-03
  0.580    7.2504E-02    7.0470E-02    2.0339E-03
  0.590    7.4554E-02    7.2475E-02    2.0788E-03
  0.600    7.6646E-02    7.4522E-02    2.1242E-03
  0.610    7.8781E-02    7.6611E-02    2.1702E-03
  0.620    8.0960E-02    7.8743E-02    2.2168E-03
  0.630    8.3186E-02    8.0922E-02    2.2640E-03
  0.640    8.5458E-02    8.3146E-02    2.3119E-03
