 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8614E-03    2.8364E-03    2.5035E-05
  0.020    5.7282E-03    5.6780E-03    5.0195E-05
  0.030    8.6006E-03    8.5251E-03    7.5485E-05
  0.040    1.1479E-02    1.1378E-02    1.0091E-04
  0.050    1.4363E-02    1.4237E-02    1.2647E-04
  0.060    1.7254E-02    1.7102E-02    1.5216E-04
  0.070    2.0151E-02    1.9973E-02    1.7800E-04
  0.080    2.3056E-02    2.2852E-02    2.0399E-04
  0.090    2.5967E-02    2.5737E-02    2.3013E-04
  0.100    2.8886E-02    2.8629E-02    2.5642E-04
  0.110    3.1812E-02    3.1529E-02    2.8287E-04
  0.120    3.4747E-02    3.4437E-02    3.0948E-04
  0.130    3.7689E-02    3.7353E-02    3.3626E-04
  0.140    4.0641E-02    4.0277E-02    3.6321E-04
  0.150    4.3601E-02    4.3210E-02    3.9033E-04
  0.160    4.6570E-02    4.6152E-02    4.1763E-04
  0.170    4.9549E-02    4.9104E-02    4.4511E-04
  0.180    5.2537E-02    5.2065E-02    4.7278E-04
  0.190    5.5536E-02    5.5035E-02    5.0064E-04
  0.200    5.8545E-02    5.8017E-02    5.2871E-04
  0.210    6.1565E-02    6.1008E-02    5.5697E-04
  0.220    6.4596E-02    6.4011E-02    5.8544E-04
  0.230    6.7639E-02    6.7025E-02    6.1412E-04
  0.240    7.0694E-02    7.0051E-02    6.4302E-04
  0.250    7.3760E-02    7.3088E-02    6.7214E-04
  0.260    7.6840E-02    7.6138E-02    7.0150E-04
  0.270    7.9932E-02    7.9201E-02    7.3109E-04
  0.280    8.3038E-02    8.2277E-02    7.6091E-04
  0.290    8.6158E-02    8.5367E-02    7.9099E-04
  0.300    8.9292E-02    8.8471E-02    8.2132E-04
  0.310    9.2441E-02    9.1589E-02    8.5191E-04
  0.320    9.5605E-02    9.4723E-02    8.8277E-04
  0.330    9.8785E-02    9.7871E-02    9.1390E-04
  0.340    1.0198E-01    1.0104E-01    9.4531E-04
  0.350    1.0519E-01    1.0422E-01    9.7701E-04
  0.360    1.0842E-01    1.0741E-01    1.0090E-03
  0.370    1.1167E-01    1.1063E-01    1.0413E-03
  0.380    1.1494E-01    1.1386E-01    1.0739E-03
  0.390    1.1822E-01    1.1711E-01    1.1068E-03
  0.400    1.2152E-01    1.2038E-01    1.1401E-03
  0.410    1.2485E-01    1.2367E-01    1.1737E-03
  0.420    1.2819E-01    1.2698E-01    1.2077E-03
  0.430    1.3156E-01    1.3031E-01    1.2420E-03
