 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7870E-03    2.7610E-03    2.5984E-05
  0.020    5.5794E-03    5.5273E-03    5.2095E-05
  0.030    8.3775E-03    8.2991E-03    7.8337E-05
  0.040    1.1181E-02    1.1077E-02    1.0471E-04
  0.050    1.3992E-02    1.3860E-02    1.3123E-04
  0.060    1.6808E-02    1.6650E-02    1.5788E-04
  0.070    1.9631E-02    1.9446E-02    1.8468E-04
  0.080    2.2461E-02    2.2250E-02    2.1162E-04
  0.090    2.5298E-02    2.5060E-02    2.3872E-04
  0.100    2.8143E-02    2.7877E-02    2.6597E-04
  0.110    3.0995E-02    3.0702E-02    2.9338E-04
  0.120    3.3856E-02    3.3535E-02    3.2096E-04
  0.130    3.6724E-02    3.6376E-02    3.4870E-04
  0.140    3.9601E-02    3.9225E-02    3.7661E-04
  0.150    4.2487E-02    4.2083E-02    4.0469E-04
  0.160    4.5382E-02    4.4950E-02    4.3296E-04
  0.170    4.8287E-02    4.7826E-02    4.6141E-04
  0.180    5.1201E-02    5.0711E-02    4.9005E-04
  0.190    5.4126E-02    5.3607E-02    5.1888E-04
  0.200    5.7061E-02    5.6513E-02    5.4791E-04
  0.210    6.0007E-02    5.9429E-02    5.7714E-04
  0.220    6.2963E-02    6.2357E-02    6.0658E-04
  0.230    6.5932E-02    6.5295E-02    6.3623E-04
  0.240    6.8912E-02    6.8246E-02    6.6610E-04
  0.250    7.1904E-02    7.1208E-02    6.9619E-04
  0.260    7.4909E-02    7.4182E-02    7.2652E-04
  0.270    7.7927E-02    7.7170E-02    7.5708E-04
  0.280    8.0958E-02    8.0170E-02    7.8788E-04
  0.290    8.4003E-02    8.3184E-02    8.1893E-04
  0.300    8.7062E-02    8.6212E-02    8.5023E-04
  0.310    9.0136E-02    8.9254E-02    8.8180E-04
  0.320    9.3225E-02    9.2311E-02    9.1363E-04
  0.330    9.6330E-02    9.5384E-02    9.4573E-04
  0.340    9.9450E-02    9.8472E-02    9.7812E-04
  0.350    1.0259E-01    1.0158E-01    1.0108E-03
  0.360    1.0574E-01    1.0470E-01    1.0438E-03
  0.370    1.0891E-01    1.0784E-01    1.0770E-03
  0.380    1.1210E-01    1.1099E-01    1.1106E-03
  0.390    1.1531E-01    1.1417E-01    1.1445E-03
  0.400    1.1854E-01    1.1736E-01    1.1788E-03
  0.410    1.2178E-01    1.2057E-01    1.2134E-03
  0.420    1.2505E-01    1.2380E-01    1.2483E-03
  0.430    1.2834E-01    1.2706E-01    1.2836E-03
  0.440    1.3165E-01    1.3033E-01    1.3192E-03
  0.450    1.3498E-01    1.3363E-01    1.3553E-03
  0.460    1.3834E-01    1.3694E-01    1.3917E-03
  0.470    1.4171E-01    1.4029E-01    1.4285E-03
  0.480    1.4512E-01    1.4365E-01    1.4657E-03
  0.490    1.4855E-01    1.4704E-01    1.5034E-03
  0.500    1.5200E-01    1.5046E-01    1.5415E-03
  0.510    1.5548E-01    1.5390E-01    1.5800E-03
  0.520    1.5899E-01    1.5737E-01    1.6190E-03
  0.530    1.6252E-01    1.6086E-01    1.6585E-03
  0.540    1.6609E-01    1.6439E-01    1.6984E-03
  0.550    1.6968E-01    1.6795E-01    1.7389E-03
  0.560    1.7331E-01    1.7153E-01    1.7799E-03
  0.570    1.7697E-01    1.7515E-01    1.8214E-03
  0.580    1.8066E-01    1.7880E-01    1.8635E-03
  0.590    1.8439E-01    1.8248E-01    1.9061E-03
  0.600    1.8815E-01    1.8620E-01    1.9493E-03
  0.610    1.9195E-01    1.8995E-01    1.9932E-03
  0.620    1.9578E-01    1.9374E-01    2.0376E-03
  0.630    1.9966E-01    1.9757E-01    2.0827E-03
  0.640    2.0357E-01    2.0144E-01    2.1285E-03
  0.650    2.0753E-01    2.0535E-01    2.1750E-03
  0.660    2.1152E-01    2.0930E-01    2.2221E-03
  0.670    2.1557E-01    2.1330E-01    2.2700E-03
  0.680    2.1966E-01    2.1734E-01    2.3187E-03
  0.690    2.2380E-01    2.2143E-01    2.3682E-03
  0.700    2.2798E-01    2.2556E-01    2.4184E-03
  0.710    2.3222E-01    2.2975E-01    2.4696E-03
  0.720    2.3651E-01    2.3399E-01    2.5216E-03
  0.730    2.4086E-01    2.3828E-01    2.5745E-03
  0.740    2.4526E-01    2.4263E-01    2.6283E-03
  0.750    2.4972E-01    2.4704E-01    2.6831E-03
  0.760    2.5424E-01    2.5150E-01    2.7390E-03
  0.770    2.5883E-01    2.5603E-01    2.7958E-03
  0.780    2.6348E-01    2.6063E-01    2.8538E-03
  0.790    2.6820E-01    2.6529E-01    2.9129E-03
  0.800    2.7299E-01    2.7002E-01    2.9732E-03
  0.810    2.7786E-01    2.7483E-01    3.0348E-03
  0.820    2.8280E-01    2.7971E-01    3.0976E-03
  0.830    2.8783E-01    2.8467E-01    3.1617E-03
  0.840    2.9294E-01    2.8971E-01    3.2272E-03
  0.850    2.9813E-01    2.9484E-01    3.2942E-03
  0.860    3.0342E-01    3.0006E-01    3.3627E-03
  0.870    3.0880E-01    3.0537E-01    3.4327E-03
  0.880    3.1428E-01    3.1078E-01    3.5044E-03
  0.890    3.1986E-01    3.1629E-01    3.5779E-03
  0.900    3.2556E-01    3.2190E-01    3.6531E-03
  0.910    3.3136E-01    3.2763E-01    3.7302E-03
  0.920    3.3729E-01    3.3348E-01    3.8093E-03
  0.930    3.4334E-01    3.3945E-01    3.8905E-03
  0.940    3.4952E-01    3.4555E-01    3.9738E-03
  0.950    3.5584E-01    3.5178E-01    4.0595E-03
  0.960    3.6230E-01    3.5815E-01    4.1475E-03
  0.970    3.6891E-01    3.6467E-01    4.2380E-03
  0.980    3.7568E-01    3.7135E-01    4.3312E-03
  0.990    3.8262E-01    3.7820E-01    4.4272E-03
  1.000    3.8974E-01    3.8521E-01    4.5261E-03
