 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7791E-03    2.7535E-03    2.5529E-05
  0.020    5.5634E-03    5.5122E-03    5.1182E-05
  0.030    8.3533E-03    8.2763E-03    7.6963E-05
  0.040    1.1149E-02    1.1046E-02    1.0288E-04
  0.050    1.3951E-02    1.3822E-02    1.2892E-04
  0.060    1.6758E-02    1.6603E-02    1.5511E-04
  0.070    1.9573E-02    1.9391E-02    1.8143E-04
  0.080    2.2394E-02    2.2186E-02    2.0790E-04
  0.090    2.5222E-02    2.4987E-02    2.3452E-04
  0.100    2.8057E-02    2.7796E-02    2.6128E-04
  0.110    3.0899E-02    3.0611E-02    2.8821E-04
  0.120    3.3750E-02    3.3434E-02    3.1529E-04
  0.130    3.6608E-02    3.6265E-02    3.4254E-04
  0.140    3.9475E-02    3.9105E-02    3.6995E-04
  0.150    4.2350E-02    4.1952E-02    3.9753E-04
  0.160    4.5234E-02    4.4808E-02    4.2529E-04
  0.170    4.8126E-02    4.7673E-02    4.5322E-04
  0.180    5.1029E-02    5.0548E-02    4.8134E-04
  0.190    5.3941E-02    5.3431E-02    5.0965E-04
  0.200    5.6863E-02    5.6325E-02    5.3815E-04
  0.210    5.9795E-02    5.9228E-02    5.6685E-04
  0.220    6.2738E-02    6.2143E-02    5.9574E-04
  0.230    6.5692E-02    6.5067E-02    6.2485E-04
  0.240    6.8658E-02    6.8003E-02    6.5417E-04
  0.250    7.1635E-02    7.0951E-02    6.8370E-04
  0.260    7.4623E-02    7.3910E-02    7.1345E-04
  0.270    7.7625E-02    7.6881E-02    7.4344E-04
  0.280    8.0639E-02    7.9865E-02    7.7365E-04
  0.290    8.3666E-02    8.2862E-02    8.0411E-04
  0.300    8.6707E-02    8.5872E-02    8.3481E-04
  0.310    8.9761E-02    8.8896E-02    8.6576E-04
  0.320    9.2830E-02    9.1933E-02    8.9697E-04
  0.330    9.5914E-02    9.4986E-02    9.2844E-04
  0.340    9.9013E-02    9.8053E-02    9.6019E-04
  0.350    1.0213E-01    1.0114E-01    9.9221E-04
  0.360    1.0526E-01    1.0423E-01    1.0245E-03
  0.370    1.0841E-01    1.0735E-01    1.0571E-03
  0.380    1.1157E-01    1.1048E-01    1.0900E-03
  0.390    1.1475E-01    1.1363E-01    1.1232E-03
  0.400    1.1795E-01    1.1680E-01    1.1567E-03
  0.410    1.2117E-01    1.1998E-01    1.1906E-03
  0.420    1.2441E-01    1.2318E-01    1.2247E-03
  0.430    1.2767E-01    1.2641E-01    1.2593E-03
  0.440    1.3094E-01    1.2965E-01    1.2941E-03
  0.450    1.3424E-01    1.3291E-01    1.3293E-03
  0.460    1.3756E-01    1.3620E-01    1.3649E-03
  0.470    1.4091E-01    1.3951E-01    1.4009E-03
  0.480    1.4427E-01    1.4284E-01    1.4373E-03
  0.490    1.4766E-01    1.4619E-01    1.4740E-03
  0.500    1.5108E-01    1.4957E-01    1.5112E-03
  0.510    1.5452E-01    1.5297E-01    1.5488E-03
  0.520    1.5798E-01    1.5639E-01    1.5869E-03
  0.530    1.6147E-01    1.5985E-01    1.6253E-03
  0.540    1.6499E-01    1.6333E-01    1.6643E-03
  0.550    1.6854E-01    1.6683E-01    1.7037E-03
  0.560    1.7211E-01    1.7037E-01    1.7437E-03
  0.570    1.7572E-01    1.7394E-01    1.7841E-03
  0.580    1.7936E-01    1.7753E-01    1.8250E-03
  0.590    1.8303E-01    1.8116E-01    1.8665E-03
  0.600    1.8673E-01    1.8482E-01    1.9086E-03
  0.610    1.9047E-01    1.8852E-01    1.9512E-03
  0.620    1.9424E-01    1.9225E-01    1.9944E-03
  0.630    1.9805E-01    1.9601E-01    2.0382E-03
  0.640    2.0190E-01    1.9982E-01    2.0826E-03
  0.650    2.0579E-01    2.0366E-01    2.1277E-03
  0.660    2.0971E-01    2.0754E-01    2.1735E-03
