 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7875E-03    2.7610E-03    2.6486E-05
  0.020    5.5807E-03    5.5276E-03    5.3101E-05
  0.030    8.3801E-03    8.3003E-03    7.9846E-05
  0.040    1.1186E-02    1.1079E-02    1.0673E-04
  0.050    1.3998E-02    1.3864E-02    1.3374E-04
  0.060    1.6817E-02    1.6656E-02    1.6090E-04
  0.070    1.9644E-02    1.9455E-02    1.8820E-04
  0.080    2.2477E-02    2.2262E-02    2.1566E-04
  0.090    2.5318E-02    2.5075E-02    2.4326E-04
  0.100    2.8168E-02    2.7897E-02    2.7102E-04
  0.110    3.1025E-02    3.0726E-02    2.9894E-04
  0.120    3.3891E-02    3.3564E-02    3.2702E-04
  0.130    3.6766E-02    3.6411E-02    3.5527E-04
  0.140    3.9650E-02    3.9267E-02    3.8369E-04
  0.150    4.2544E-02    4.2131E-02    4.1228E-04
  0.160    4.5447E-02    4.5006E-02    4.4106E-04
  0.170    4.8360E-02    4.7890E-02    4.7001E-04
  0.180    5.1284E-02    5.0785E-02    4.9916E-04
  0.190    5.4218E-02    5.3690E-02    5.2850E-04
  0.200    5.7164E-02    5.6606E-02    5.5804E-04
  0.210    6.0121E-02    5.9533E-02    5.8778E-04
  0.220    6.3090E-02    6.2472E-02    6.1773E-04
  0.230    6.6071E-02    6.5423E-02    6.4790E-04
  0.240    6.9065E-02    6.8386E-02    6.7828E-04
  0.250    7.2071E-02    7.1362E-02    7.0888E-04
  0.260    7.5091E-02    7.4352E-02    7.3971E-04
  0.270    7.8125E-02    7.7354E-02    7.7078E-04
  0.280    8.1173E-02    8.0371E-02    8.0209E-04
  0.290    8.4236E-02    8.3402E-02    8.3364E-04
  0.300    8.7313E-02    8.6448E-02    8.6545E-04
  0.310    9.0407E-02    8.9509E-02    8.9751E-04
  0.320    9.3516E-02    9.2586E-02    9.2985E-04
  0.330    9.6642E-02    9.5679E-02    9.6245E-04
  0.340    9.9784E-02    9.8789E-02    9.9533E-04
  0.350    1.0294E-01    1.0192E-01    1.0285E-03
  0.360    1.0612E-01    1.0506E-01    1.0620E-03
  0.370    1.0932E-01    1.0822E-01    1.0957E-03
  0.380    1.1254E-01    1.1141E-01    1.1298E-03
  0.390    1.1577E-01    1.1461E-01    1.1642E-03
  0.400    1.1903E-01    1.1783E-01    1.1989E-03
  0.410    1.2230E-01    1.2107E-01    1.2340E-03
  0.420    1.2560E-01    1.2433E-01    1.2693E-03
  0.430    1.2892E-01    1.2762E-01    1.3051E-03
  0.440    1.3227E-01    1.3092E-01    1.3412E-03
  0.450    1.3563E-01    1.3426E-01    1.3777E-03
  0.460    1.3902E-01    1.3761E-01    1.4145E-03
  0.470    1.4244E-01    1.4099E-01    1.4518E-03
  0.480    1.4588E-01    1.4439E-01    1.4894E-03
  0.490    1.4935E-01    1.4782E-01    1.5275E-03
  0.500    1.5285E-01    1.5128E-01    1.5660E-03
  0.510    1.5637E-01    1.5477E-01    1.6049E-03
  0.520    1.5993E-01    1.5828E-01    1.6443E-03
  0.530    1.6351E-01    1.6183E-01    1.6842E-03
  0.540    1.6712E-01    1.6540E-01    1.7245E-03
  0.550    1.7077E-01    1.6901E-01    1.7653E-03
  0.560    1.7445E-01    1.7264E-01    1.8066E-03
  0.570    1.7817E-01    1.7632E-01    1.8485E-03
  0.580    1.8192E-01    1.8002E-01    1.8908E-03
  0.590    1.8570E-01    1.8377E-01    1.9337E-03
  0.600    1.8953E-01    1.8755E-01    1.9772E-03
  0.610    1.9339E-01    1.9137E-01    2.0213E-03
  0.620    1.9729E-01    1.9523E-01    2.0660E-03
  0.630    2.0124E-01    1.9913E-01    2.1113E-03
  0.640    2.0522E-01    2.0307E-01    2.1573E-03
  0.650    2.0926E-01    2.0705E-01    2.2039E-03
  0.660    2.1334E-01    2.1109E-01    2.2512E-03
  0.670    2.1746E-01    2.1516E-01    2.2992E-03
  0.680    2.2164E-01    2.1929E-01    2.3479E-03
  0.690    2.2587E-01    2.2347E-01    2.3974E-03
  0.700    2.3015E-01    2.2770E-01    2.4476E-03
  0.710    2.3449E-01    2.3199E-01    2.4987E-03
  0.720    2.3888E-01    2.3633E-01    2.5506E-03
  0.730    2.4334E-01    2.4073E-01    2.6034E-03
  0.740    2.4785E-01    2.4520E-01    2.6570E-03
  0.750    2.5243E-01    2.4972E-01    2.7116E-03
  0.760    2.5708E-01    2.5431E-01    2.7672E-03
  0.770    2.6180E-01    2.5897E-01    2.8237E-03
  0.780    2.6659E-01    2.6371E-01    2.8812E-03
  0.790    2.7145E-01    2.6851E-01    2.9399E-03
  0.800    2.7640E-01    2.7340E-01    2.9996E-03
  0.810    2.8142E-01    2.7836E-01    3.0605E-03
  0.820    2.8654E-01    2.8341E-01    3.1226E-03
  0.830    2.9174E-01    2.8855E-01    3.1859E-03
  0.840    2.9703E-01    2.9378E-01    3.2505E-03
  0.850    3.0242E-01    2.9910E-01    3.3165E-03
  0.860    3.0791E-01    3.0453E-01    3.3838E-03
  0.870    3.1351E-01    3.1006E-01    3.4527E-03
  0.880    3.1922E-01    3.1570E-01    3.5230E-03
  0.890    3.2505E-01    3.2146E-01    3.5949E-03
  0.900    3.3100E-01    3.2733E-01    3.6685E-03
  0.910    3.3708E-01    3.3333E-01    3.7438E-03
  0.920    3.4329E-01    3.3947E-01    3.8209E-03
  0.930    3.4964E-01    3.4574E-01    3.8999E-03
  0.940    3.5615E-01    3.5217E-01    3.9809E-03
  0.950    3.6281E-01    3.5874E-01    4.0640E-03
  0.960    3.6963E-01    3.6548E-01    4.1492E-03
  0.970    3.7663E-01    3.7239E-01    4.2367E-03
  0.980    3.8381E-01    3.7948E-01    4.3267E-03
  0.990    3.9118E-01    3.8676E-01    4.4191E-03
  1.000    3.9876E-01    3.9424E-01    4.5142E-03
