 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8541E-03    2.8277E-03    2.6414E-05
  0.020    5.7136E-03    5.6607E-03    5.2955E-05
  0.030    8.5788E-03    8.4992E-03    7.9624E-05
  0.040    1.1450E-02    1.1344E-02    1.0643E-04
  0.050    1.4327E-02    1.4194E-02    1.3336E-04
  0.060    1.7211E-02    1.7051E-02    1.6044E-04
  0.070    2.0101E-02    1.9914E-02    1.8766E-04
  0.080    2.2999E-02    2.2784E-02    2.1502E-04
  0.090    2.5903E-02    2.5660E-02    2.4254E-04
  0.100    2.8815E-02    2.8545E-02    2.7020E-04
  0.110    3.1734E-02    3.1436E-02    2.9803E-04
  0.120    3.4662E-02    3.4336E-02    3.2601E-04
  0.130    3.7598E-02    3.7243E-02    3.5416E-04
  0.140    4.0542E-02    4.0159E-02    3.8248E-04
  0.150    4.3495E-02    4.3084E-02    4.1096E-04
  0.160    4.6457E-02    4.6018E-02    4.3963E-04
  0.170    4.9429E-02    4.8960E-02    4.6848E-04
  0.180    5.2410E-02    5.1913E-02    4.9751E-04
  0.190    5.5402E-02    5.4875E-02    5.2673E-04
  0.200    5.8404E-02    5.7848E-02    5.5615E-04
  0.210    6.1417E-02    6.0831E-02    5.8576E-04
  0.220    6.4440E-02    6.3825E-02    6.1558E-04
  0.230    6.7476E-02    6.6830E-02    6.4561E-04
  0.240    7.0523E-02    6.9847E-02    6.7585E-04
  0.250    7.3582E-02    7.2876E-02    7.0631E-04
  0.260    7.6654E-02    7.5917E-02    7.3700E-04
  0.270    7.9739E-02    7.8971E-02    7.6792E-04
  0.280    8.2837E-02    8.2038E-02    7.9907E-04
  0.290    8.5949E-02    8.5118E-02    8.3047E-04
  0.300    8.9075E-02    8.8213E-02    8.6212E-04
  0.310    9.2216E-02    9.1322E-02    8.9402E-04
  0.320    9.5371E-02    9.4445E-02    9.2618E-04
  0.330    9.8543E-02    9.7584E-02    9.5861E-04
  0.340    1.0173E-01    1.0074E-01    9.9132E-04
  0.350    1.0493E-01    1.0391E-01    1.0243E-03
  0.360    1.0816E-01    1.0710E-01    1.0576E-03
  0.370    1.1139E-01    1.1030E-01    1.0912E-03
  0.380    1.1465E-01    1.1353E-01    1.1250E-03
  0.390    1.1793E-01    1.1677E-01    1.1592E-03
  0.400    1.2122E-01    1.2003E-01    1.1937E-03
  0.410    1.2453E-01    1.2331E-01    1.2286E-03
  0.420    1.2787E-01    1.2661E-01    1.2638E-03
  0.430    1.3122E-01    1.2993E-01    1.2993E-03
  0.440    1.3460E-01    1.3327E-01    1.3352E-03
  0.450    1.3800E-01    1.3663E-01    1.3714E-03
  0.460    1.4142E-01    1.4002E-01    1.4081E-03
  0.470    1.4487E-01    1.4343E-01    1.4451E-03
  0.480    1.4834E-01    1.4686E-01    1.4825E-03
