 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7004E-03    2.6745E-03    2.5957E-05
  0.020    5.4063E-03    5.3542E-03    5.2041E-05
  0.030    8.1177E-03    8.0394E-03    7.8255E-05
  0.040    1.0835E-02    1.0730E-02    1.0460E-04
  0.050    1.3558E-02    1.3427E-02    1.3108E-04
  0.060    1.6288E-02    1.6130E-02    1.5771E-04
  0.070    1.9024E-02    1.8839E-02    1.8447E-04
  0.080    2.1767E-02    2.1556E-02    2.1138E-04
  0.090    2.4517E-02    2.4278E-02    2.3844E-04
  0.100    2.7274E-02    2.7008E-02    2.6566E-04
  0.110    3.0039E-02    2.9746E-02    2.9303E-04
  0.120    3.2812E-02    3.2491E-02    3.2057E-04
  0.130    3.5592E-02    3.5244E-02    3.4827E-04
  0.140    3.8382E-02    3.8005E-02    3.7614E-04
  0.150    4.1179E-02    4.0775E-02    4.0418E-04
  0.160    4.3986E-02    4.3554E-02    4.3240E-04
  0.170    4.6802E-02    4.6341E-02    4.6081E-04
  0.180    4.9628E-02    4.9138E-02    4.8940E-04
  0.190    5.2463E-02    5.1945E-02    5.1818E-04
  0.200    5.5309E-02    5.4762E-02    5.4716E-04
  0.210    5.8165E-02    5.7588E-02    5.7635E-04
  0.220    6.1032E-02    6.0426E-02    6.0574E-04
  0.230    6.3910E-02    6.3275E-02    6.3534E-04
  0.240    6.6799E-02    6.6134E-02    6.6516E-04
  0.250    6.9701E-02    6.9006E-02    6.9520E-04
  0.260    7.2615E-02    7.1889E-02    7.2547E-04
  0.270    7.5541E-02    7.4785E-02    7.5598E-04
  0.280    7.8480E-02    7.7694E-02    7.8672E-04
  0.290    8.1433E-02    8.0616E-02    8.1772E-04
  0.300    8.4400E-02    8.3551E-02    8.4896E-04
  0.310    8.7381E-02    8.6500E-02    8.8047E-04
  0.320    9.0376E-02    8.9464E-02    9.1225E-04
  0.330    9.3386E-02    9.2442E-02    9.4429E-04
  0.340    9.6412E-02    9.5436E-02    9.7663E-04
  0.350    9.9454E-02    9.8445E-02    1.0092E-03
  0.360    1.0251E-01    1.0147E-01    1.0422E-03
  0.370    1.0559E-01    1.0451E-01    1.0754E-03
  0.380    1.0868E-01    1.0757E-01    1.1089E-03
  0.390    1.1179E-01    1.1065E-01    1.1428E-03
  0.400    1.1492E-01    1.1374E-01    1.1770E-03
  0.410    1.1807E-01    1.1686E-01    1.2115E-03
  0.420    1.2124E-01    1.1999E-01    1.2463E-03
  0.430    1.2443E-01    1.2314E-01    1.2816E-03
  0.440    1.2764E-01    1.2632E-01    1.3172E-03
  0.450    1.3087E-01    1.2951E-01    1.3532E-03
  0.460    1.3412E-01    1.3273E-01    1.3895E-03
  0.470    1.3739E-01    1.3597E-01    1.4263E-03
  0.480    1.4069E-01    1.3923E-01    1.4635E-03
  0.490    1.4402E-01    1.4251E-01    1.5011E-03
  0.500    1.4736E-01    1.4582E-01    1.5391E-03
  0.510    1.5074E-01    1.4916E-01    1.5776E-03
  0.520    1.5414E-01    1.5252E-01    1.6166E-03
  0.530    1.5756E-01    1.5591E-01    1.6560E-03
  0.540    1.6102E-01    1.5932E-01    1.6959E-03
  0.550    1.6450E-01    1.6277E-01    1.7364E-03
  0.560    1.6802E-01    1.6624E-01    1.7773E-03
  0.570    1.7156E-01    1.6974E-01    1.8188E-03
  0.580    1.7514E-01    1.7328E-01    1.8608E-03
  0.590    1.7875E-01    1.7685E-01    1.9035E-03
  0.600    1.8239E-01    1.8045E-01    1.9467E-03
  0.610    1.8607E-01    1.8408E-01    1.9905E-03
  0.620    1.8979E-01    1.8775E-01    2.0349E-03
  0.630    1.9354E-01    1.9146E-01    2.0800E-03
  0.640    1.9733E-01    1.9520E-01    2.1258E-03
  0.650    2.0116E-01    1.9899E-01    2.1722E-03
  0.660    2.0503E-01    2.0281E-01    2.2194E-03
  0.670    2.0895E-01    2.0668E-01    2.2673E-03
  0.680    2.1290E-01    2.1059E-01    2.3160E-03
  0.690    2.1691E-01    2.1454E-01    2.3655E-03
  0.700    2.2096E-01    2.1854E-01    2.4158E-03
  0.710    2.2506E-01    2.2259E-01    2.4670E-03
  0.720    2.2921E-01    2.2669E-01    2.5190E-03
  0.730    2.3341E-01    2.3084E-01    2.5720E-03
  0.740    2.3767E-01    2.3505E-01    2.6259E-03
  0.750    2.4199E-01    2.3931E-01    2.6808E-03
  0.760    2.4636E-01    2.4362E-01    2.7367E-03
  0.770    2.5079E-01    2.4800E-01    2.7937E-03
  0.780    2.5529E-01    2.5244E-01    2.8518E-03
  0.790    2.5985E-01    2.5694E-01    2.9110E-03
  0.800    2.6448E-01    2.6151E-01    2.9715E-03
  0.810    2.6918E-01    2.6615E-01    3.0332E-03
  0.820    2.7395E-01    2.7086E-01    3.0961E-03
  0.830    2.7880E-01    2.7564E-01    3.1604E-03
  0.840    2.8373E-01    2.8051E-01    3.2262E-03
  0.850    2.8875E-01    2.8545E-01    3.2934E-03
  0.860    2.9385E-01    2.9048E-01    3.3621E-03
  0.870    2.9904E-01    2.9560E-01    3.4324E-03
  0.880    3.0432E-01    3.0081E-01    3.5044E-03
  0.890    3.0970E-01    3.0612E-01    3.5781E-03
  0.900    3.1518E-01    3.1153E-01    3.6537E-03
  0.910    3.2077E-01    3.1704E-01    3.7311E-03
  0.920    3.2648E-01    3.2267E-01    3.8106E-03
  0.930    3.3230E-01    3.2840E-01    3.8922E-03
  0.940    3.3824E-01    3.3426E-01    3.9759E-03
  0.950    3.4431E-01    3.4025E-01    4.0620E-03
  0.960    3.5051E-01    3.4636E-01    4.1505E-03
  0.970    3.5686E-01    3.5261E-01    4.2415E-03
  0.980    3.6335E-01    3.5901E-01    4.3352E-03
  0.990    3.7000E-01    3.6556E-01    4.4318E-03
  1.000    3.7681E-01    3.7228E-01    4.5313E-03
