 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7033E-03    2.6785E-03    2.4763E-05
  0.020    5.4121E-03    5.3624E-03    4.9657E-05
  0.030    8.1266E-03    8.0519E-03    7.4685E-05
  0.040    1.0847E-02    1.0747E-02    9.9850E-05
  0.050    1.3574E-02    1.3449E-02    1.2516E-04
  0.060    1.6307E-02    1.6157E-02    1.5060E-04
  0.070    1.9047E-02    1.8871E-02    1.7620E-04
  0.080    2.1794E-02    2.1592E-02    2.0195E-04
  0.090    2.4549E-02    2.4321E-02    2.2785E-04
  0.100    2.7311E-02    2.7057E-02    2.5391E-04
  0.110    3.0080E-02    2.9800E-02    2.8013E-04
  0.120    3.2858E-02    3.2552E-02    3.0652E-04
  0.130    3.5645E-02    3.5312E-02    3.3308E-04
  0.140    3.8440E-02    3.8080E-02    3.5981E-04
  0.150    4.1244E-02    4.0857E-02    3.8672E-04
  0.160    4.4058E-02    4.3644E-02    4.1381E-04
  0.170    4.6881E-02    4.6440E-02    4.4108E-04
  0.180    4.9714E-02    4.9246E-02    4.6855E-04
  0.190    5.2558E-02    5.2062E-02    4.9622E-04
  0.200    5.5412E-02    5.4888E-02    5.2408E-04
  0.210    5.8277E-02    5.7725E-02    5.5215E-04
  0.220    6.1154E-02    6.0574E-02    5.8044E-04
  0.230    6.4043E-02    6.3434E-02    6.0893E-04
  0.240    6.6943E-02    6.6306E-02    6.3765E-04
  0.250    6.9856E-02    6.9190E-02    6.6659E-04
  0.260    7.2782E-02    7.2087E-02    6.9577E-04
  0.270    7.5722E-02    7.4997E-02    7.2518E-04
  0.280    7.8675E-02    7.7920E-02    7.5484E-04
  0.290    8.1642E-02    8.0857E-02    7.8475E-04
  0.300    8.4624E-02    8.3809E-02    8.1491E-04
  0.310    8.7621E-02    8.6776E-02    8.4534E-04
  0.320    9.0634E-02    8.9758E-02    8.7603E-04
  0.330    9.3662E-02    9.2755E-02    9.0700E-04
  0.340    9.6707E-02    9.5769E-02    9.3826E-04
  0.350    9.9770E-02    9.8800E-02    9.6980E-04
  0.360    1.0285E-01    1.0185E-01    1.0016E-03
  0.370    1.0595E-01    1.0491E-01    1.0338E-03
  0.380    1.0906E-01    1.0800E-01    1.0663E-03
  0.390    1.1220E-01    1.1110E-01    1.0990E-03
  0.400    1.1535E-01    1.1422E-01    1.1322E-03
  0.410    1.1853E-01    1.1736E-01    1.1656E-03
  0.420    1.2173E-01    1.2053E-01    1.1994E-03
  0.430    1.2495E-01    1.2371E-01    1.2336E-03
  0.440    1.2819E-01    1.2692E-01    1.2681E-03
  0.450    1.3145E-01    1.3015E-01    1.3030E-03
  0.460    1.3474E-01    1.3340E-01    1.3384E-03
  0.470    1.3805E-01    1.3668E-01    1.3741E-03
  0.480    1.4139E-01    1.3998E-01    1.4102E-03
  0.490    1.4475E-01    1.4331E-01    1.4467E-03
  0.500    1.4814E-01    1.4666E-01    1.4837E-03
  0.510    1.5156E-01    1.5004E-01    1.5211E-03
  0.520    1.5501E-01    1.5345E-01    1.5590E-03
  0.530    1.5849E-01    1.5689E-01    1.5974E-03
  0.540    1.6200E-01    1.6036E-01    1.6363E-03
  0.550    1.6554E-01    1.6386E-01    1.6756E-03
  0.560    1.6911E-01    1.6739E-01    1.7155E-03
  0.570    1.7272E-01    1.7096E-01    1.7559E-03
  0.580    1.7636E-01    1.7456E-01    1.7969E-03
  0.590    1.8004E-01    1.7820E-01    1.8385E-03
  0.600    1.8375E-01    1.8187E-01    1.8806E-03
  0.610    1.8750E-01    1.8558E-01    1.9234E-03
  0.620    1.9130E-01    1.8933E-01    1.9668E-03
  0.630    1.9513E-01    1.9312E-01    2.0108E-03
  0.640    1.9901E-01    1.9696E-01    2.0555E-03
  0.650    2.0294E-01    2.0084E-01    2.1009E-03
  0.660    2.0691E-01    2.0476E-01    2.1471E-03
  0.670    2.1092E-01    2.0873E-01    2.1939E-03
  0.680    2.1499E-01    2.1275E-01    2.2416E-03
  0.690    2.1911E-01    2.1682E-01    2.2900E-03
  0.700    2.2328E-01    2.2094E-01    2.3393E-03
  0.710    2.2751E-01    2.2512E-01    2.3894E-03
  0.720    2.3180E-01    2.2936E-01    2.4404E-03
  0.730    2.3614E-01    2.3365E-01    2.4923E-03
  0.740    2.4055E-01    2.3801E-01    2.5452E-03
  0.750    2.4503E-01    2.4243E-01    2.5991E-03
  0.760    2.4957E-01    2.4692E-01    2.6540E-03
  0.770    2.5418E-01    2.5147E-01    2.7100E-03
  0.780    2.5887E-01    2.5610E-01    2.7671E-03
  0.790    2.6364E-01    2.6081E-01    2.8254E-03
  0.800    2.6848E-01    2.6559E-01    2.8849E-03
  0.810    2.7341E-01    2.7046E-01    2.9456E-03
  0.820    2.7842E-01    2.7542E-01    3.0077E-03
  0.830    2.8353E-01    2.8046E-01    3.0711E-03
  0.840    2.8873E-01    2.8560E-01    3.1360E-03
  0.850    2.9404E-01    2.9084E-01    3.2023E-03
  0.860    2.9945E-01    2.9618E-01    3.2703E-03
  0.870    3.0497E-01    3.0163E-01    3.3398E-03
  0.880    3.1060E-01    3.0719E-01    3.4111E-03
  0.890    3.1636E-01    3.1287E-01    3.4842E-03
  0.900    3.2224E-01    3.1868E-01    3.5591E-03
  0.910    3.2826E-01    3.2463E-01    3.6360E-03
  0.920    3.3442E-01    3.3071E-01    3.7150E-03
  0.930    3.4073E-01    3.3694E-01    3.7962E-03
  0.940    3.4720E-01    3.4332E-01    3.8796E-03
  0.950    3.5383E-01    3.4987E-01    3.9655E-03
  0.960    3.6064E-01    3.5659E-01    4.0539E-03
  0.970    3.6763E-01    3.6349E-01    4.1449E-03
  0.980    3.7482E-01    3.7058E-01    4.2388E-03
  0.990    3.8222E-01    3.7788E-01    4.3357E-03
  1.000    3.8984E-01    3.8540E-01    4.4357E-03
