 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8865E-03    2.8597E-03    2.6780E-05
  0.020    5.7784E-03    5.7247E-03    5.3695E-05
  0.030    8.6761E-03    8.5953E-03    8.0750E-05
  0.040    1.1580E-02    1.1472E-02    1.0795E-04
  0.050    1.4489E-02    1.4354E-02    1.3529E-04
  0.060    1.7406E-02    1.7243E-02    1.6278E-04
  0.070    2.0329E-02    2.0138E-02    1.9042E-04
  0.080    2.3259E-02    2.3040E-02    2.1821E-04
  0.090    2.6196E-02    2.5950E-02    2.4616E-04
  0.100    2.9141E-02    2.8866E-02    2.7428E-04
  0.110    3.2093E-02    3.1791E-02    3.0256E-04
  0.120    3.5054E-02    3.4723E-02    3.3101E-04
  0.130    3.8023E-02    3.7663E-02    3.5963E-04
  0.140    4.1001E-02    4.0612E-02    3.8843E-04
  0.150    4.3988E-02    4.3570E-02    4.1741E-04
  0.160    4.6984E-02    4.6537E-02    4.4657E-04
  0.170    4.9989E-02    4.9513E-02    4.7593E-04
  0.180    5.3005E-02    5.2500E-02    5.0548E-04
  0.190    5.6031E-02    5.5496E-02    5.3522E-04
  0.200    5.9068E-02    5.8502E-02    5.6517E-04
  0.210    6.2115E-02    6.1520E-02    5.9533E-04
  0.220    6.5174E-02    6.4548E-02    6.2570E-04
  0.230    6.8245E-02    6.7589E-02    6.5629E-04
  0.240    7.1328E-02    7.0640E-02    6.8710E-04
  0.250    7.4423E-02    7.3705E-02    7.1814E-04
  0.260    7.7531E-02    7.6781E-02    7.4942E-04
  0.270    8.0652E-02    7.9871E-02    7.8093E-04
  0.280    8.3787E-02    8.2974E-02    8.1269E-04
  0.290    8.6936E-02    8.6091E-02    8.4470E-04
  0.300    9.0100E-02    8.9223E-02    8.7697E-04
  0.310    9.3278E-02    9.2369E-02    9.0950E-04
  0.320    9.6472E-02    9.5530E-02    9.4230E-04
  0.330    9.9683E-02    9.8707E-02    9.7539E-04
  0.340    1.0291E-01    1.0190E-01    1.0088E-03
  0.350    1.0615E-01    1.0511E-01    1.0424E-03
  0.360    1.0941E-01    1.0834E-01    1.0764E-03
  0.370    1.1269E-01    1.1158E-01    1.1106E-03
  0.380    1.1599E-01    1.1484E-01    1.1452E-03
  0.390    1.1931E-01    1.1813E-01    1.1801E-03
  0.400    1.2264E-01    1.2143E-01    1.2154E-03
  0.410    1.2600E-01    1.2475E-01    1.2510E-03
  0.420    1.2938E-01    1.2809E-01    1.2869E-03
  0.430    1.3277E-01    1.3145E-01    1.3232E-03
  0.440    1.3620E-01    1.3484E-01    1.3599E-03
  0.450    1.3964E-01    1.3824E-01    1.3969E-03
  0.460    1.4311E-01    1.4167E-01    1.4344E-03
  0.470    1.4660E-01    1.4513E-01    1.4722E-03
  0.480    1.5012E-01    1.4861E-01    1.5105E-03
  0.490    1.5366E-01    1.5211E-01    1.5492E-03
  0.500    1.5723E-01    1.5564E-01    1.5883E-03
  0.510    1.6083E-01    1.5920E-01    1.6279E-03
  0.520    1.6446E-01    1.6279E-01    1.6680E-03
  0.530    1.6811E-01    1.6640E-01    1.7085E-03
  0.540    1.7180E-01    1.7005E-01    1.7495E-03
  0.550    1.7552E-01    1.7372E-01    1.7911E-03
  0.560    1.7927E-01    1.7743E-01    1.8332E-03
  0.570    1.8305E-01    1.8117E-01    1.8758E-03
  0.580    1.8687E-01    1.8495E-01    1.9190E-03
  0.590    1.9072E-01    1.8876E-01    1.9627E-03
  0.600    1.9461E-01    1.9260E-01    2.0071E-03
  0.610    1.9854E-01    1.9649E-01    2.0521E-03
  0.620    2.0251E-01    2.0041E-01    2.0977E-03
  0.630    2.0652E-01    2.0438E-01    2.1440E-03
  0.640    2.1057E-01    2.0838E-01    2.1910E-03
  0.650    2.1467E-01    2.1243E-01    2.2387E-03
  0.660    2.1881E-01    2.1652E-01    2.2871E-03
  0.670    2.2300E-01    2.2066E-01    2.3363E-03
  0.680    2.2723E-01    2.2485E-01    2.3862E-03
