 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.9025E-03    2.8764E-03    2.6147E-05
  0.020    5.8107E-03    5.7583E-03    5.2421E-05
  0.030    8.7248E-03    8.6460E-03    7.8826E-05
  0.040    1.1645E-02    1.1540E-02    1.0537E-04
  0.050    1.4572E-02    1.4440E-02    1.3204E-04
  0.060    1.7505E-02    1.7346E-02    1.5886E-04
  0.070    2.0445E-02    2.0259E-02    1.8583E-04
  0.080    2.3393E-02    2.3180E-02    2.1294E-04
  0.090    2.6347E-02    2.6107E-02    2.4021E-04
  0.100    2.9310E-02    2.9042E-02    2.6763E-04
  0.110    3.2281E-02    3.1986E-02    2.9521E-04
  0.120    3.5260E-02    3.4937E-02    3.2296E-04
  0.130    3.8247E-02    3.7896E-02    3.5088E-04
  0.140    4.1244E-02    4.0865E-02    3.7897E-04
  0.150    4.4250E-02    4.3842E-02    4.0724E-04
  0.160    4.7265E-02    4.6829E-02    4.3569E-04
  0.170    5.0290E-02    4.9826E-02    4.6433E-04
  0.180    5.3326E-02    5.2832E-02    4.9315E-04
  0.190    5.6371E-02    5.5849E-02    5.2218E-04
  0.200    5.9428E-02    5.8877E-02    5.5141E-04
  0.210    6.2496E-02    6.1915E-02    5.8084E-04
  0.220    6.5576E-02    6.4965E-02    6.1049E-04
  0.230    6.8667E-02    6.8027E-02    6.4035E-04
  0.240    7.1771E-02    7.1101E-02    6.7044E-04
  0.250    7.4888E-02    7.4187E-02    7.0075E-04
  0.260    7.8018E-02    7.7286E-02    7.3130E-04
  0.270    8.1161E-02    8.0399E-02    7.6210E-04
  0.280    8.4318E-02    8.3525E-02    7.9313E-04
  0.290    8.7490E-02    8.6665E-02    8.2442E-04
  0.300    9.0676E-02    8.9820E-02    8.5598E-04
  0.310    9.3877E-02    9.2990E-02    8.8779E-04
  0.320    9.7094E-02    9.6175E-02    9.1989E-04
  0.330    1.0033E-01    9.9376E-02    9.5226E-04
  0.340    1.0358E-01    1.0259E-01    9.8492E-04
  0.350    1.0685E-01    1.0583E-01    1.0179E-03
  0.360    1.1013E-01    1.0908E-01    1.0511E-03
  0.370    1.1343E-01    1.1235E-01    1.0847E-03
  0.380    1.1675E-01    1.1564E-01    1.1186E-03
  0.390    1.2010E-01    1.1894E-01    1.1528E-03
  0.400    1.2346E-01    1.2227E-01    1.1874E-03
  0.410    1.2684E-01    1.2562E-01    1.2223E-03
  0.420    1.3024E-01    1.2898E-01    1.2576E-03
  0.430    1.3366E-01    1.3237E-01    1.2932E-03
  0.440    1.3711E-01    1.3578E-01    1.3292E-03
  0.450    1.4058E-01    1.3921E-01    1.3656E-03
  0.460    1.4407E-01    1.4267E-01    1.4024E-03
  0.470    1.4759E-01    1.4615E-01    1.4397E-03
  0.480    1.5113E-01    1.4966E-01    1.4773E-03
  0.490    1.5470E-01    1.5319E-01    1.5154E-03
  0.500    1.5830E-01    1.5674E-01    1.5539E-03
  0.510    1.6192E-01    1.6033E-01    1.5929E-03
  0.520    1.6557E-01    1.6394E-01    1.6324E-03
  0.530    1.6925E-01    1.6758E-01    1.6723E-03
  0.540    1.7296E-01    1.7125E-01    1.7128E-03
  0.550    1.7670E-01    1.7495E-01    1.7537E-03
  0.560    1.8048E-01    1.7868E-01    1.7953E-03
  0.570    1.8428E-01    1.8245E-01    1.8373E-03
  0.580    1.8813E-01    1.8625E-01    1.8800E-03
  0.590    1.9200E-01    1.9008E-01    1.9232E-03
