 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8009E-03    2.7754E-03    2.5456E-05
  0.020    5.6071E-03    5.5561E-03    5.1045E-05
  0.030    8.4190E-03    8.3422E-03    7.6769E-05
  0.040    1.1237E-02    1.1134E-02    1.0263E-04
  0.050    1.4061E-02    1.3932E-02    1.2864E-04
  0.060    1.6891E-02    1.6736E-02    1.5478E-04
  0.070    1.9728E-02    1.9547E-02    1.8108E-04
  0.080    2.2571E-02    2.2364E-02    2.0753E-04
  0.090    2.5422E-02    2.5188E-02    2.3413E-04
  0.100    2.8281E-02    2.8020E-02    2.6089E-04
  0.110    3.1147E-02    3.0859E-02    2.8781E-04
  0.120    3.4021E-02    3.3706E-02    3.1490E-04
  0.130    3.6904E-02    3.6561E-02    3.4216E-04
  0.140    3.9795E-02    3.9425E-02    3.6959E-04
  0.150    4.2695E-02    4.2298E-02    3.9719E-04
  0.160    4.5604E-02    4.5179E-02    4.2498E-04
  0.170    4.8523E-02    4.8070E-02    4.5295E-04
  0.180    5.1452E-02    5.0971E-02    4.8112E-04
  0.190    5.4391E-02    5.3882E-02    5.0947E-04
  0.200    5.7341E-02    5.6803E-02    5.3803E-04
  0.210    6.0302E-02    5.9735E-02    5.6678E-04
  0.220    6.3273E-02    6.2678E-02    5.9575E-04
  0.230    6.6257E-02    6.5632E-02    6.2493E-04
  0.240    6.9253E-02    6.8598E-02    6.5432E-04
  0.250    7.2261E-02    7.1577E-02    6.8394E-04
  0.260    7.5282E-02    7.4568E-02    7.1379E-04
  0.270    7.8316E-02    7.7572E-02    7.4387E-04
  0.280    8.1363E-02    8.0589E-02    7.7418E-04
  0.290    8.4425E-02    8.3620E-02    8.0475E-04
  0.300    8.7501E-02    8.6666E-02    8.3556E-04
  0.310    9.0593E-02    8.9726E-02    8.6663E-04
  0.320    9.3699E-02    9.2801E-02    8.9796E-04
  0.330    9.6822E-02    9.5892E-02    9.2957E-04
  0.340    9.9960E-02    9.8999E-02    9.6145E-04
  0.350    1.0312E-01    1.0212E-01    9.9361E-04
  0.360    1.0629E-01    1.0526E-01    1.0261E-03
  0.370    1.0948E-01    1.0842E-01    1.0588E-03
  0.380    1.1269E-01    1.1160E-01    1.0919E-03
  0.390    1.1592E-01    1.1479E-01    1.1252E-03
  0.400    1.1917E-01    1.1801E-01    1.1589E-03
  0.410    1.2243E-01    1.2124E-01    1.1929E-03
  0.420    1.2572E-01    1.2449E-01    1.2273E-03
  0.430    1.2903E-01    1.2777E-01    1.2620E-03
  0.440    1.3236E-01    1.3107E-01    1.2971E-03
  0.450    1.3572E-01    1.3439E-01    1.3325E-03
  0.460    1.3910E-01    1.3773E-01    1.3683E-03
  0.470    1.4250E-01    1.4109E-01    1.4045E-03
  0.480    1.4592E-01    1.4448E-01    1.4411E-03
  0.490    1.4938E-01    1.4790E-01    1.4780E-03
  0.500    1.5285E-01    1.5134E-01    1.5154E-03
  0.510    1.5636E-01    1.5481E-01    1.5533E-03
  0.520    1.5989E-01    1.5830E-01    1.5916E-03
  0.530    1.6346E-01    1.6183E-01    1.6303E-03
  0.540    1.6705E-01    1.6538E-01    1.6695E-03
  0.550    1.7067E-01    1.6896E-01    1.7092E-03
  0.560    1.7432E-01    1.7258E-01    1.7494E-03
  0.570    1.7801E-01    1.7622E-01    1.7901E-03
  0.580    1.8173E-01    1.7990E-01    1.8313E-03
  0.590    1.8549E-01    1.8361E-01    1.8731E-03
  0.600    1.8928E-01    1.8736E-01    1.9154E-03
  0.610    1.9310E-01    1.9115E-01    1.9583E-03
  0.620    1.9697E-01    1.9497E-01    2.0018E-03
  0.630    2.0087E-01    1.9883E-01    2.0459E-03
  0.640    2.0482E-01    2.0273E-01    2.0907E-03
  0.650    2.0881E-01    2.0667E-01    2.1361E-03
  0.660    2.1284E-01    2.1066E-01    2.1822E-03
  0.670    2.1691E-01    2.1469E-01    2.2290E-03
  0.680    2.2104E-01    2.1876E-01    2.2765E-03
  0.690    2.2521E-01    2.2288E-01    2.3248E-03
  0.700    2.2943E-01    2.2705E-01    2.3738E-03
  0.710    2.3370E-01    2.3128E-01    2.4237E-03
  0.720    2.3803E-01    2.3555E-01    2.4744E-03
