 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7619E-03    2.7371E-03    2.4730E-05
  0.020    5.5293E-03    5.4797E-03    4.9590E-05
  0.030    8.3026E-03    8.2280E-03    7.4581E-05
  0.040    1.1082E-02    1.0982E-02    9.9708E-05
  0.050    1.3868E-02    1.3743E-02    1.2497E-04
  0.060    1.6660E-02    1.6510E-02    1.5038E-04
  0.070    1.9459E-02    1.9283E-02    1.7593E-04
  0.080    2.2265E-02    2.2063E-02    2.0164E-04
  0.090    2.5079E-02    2.4851E-02    2.2749E-04
  0.100    2.7900E-02    2.7646E-02    2.5351E-04
  0.110    3.0729E-02    3.0449E-02    2.7968E-04
  0.120    3.3566E-02    3.3260E-02    3.0602E-04
  0.130    3.6412E-02    3.6079E-02    3.3253E-04
  0.140    3.9266E-02    3.8907E-02    3.5921E-04
  0.150    4.2130E-02    4.1743E-02    3.8607E-04
  0.160    4.5002E-02    4.4589E-02    4.1311E-04
  0.170    4.7885E-02    4.7445E-02    4.4034E-04
  0.180    5.0777E-02    5.0310E-02    4.6776E-04
  0.190    5.3680E-02    5.3185E-02    4.9537E-04
  0.200    5.6594E-02    5.6071E-02    5.2319E-04
  0.210    5.9518E-02    5.8967E-02    5.5121E-04
  0.220    6.2454E-02    6.1875E-02    5.7944E-04
  0.230    6.5402E-02    6.4794E-02    6.0789E-04
  0.240    6.8362E-02    6.7725E-02    6.3656E-04
  0.250    7.1334E-02    7.0668E-02    6.6545E-04
  0.260    7.4319E-02    7.3624E-02    6.9458E-04
  0.270    7.7317E-02    7.6593E-02    7.2395E-04
  0.280    8.0329E-02    7.9576E-02    7.5356E-04
  0.290    8.3355E-02    8.2572E-02    7.8343E-04
  0.300    8.6396E-02    8.5583E-02    8.1355E-04
  0.310    8.9452E-02    8.8608E-02    8.4394E-04
  0.320    9.2523E-02    9.1648E-02    8.7459E-04
  0.330    9.5610E-02    9.4704E-02    9.0553E-04
  0.340    9.8713E-02    9.7777E-02    9.3675E-04
  0.350    1.0183E-01    1.0087E-01    9.6826E-04
  0.360    1.0497E-01    1.0397E-01    1.0001E-03
  0.370    1.0813E-01    1.0710E-01    1.0322E-03
  0.380    1.1130E-01    1.1024E-01    1.0646E-03
  0.390    1.1450E-01    1.1340E-01    1.0974E-03
  0.400    1.1771E-01    1.1658E-01    1.1305E-03
  0.410    1.2094E-01    1.1978E-01    1.1639E-03
  0.420    1.2420E-01    1.2300E-01    1.1977E-03
  0.430    1.2747E-01    1.2624E-01    1.2319E-03
  0.440    1.3077E-01    1.2950E-01    1.2664E-03
  0.450    1.3409E-01    1.3279E-01    1.3013E-03
  0.460    1.3744E-01    1.3610E-01    1.3366E-03
  0.470    1.4080E-01    1.3943E-01    1.3723E-03
  0.480    1.4420E-01    1.4279E-01    1.4084E-03
  0.490    1.4762E-01    1.4617E-01    1.4450E-03
  0.500    1.5107E-01    1.4958E-01    1.4820E-03
  0.510    1.5454E-01    1.5302E-01    1.5194E-03
  0.520    1.5804E-01    1.5649E-01    1.5573E-03
  0.530    1.6158E-01    1.5998E-01    1.5957E-03
  0.540    1.6514E-01    1.6350E-01    1.6346E-03
  0.550    1.6873E-01    1.6706E-01    1.6740E-03
  0.560    1.7236E-01    1.7065E-01    1.7139E-03
  0.570    1.7602E-01    1.7427E-01    1.7544E-03
  0.580    1.7972E-01    1.7792E-01    1.7954E-03
  0.590    1.8345E-01    1.8161E-01    1.8370E-03
  0.600    1.8722E-01    1.8534E-01    1.8792E-03
  0.610    1.9102E-01    1.8910E-01    1.9220E-03
  0.620    1.9487E-01    1.9290E-01    1.9655E-03
  0.630    1.9876E-01    1.9675E-01    2.0096E-03
  0.640    2.0268E-01    2.0063E-01    2.0544E-03
  0.650    2.0666E-01    2.0456E-01    2.0998E-03
  0.660    2.1068E-01    2.0853E-01    2.1460E-03
