 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8148E-03    2.7891E-03    2.5722E-05
  0.020    5.6352E-03    5.5837E-03    5.1575E-05
  0.030    8.4616E-03    8.3840E-03    7.7563E-05
  0.040    1.1294E-02    1.1190E-02    1.0369E-04
  0.050    1.4133E-02    1.4003E-02    1.2996E-04
  0.060    1.6978E-02    1.6822E-02    1.5637E-04
  0.070    1.9830E-02    1.9647E-02    1.8292E-04
  0.080    2.2690E-02    2.2480E-02    2.0964E-04
  0.090    2.5556E-02    2.5320E-02    2.3650E-04
  0.100    2.8431E-02    2.8167E-02    2.6352E-04
  0.110    3.1313E-02    3.1022E-02    2.9071E-04
  0.120    3.4203E-02    3.3885E-02    3.1806E-04
  0.130    3.7102E-02    3.6756E-02    3.4559E-04
  0.140    4.0009E-02    3.9636E-02    3.7329E-04
  0.150    4.2926E-02    4.2525E-02    4.0117E-04
  0.160    4.5852E-02    4.5422E-02    4.2923E-04
  0.170    4.8787E-02    4.8330E-02    4.5747E-04
  0.180    5.1732E-02    5.1246E-02    4.8592E-04
  0.190    5.4688E-02    5.4173E-02    5.1455E-04
  0.200    5.7654E-02    5.7111E-02    5.4339E-04
  0.210    6.0631E-02    6.0059E-02    5.7244E-04
  0.220    6.3619E-02    6.3018E-02    6.0170E-04
  0.230    6.6619E-02    6.5988E-02    6.3117E-04
  0.240    6.9631E-02    6.8970E-02    6.6087E-04
  0.250    7.2655E-02    7.1964E-02    6.9080E-04
  0.260    7.5692E-02    7.4971E-02    7.2096E-04
  0.270    7.8742E-02    7.7991E-02    7.5136E-04
  0.280    8.1805E-02    8.1023E-02    7.8200E-04
  0.290    8.4883E-02    8.4070E-02    8.1290E-04
  0.300    8.7974E-02    8.7130E-02    8.4405E-04
  0.310    9.1080E-02    9.0205E-02    8.7547E-04
  0.320    9.4202E-02    9.3294E-02    9.0716E-04
  0.330    9.7338E-02    9.6399E-02    9.3913E-04
  0.340    1.0049E-01    9.9520E-02    9.7139E-04
  0.350    1.0366E-01    1.0266E-01    1.0039E-03
  0.360    1.0685E-01    1.0581E-01    1.0368E-03
  0.370    1.1005E-01    1.0898E-01    1.0699E-03
  0.380    1.1327E-01    1.1217E-01    1.1034E-03
  0.390    1.1651E-01    1.1538E-01    1.1372E-03
  0.400    1.1977E-01    1.1860E-01    1.1714E-03
  0.410    1.2305E-01    1.2185E-01    1.2058E-03
  0.420    1.2635E-01    1.2511E-01    1.2407E-03
  0.430    1.2967E-01    1.2840E-01    1.2759E-03
  0.440    1.3302E-01    1.3170E-01    1.3114E-03
  0.450    1.3638E-01    1.3503E-01    1.3474E-03
  0.460    1.3977E-01    1.3838E-01    1.3837E-03
  0.470    1.4318E-01    1.4176E-01    1.4205E-03
  0.480    1.4661E-01    1.4516E-01    1.4577E-03
  0.490    1.5007E-01    1.4858E-01    1.4952E-03
  0.500    1.5356E-01    1.5203E-01    1.5333E-03
  0.510    1.5707E-01    1.5550E-01    1.5718E-03
  0.520    1.6061E-01    1.5900E-01    1.6107E-03
  0.530    1.6418E-01    1.6253E-01    1.6502E-03
  0.540    1.6777E-01    1.6608E-01    1.6901E-03
  0.550    1.7140E-01    1.6967E-01    1.7306E-03
  0.560    1.7506E-01    1.7329E-01    1.7715E-03
  0.570    1.7875E-01    1.7693E-01    1.8131E-03
  0.580    1.8247E-01    1.8062E-01    1.8551E-03
  0.590    1.8623E-01    1.8433E-01    1.8978E-03
  0.600    1.9002E-01    1.8808E-01    1.9411E-03
  0.610    1.9385E-01    1.9186E-01    1.9849E-03
  0.620    1.9771E-01    1.9568E-01    2.0295E-03
  0.630    2.0161E-01    1.9954E-01    2.0746E-03
  0.640    2.0556E-01    2.0344E-01    2.1205E-03
  0.650    2.0954E-01    2.0738E-01    2.1670E-03
  0.660    2.1357E-01    2.1136E-01    2.2143E-03
  0.670    2.1764E-01    2.1538E-01    2.2623E-03
  0.680    2.2176E-01    2.1945E-01    2.3111E-03
  0.690    2.2592E-01    2.2356E-01    2.3607E-03
  0.700    2.3014E-01    2.2773E-01    2.4112E-03
  0.710    2.3440E-01    2.3194E-01    2.4625E-03
  0.720    2.3872E-01    2.3620E-01    2.5147E-03
  0.730    2.4309E-01    2.4052E-01    2.5678E-03
  0.740    2.4752E-01    2.4490E-01    2.6219E-03
  0.750    2.5201E-01    2.4933E-01    2.6770E-03
  0.760    2.5655E-01    2.5382E-01    2.7332E-03
  0.770    2.6116E-01    2.5837E-01    2.7904E-03
  0.780    2.6584E-01    2.6299E-01    2.8487E-03
  0.790    2.7059E-01    2.6768E-01    2.9082E-03
  0.800    2.7540E-01    2.7243E-01    2.9689E-03
  0.810    2.8029E-01    2.7726E-01    3.0309E-03
  0.820    2.8526E-01    2.8216E-01    3.0942E-03
  0.830    2.9030E-01    2.8715E-01    3.1589E-03
  0.840    2.9544E-01    2.9221E-01    3.2249E-03
  0.850    3.0065E-01    2.9736E-01    3.2925E-03
  0.860    3.0596E-01    3.0260E-01    3.3616E-03
  0.870    3.1136E-01    3.0793E-01    3.4324E-03
  0.880    3.1686E-01    3.1336E-01    3.5048E-03
  0.890    3.2247E-01    3.1889E-01    3.5791E-03
  0.900    3.2818E-01    3.2453E-01    3.6551E-03
  0.910    3.3401E-01    3.3028E-01    3.7332E-03
  0.920    3.3996E-01    3.3614E-01    3.8132E-03
  0.930    3.4603E-01    3.4213E-01    3.8954E-03
  0.940    3.5223E-01    3.4825E-01    3.9798E-03
  0.950    3.5857E-01    3.5450E-01    4.0666E-03
  0.960    3.6505E-01    3.6089E-01    4.1558E-03
  0.970    3.7169E-01    3.6744E-01    4.2477E-03
  0.980    3.7848E-01    3.7414E-01    4.3422E-03
  0.990    3.8544E-01    3.8100E-01    4.4397E-03
  1.000    3.9259E-01    3.8805E-01    4.5402E-03
