Apf(S=0.0) Apf(S=0.1) Apf(S=0.2) Apf(S=0.3) Apf(S=0.4) Apf(S=0.5) Apf(S=0.6) Apf(S=0.7) Apf(S=0.8) Apf(S=0.9) Apf(S=1.0) Apf(S=1.1) Apf(S=1.2) Apf(S=1.3) Apf(S=1.4) Apf(S=1.5) Apf(S=1.6) Apf(S=1.7) Apf(S=1.8) Apf(S=1.9) Apf(S=2.0)
0.51508    0.46404    0.41858    0.37802    0.34179    0.30936    0.28031    0.25425    0.23083    0.20978    0.19081    0.17372    0.15830    0.14436    0.13177    0.12036    0.11004    0.10067    0.09217    0.08445    0.07743
0.51825    0.46690    0.42117    0.38037    0.34392    0.31130    0.28208    0.25585    0.23230    0.21111    0.19203    0.17483    0.15931    0.14529    0.13262    0.12114    0.11075    0.10133    0.09277    0.08500    0.07794
0.52130    0.46967    0.42368    0.38265    0.34598    0.31318    0.28378    0.25741    0.23371    0.21240    0.19321    0.17591    0.16029    0.14619    0.13344    0.12190    0.11144    0.10196    0.09336    0.08554    0.07844
0.52426    0.47235    0.42610    0.38485    0.34798    0.31499    0.28543    0.25891    0.23508    0.21365    0.19435    0.17695    0.16125    0.14706    0.13424    0.12263    0.11211    0.10258    0.09392    0.08606    0.07892
0.52713    0.47494    0.42846    0.38698    0.34992    0.31676    0.28704    0.26037    0.23641    0.21486    0.19546    0.17796    0.16217    0.14791    0.13501    0.12334    0.11277    0.10318    0.09447    0.08657    0.07938
0.52991    0.47746    0.43074    0.38905    0.35180    0.31847    0.28859    0.26179    0.23770    0.21604    0.19653    0.17894    0.16307    0.14873    0.13577    0.12403    0.11340    0.10376    0.09501    0.08706    0.07983
0.53262    0.47991    0.43296    0.39107    0.35363    0.32013    0.29011    0.26316    0.23896    0.21719    0.19758    0.17990    0.16395    0.14954    0.13650    0.12471    0.11402    0.10433    0.09553    0.08754    0.08027
0.53524    0.48229    0.43511    0.39302    0.35541    0.32175    0.29158    0.26451    0.24018    0.21830    0.19860    0.18083    0.16480    0.15032    0.13722    0.12536    0.11462    0.10488    0.09604    0.08801    0.08070
0.53780    0.48460    0.43721    0.39493    0.35714    0.32332    0.29301    0.26581    0.24137    0.21939    0.19959    0.18174    0.16563    0.15108    0.13792    0.12600    0.11521    0.10542    0.09653    0.08846    0.08112
0.54028    0.48686    0.43926    0.39679    0.35883    0.32486    0.29441    0.26709    0.24254    0.22045    0.20056    0.18263    0.16644    0.15182    0.13860    0.12663    0.11578    0.10594    0.09702    0.08891    0.08153
