 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8143E-03    2.7884E-03    2.5809E-05
  0.020    5.6342E-03    5.5825E-03    5.1747E-05
  0.030    8.4602E-03    8.3824E-03    7.7817E-05
  0.040    1.1292E-02    1.1188E-02    1.0402E-04
  0.050    1.4131E-02    1.4001E-02    1.3037E-04
  0.060    1.6976E-02    1.6819E-02    1.5685E-04
  0.070    1.9829E-02    1.9645E-02    1.8348E-04
  0.080    2.2688E-02    2.2478E-02    2.1026E-04
  0.090    2.5555E-02    2.5318E-02    2.3719E-04
  0.100    2.8430E-02    2.8166E-02    2.6427E-04
  0.110    3.1313E-02    3.1022E-02    2.9152E-04
  0.120    3.4205E-02    3.3886E-02    3.1892E-04
  0.130    3.7105E-02    3.6758E-02    3.4649E-04
  0.140    4.0014E-02    3.9639E-02    3.7423E-04
  0.150    4.2932E-02    4.2530E-02    4.0214E-04
  0.160    4.5860E-02    4.5429E-02    4.3023E-04
  0.170    4.8797E-02    4.8339E-02    4.5851E-04
  0.180    5.1745E-02    5.1258E-02    4.8696E-04
  0.190    5.4703E-02    5.4188E-02    5.1561E-04
  0.200    5.7673E-02    5.7128E-02    5.4445E-04
  0.210    6.0653E-02    6.0080E-02    5.7350E-04
  0.220    6.3645E-02    6.3042E-02    6.0274E-04
  0.230    6.6649E-02    6.6017E-02    6.3220E-04
  0.240    6.9665E-02    6.9003E-02    6.6187E-04
  0.250    7.2694E-02    7.2002E-02    6.9175E-04
  0.260    7.5736E-02    7.5014E-02    7.2186E-04
  0.270    7.8792E-02    7.8039E-02    7.5220E-04
  0.280    8.1861E-02    8.1078E-02    7.8278E-04
  0.290    8.4945E-02    8.4131E-02    8.1360E-04
  0.300    8.8043E-02    8.7198E-02    8.4466E-04
  0.310    9.1157E-02    9.0281E-02    8.7597E-04
  0.320    9.4286E-02    9.3378E-02    9.0755E-04
  0.330    9.7431E-02    9.6492E-02    9.3939E-04
  0.340    1.0059E-01    9.9621E-02    9.7150E-04
  0.350    1.0377E-01    1.0277E-01    1.0039E-03
  0.360    1.0697E-01    1.0593E-01    1.0366E-03
  0.370    1.1018E-01    1.0911E-01    1.0695E-03
  0.380    1.1342E-01    1.1231E-01    1.1028E-03
  0.390    1.1667E-01    1.1553E-01    1.1364E-03
  0.400    1.1994E-01    1.1877E-01    1.1703E-03
  0.410    1.2323E-01    1.2203E-01    1.2045E-03
  0.420    1.2655E-01    1.2531E-01    1.2391E-03
  0.430    1.2988E-01    1.2861E-01    1.2740E-03
  0.440    1.3324E-01    1.3193E-01    1.3092E-03
  0.450    1.3662E-01    1.3527E-01    1.3448E-03
  0.460    1.4002E-01    1.3864E-01    1.3808E-03
  0.470    1.4345E-01    1.4203E-01    1.4172E-03
  0.480    1.4690E-01    1.4545E-01    1.4539E-03
  0.490    1.5038E-01    1.4889E-01    1.4911E-03
