 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7733E-03    2.7477E-03    2.5626E-05
  0.020    5.5519E-03    5.5005E-03    5.1376E-05
  0.030    8.3361E-03    8.2589E-03    7.7254E-05
  0.040    1.1126E-02    1.1023E-02    1.0326E-04
  0.050    1.3922E-02    1.3793E-02    1.2940E-04
  0.060    1.6725E-02    1.6569E-02    1.5568E-04
  0.070    1.9533E-02    1.9351E-02    1.8211E-04
  0.080    2.2349E-02    2.2140E-02    2.0867E-04
  0.090    2.5172E-02    2.4937E-02    2.3538E-04
  0.100    2.8002E-02    2.7740E-02    2.6225E-04
  0.110    3.0840E-02    3.0550E-02    2.8927E-04
  0.120    3.3685E-02    3.3369E-02    3.1645E-04
  0.130    3.6539E-02    3.6195E-02    3.4380E-04
  0.140    3.9401E-02    3.9029E-02    3.7131E-04
  0.150    4.2271E-02    4.1872E-02    3.9899E-04
  0.160    4.5151E-02    4.4724E-02    4.2685E-04
  0.170    4.8040E-02    4.7585E-02    4.5489E-04
  0.180    5.0938E-02    5.0455E-02    4.8312E-04
  0.190    5.3847E-02    5.3335E-02    5.1153E-04
  0.200    5.6766E-02    5.6226E-02    5.4014E-04
  0.210    5.9695E-02    5.9126E-02    5.6895E-04
  0.220    6.2635E-02    6.2037E-02    5.9797E-04
  0.230    6.5587E-02    6.4960E-02    6.2719E-04
  0.240    6.8550E-02    6.7893E-02    6.5662E-04
  0.250    7.1525E-02    7.0839E-02    6.8628E-04
  0.260    7.4513E-02    7.3797E-02    7.1616E-04
  0.270    7.7513E-02    7.6767E-02    7.4628E-04
  0.280    8.0527E-02    7.9750E-02    7.7663E-04
  0.290    8.3554E-02    8.2747E-02    8.0722E-04
  0.300    8.6595E-02    8.5757E-02    8.3807E-04
  0.310    8.9651E-02    8.8781E-02    8.6916E-04
  0.320    9.2721E-02    9.1820E-02    9.0052E-04
  0.330    9.5807E-02    9.4875E-02    9.3215E-04
  0.340    9.8908E-02    9.7944E-02    9.6406E-04
  0.350    1.0203E-01    1.0103E-01    9.9625E-04
  0.360    1.0516E-01    1.0413E-01    1.0287E-03
  0.370    1.0831E-01    1.0725E-01    1.0615E-03
  0.380    1.1148E-01    1.1039E-01    1.0946E-03
  0.390    1.1467E-01    1.1354E-01    1.1280E-03
  0.400    1.1788E-01    1.1672E-01    1.1617E-03
  0.410    1.2110E-01    1.1991E-01    1.1957E-03
  0.420    1.2435E-01    1.2312E-01    1.2301E-03
  0.430    1.2762E-01    1.2635E-01    1.2649E-03
  0.440    1.3091E-01    1.2961E-01    1.3000E-03
  0.450    1.3422E-01    1.3288E-01    1.3354E-03
  0.460    1.3755E-01    1.3618E-01    1.3713E-03
  0.470    1.4091E-01    1.3950E-01    1.4075E-03
  0.480    1.4429E-01    1.4285E-01    1.4441E-03
  0.490    1.4770E-01    1.4622E-01    1.4812E-03
  0.500    1.5113E-01    1.4961E-01    1.5186E-03
  0.510    1.5459E-01    1.5303E-01    1.5565E-03
  0.520    1.5807E-01    1.5648E-01    1.5949E-03
  0.530    1.6159E-01    1.5996E-01    1.6337E-03
  0.540    1.6513E-01    1.6346E-01    1.6730E-03
  0.550    1.6871E-01    1.6699E-01    1.7127E-03
  0.560    1.7231E-01    1.7056E-01    1.7530E-03
  0.570    1.7595E-01    1.7415E-01    1.7938E-03
  0.580    1.7962E-01    1.7778E-01    1.8351E-03
  0.590    1.8332E-01    1.8144E-01    1.8770E-03
  0.600    1.8706E-01    1.8514E-01    1.9194E-03
  0.610    1.9084E-01    1.8887E-01    1.9624E-03
  0.620    1.9465E-01    1.9264E-01    2.0060E-03
  0.630    1.9850E-01    1.9645E-01    2.0503E-03
  0.640    2.0240E-01    2.0030E-01    2.0952E-03
  0.650    2.0633E-01    2.0419E-01    2.1407E-03
  0.660    2.1031E-01    2.0812E-01    2.1869E-03
  0.670    2.1433E-01    2.1210E-01    2.2339E-03
  0.680    2.1840E-01    2.1612E-01    2.2816E-03
  0.690    2.2252E-01    2.2019E-01    2.3300E-03
  0.700    2.2669E-01    2.2431E-01    2.3792E-03
  0.710    2.3091E-01    2.2848E-01    2.4292E-03
  0.720    2.3518E-01    2.3270E-01    2.4801E-03
  0.730    2.3951E-01    2.3698E-01    2.5318E-03
  0.740    2.4390E-01    2.4131E-01    2.5845E-03
  0.750    2.4835E-01    2.4571E-01    2.6380E-03
  0.760    2.5285E-01    2.5016E-01    2.6926E-03
  0.770    2.5743E-01    2.5468E-01    2.7481E-03
  0.780    2.6207E-01    2.5926E-01    2.8047E-03
  0.790    2.6678E-01    2.6392E-01    2.8624E-03
  0.800    2.7156E-01    2.6864E-01    2.9212E-03
  0.810    2.7642E-01    2.7344E-01    2.9812E-03
  0.820    2.8136E-01    2.7832E-01    3.0424E-03
  0.830    2.8638E-01    2.8328E-01    3.1049E-03
  0.840    2.9149E-01    2.8832E-01    3.1687E-03
  0.850    2.9669E-01    2.9345E-01    3.2338E-03
  0.860    3.0198E-01    2.9868E-01    3.3005E-03
  0.870    3.0737E-01    3.0400E-01    3.3686E-03
  0.880    3.1286E-01    3.0942E-01    3.4383E-03
  0.890    3.1846E-01    3.1495E-01    3.5096E-03
  0.900    3.2417E-01    3.2059E-01    3.5827E-03
  0.910    3.3000E-01    3.2634E-01    3.6576E-03
  0.920    3.3595E-01    3.3222E-01    3.7343E-03
  0.930    3.4204E-01    3.3822E-01    3.8131E-03
  0.940    3.4826E-01    3.4436E-01    3.8939E-03
  0.950    3.5462E-01    3.5065E-01    3.9769E-03
  0.960    3.6114E-01    3.5708E-01    4.0622E-03
  0.970    3.6782E-01    3.6367E-01    4.1499E-03
  0.980    3.7466E-01    3.7042E-01    4.2402E-03
  0.990    3.8168E-01    3.7735E-01    4.3332E-03
  1.000    3.8890E-01    3.8447E-01    4.4289E-03
