 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7953E-03    2.7703E-03    2.4987E-05
  0.020    5.5960E-03    5.5459E-03    5.0101E-05
  0.030    8.4022E-03    8.3269E-03    7.5346E-05
  0.040    1.1214E-02    1.1114E-02    1.0073E-04
  0.050    1.4032E-02    1.3906E-02    1.2624E-04
  0.060    1.6857E-02    1.6705E-02    1.5190E-04
  0.070    1.9688E-02    1.9510E-02    1.7770E-04
  0.080    2.2526E-02    2.2322E-02    2.0364E-04
  0.090    2.5370E-02    2.5141E-02    2.2974E-04
  0.100    2.8223E-02    2.7967E-02    2.5599E-04
  0.110    3.1082E-02    3.0800E-02    2.8240E-04
  0.120    3.3950E-02    3.3641E-02    3.0897E-04
  0.130    3.6826E-02    3.6490E-02    3.3570E-04
  0.140    3.9710E-02    3.9347E-02    3.6261E-04
  0.150    4.2603E-02    4.2213E-02    3.8968E-04
  0.160    4.5505E-02    4.5088E-02    4.1694E-04
  0.170    4.8416E-02    4.7972E-02    4.4438E-04
  0.180    5.1338E-02    5.0866E-02    4.7200E-04
  0.190    5.4269E-02    5.3769E-02    4.9982E-04
  0.200    5.7210E-02    5.6682E-02    5.2783E-04
  0.210    6.0162E-02    5.9606E-02    5.5604E-04
  0.220    6.3126E-02    6.2541E-02    5.8446E-04
  0.230    6.6100E-02    6.5487E-02    6.1309E-04
  0.240    6.9087E-02    6.8445E-02    6.4193E-04
  0.250    7.2085E-02    7.1414E-02    6.7100E-04
  0.260    7.5096E-02    7.4396E-02    7.0029E-04
  0.270    7.8120E-02    7.7390E-02    7.2982E-04
  0.280    8.1157E-02    8.0398E-02    7.5958E-04
  0.290    8.4208E-02    8.3419E-02    7.8960E-04
  0.300    8.7274E-02    8.6454E-02    8.1986E-04
  0.310    9.0354E-02    8.9503E-02    8.5038E-04
  0.320    9.3449E-02    9.2568E-02    8.8117E-04
  0.330    9.6559E-02    9.5647E-02    9.1223E-04
