 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.9826E-03    2.9568E-03    2.5812E-05
  0.020    5.9712E-03    5.9194E-03    5.1758E-05
  0.030    8.9660E-03    8.8882E-03    7.7843E-05
  0.040    1.1967E-02    1.1863E-02    1.0407E-04
  0.050    1.4975E-02    1.4845E-02    1.3044E-04
  0.060    1.7990E-02    1.7833E-02    1.5696E-04
  0.070    2.1013E-02    2.0829E-02    1.8363E-04
  0.080    2.4043E-02    2.3832E-02    2.1045E-04
  0.090    2.7080E-02    2.6843E-02    2.3744E-04
  0.100    3.0126E-02    2.9861E-02    2.6458E-04
  0.110    3.3180E-02    3.2888E-02    2.9189E-04
  0.120    3.6242E-02    3.5923E-02    3.1937E-04
  0.130    3.9314E-02    3.8967E-02    3.4702E-04
  0.140    4.2395E-02    4.2020E-02    3.7485E-04
  0.150    4.5485E-02    4.5082E-02    4.0285E-04
  0.160    4.8585E-02    4.8154E-02    4.3105E-04
  0.170    5.1695E-02    5.1236E-02    4.5943E-04
  0.180    5.4816E-02    5.4328E-02    4.8800E-04
  0.190    5.7948E-02    5.7431E-02    5.1677E-04
  0.200    6.1090E-02    6.0545E-02    5.4575E-04
  0.210    6.4244E-02    6.3669E-02    5.7493E-04
  0.220    6.7410E-02    6.6806E-02    6.0432E-04
  0.230    7.0588E-02    6.9954E-02    6.3393E-04
  0.240    7.3779E-02    7.3115E-02    6.6376E-04
  0.250    7.6983E-02    7.6289E-02    6.9381E-04
  0.260    8.0199E-02    7.9475E-02    7.2409E-04
  0.270    8.3430E-02    8.2675E-02    7.5462E-04
  0.280    8.6675E-02    8.5889E-02    7.8538E-04
  0.290    8.9934E-02    8.9117E-02    8.1639E-04
  0.300    9.3208E-02    9.2360E-02    8.4766E-04
  0.310    9.6497E-02    9.5618E-02    8.7918E-04
  0.320    9.9803E-02    9.8892E-02    9.1097E-04
  0.330    1.0312E-01    1.0218E-01    9.4304E-04
  0.340    1.0646E-01    1.0549E-01    9.7538E-04
  0.350    1.0982E-01    1.0881E-01    1.0080E-03
  0.360    1.1319E-01    1.1215E-01    1.0409E-03
  0.370    1.1658E-01    1.1551E-01    1.0741E-03
  0.380    1.1999E-01    1.1889E-01    1.1077E-03
  0.390    1.2342E-01    1.2228E-01    1.1415E-03
  0.400    1.2687E-01    1.2570E-01    1.1757E-03
  0.410    1.3034E-01    1.2913E-01    1.2102E-03
  0.420    1.3384E-01    1.3259E-01    1.2450E-03
  0.430    1.3735E-01    1.3607E-01    1.2802E-03
  0.440    1.4088E-01    1.3957E-01    1.3157E-03
  0.450    1.4444E-01    1.4309E-01    1.3516E-03
  0.460    1.4802E-01    1.4664E-01    1.3879E-03
  0.470    1.5163E-01    1.5021E-01    1.4245E-03
  0.480    1.5526E-01    1.5380E-01    1.4616E-03
  0.490    1.5892E-01    1.5742E-01    1.4991E-03
  0.500    1.6260E-01    1.6107E-01    1.5370E-03
  0.510    1.6632E-01    1.6474E-01    1.5753E-03
  0.520    1.7006E-01    1.6844E-01    1.6140E-03
  0.530    1.7383E-01    1.7217E-01    1.6532E-03
  0.540    1.7762E-01    1.7593E-01    1.6929E-03
  0.550    1.8145E-01    1.7972E-01    1.7330E-03
  0.560    1.8532E-01    1.8354E-01    1.7737E-03
  0.570    1.8921E-01    1.8740E-01    1.8148E-03
  0.580    1.9314E-01    1.9128E-01    1.8565E-03
  0.590    1.9710E-01    1.9521E-01    1.8987E-03
  0.600    2.0111E-01    1.9916E-01    1.9414E-03
  0.610    2.0514E-01    2.0316E-01    1.9848E-03
  0.620    2.0922E-01    2.0719E-01    2.0287E-03
  0.630    2.1334E-01    2.1126E-01    2.0732E-03
  0.640    2.1749E-01    2.1537E-01    2.1184E-03
  0.650    2.2169E-01    2.1953E-01    2.1642E-03
  0.660    2.2594E-01    2.2373E-01    2.2106E-03
  0.670    2.3023E-01    2.2797E-01    2.2578E-03
  0.680    2.3456E-01    2.3226E-01    2.3056E-03
  0.690    2.3895E-01    2.3660E-01    2.3542E-03
  0.700    2.4339E-01    2.4098E-01    2.4036E-03
  0.710    2.4787E-01    2.4542E-01    2.4538E-03
  0.720    2.5242E-01    2.4991E-01    2.5047E-03
  0.730    2.5702E-01    2.5446E-01    2.5565E-03
  0.740    2.6167E-01    2.5906E-01    2.6092E-03
  0.750    2.6639E-01    2.6373E-01    2.6628E-03
  0.760    2.7117E-01    2.6845E-01    2.7173E-03
  0.770    2.7602E-01    2.7325E-01    2.7728E-03
  0.780    2.8093E-01    2.7810E-01    2.8294E-03
  0.790    2.8592E-01    2.8303E-01    2.8870E-03
  0.800    2.9097E-01    2.8803E-01    2.9456E-03
  0.810    2.9611E-01    2.9310E-01    3.0055E-03
  0.820    3.0132E-01    2.9826E-01    3.0665E-03
  0.830    3.0662E-01    3.0349E-01    3.1287E-03
  0.840    3.1200E-01    3.0881E-01    3.1923E-03
  0.850    3.1748E-01    3.1422E-01    3.2572E-03
  0.860    3.2304E-01    3.1972E-01    3.3235E-03
