 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8794E-03    2.8532E-03    2.6186E-05
  0.020    5.7645E-03    5.7120E-03    5.2501E-05
  0.030    8.6555E-03    8.5766E-03    7.8946E-05
  0.040    1.1553E-02    1.1447E-02    1.0553E-04
  0.050    1.4456E-02    1.4324E-02    1.3224E-04
  0.060    1.7367E-02    1.7207E-02    1.5910E-04
  0.070    2.0284E-02    2.0098E-02    1.8611E-04
  0.080    2.3208E-02    2.2995E-02    2.1326E-04
  0.090    2.6140E-02    2.5899E-02    2.4057E-04
  0.100    2.9079E-02    2.8811E-02    2.6803E-04
  0.110    3.2027E-02    3.1731E-02    2.9565E-04
  0.120    3.4982E-02    3.4659E-02    3.2344E-04
  0.130    3.7946E-02    3.7595E-02    3.5139E-04
  0.140    4.0919E-02    4.0540E-02    3.7952E-04
  0.150    4.3901E-02    4.3494E-02    4.0782E-04
  0.160    4.6893E-02    4.6457E-02    4.3630E-04
  0.170    4.9894E-02    4.9429E-02    4.6497E-04
  0.180    5.2905E-02    5.2412E-02    4.9383E-04
  0.190    5.5927E-02    5.5404E-02    5.2288E-04
  0.200    5.8959E-02    5.8407E-02    5.5214E-04
  0.210    6.2002E-02    6.1421E-02    5.8159E-04
  0.220    6.5057E-02    6.4446E-02    6.1126E-04
  0.230    6.8123E-02    6.7482E-02    6.4114E-04
  0.240    7.1202E-02    7.0530E-02    6.7124E-04
  0.250    7.4292E-02    7.3591E-02    7.0157E-04
  0.260    7.7396E-02    7.6664E-02    7.3213E-04
  0.270    8.0513E-02    7.9750E-02    7.6292E-04
  0.280    8.3643E-02    8.2849E-02    7.9396E-04
  0.290    8.6788E-02    8.5963E-02    8.2525E-04
  0.300    8.9947E-02    8.9090E-02    8.5679E-04
  0.310    9.3120E-02    9.2232E-02    8.8860E-04
  0.320    9.6310E-02    9.5389E-02    9.2067E-04
  0.330    9.9515E-02    9.8562E-02    9.5302E-04
  0.340    1.0274E-01    1.0175E-01    9.8565E-04
  0.350    1.0597E-01    1.0496E-01    1.0186E-03
  0.360    1.0923E-01    1.0818E-01    1.0518E-03
  0.370    1.1250E-01    1.1142E-01    1.0853E-03
  0.380    1.1579E-01    1.1467E-01    1.1192E-03
  0.390    1.1910E-01    1.1795E-01    1.1533E-03
  0.400    1.2243E-01    1.2125E-01    1.1878E-03
  0.410    1.2578E-01    1.2456E-01    1.2227E-03
  0.420    1.2915E-01    1.2790E-01    1.2579E-03
  0.430    1.3255E-01    1.3125E-01    1.2934E-03
  0.440    1.3596E-01    1.3463E-01    1.3293E-03
  0.450    1.3940E-01    1.3803E-01    1.3656E-03
  0.460    1.4286E-01    1.4145E-01    1.4023E-03
  0.470    1.4634E-01    1.4490E-01    1.4394E-03
  0.480    1.4985E-01    1.4837E-01    1.4769E-03
  0.490    1.5338E-01    1.5187E-01    1.5148E-03
  0.500    1.5694E-01    1.5539E-01    1.5532E-03
  0.510    1.6053E-01    1.5894E-01    1.5920E-03
  0.520    1.6415E-01    1.6252E-01    1.6312E-03
  0.530    1.6779E-01    1.6612E-01    1.6710E-03
  0.540    1.7147E-01    1.6976E-01    1.7112E-03
  0.550    1.7517E-01    1.7342E-01    1.7520E-03
  0.560    1.7891E-01    1.7712E-01    1.7932E-03
  0.570    1.8268E-01    1.8085E-01    1.8350E-03
  0.580    1.8649E-01    1.8461E-01    1.8774E-03
  0.590    1.9033E-01    1.8841E-01    1.9203E-03
  0.600    1.9421E-01    1.9224E-01    1.9638E-03
  0.610    1.9812E-01    1.9611E-01    2.0079E-03
  0.620    2.0208E-01    2.0002E-01    2.0527E-03
  0.630    2.0607E-01    2.0397E-01    2.0981E-03
  0.640    2.1011E-01    2.0796E-01    2.1442E-03
  0.650    2.1419E-01    2.1200E-01    2.1909E-03
  0.660    2.1831E-01    2.1607E-01    2.2384E-03
  0.670    2.2249E-01    2.2020E-01    2.2866E-03
  0.680    2.2671E-01    2.2437E-01    2.3356E-03
