 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8588E-03    2.8316E-03    2.7178E-05
  0.020    5.7229E-03    5.6684E-03    5.4485E-05
  0.030    8.5926E-03    8.5107E-03    8.1925E-05
  0.040    1.1468E-02    1.1359E-02    1.0950E-04
  0.050    1.4350E-02    1.4212E-02    1.3722E-04
  0.060    1.7237E-02    1.7072E-02    1.6507E-04
  0.070    2.0132E-02    1.9939E-02    1.9308E-04
  0.080    2.3033E-02    2.2811E-02    2.2123E-04
  0.090    2.5941E-02    2.5691E-02    2.4953E-04
  0.100    2.8856E-02    2.8578E-02    2.7800E-04
  0.110    3.1779E-02    3.1472E-02    3.0662E-04
  0.120    3.4710E-02    3.4374E-02    3.3540E-04
  0.130    3.7648E-02    3.7284E-02    3.6435E-04
  0.140    4.0595E-02    4.0202E-02    3.9347E-04
  0.150    4.3551E-02    4.3128E-02    4.2277E-04
  0.160    4.6516E-02    4.6064E-02    4.5225E-04
  0.170    4.9490E-02    4.9008E-02    4.8191E-04
  0.180    5.2473E-02    5.1961E-02    5.1176E-04
  0.190    5.5467E-02    5.4925E-02    5.4180E-04
  0.200    5.8470E-02    5.7898E-02    5.7203E-04
  0.210    6.1484E-02    6.0882E-02    6.0247E-04
  0.220    6.4509E-02    6.3876E-02    6.3311E-04
  0.230    6.7545E-02    6.6881E-02    6.6397E-04
  0.240    7.0593E-02    6.9898E-02    6.9504E-04
  0.250    7.3652E-02    7.2926E-02    7.2633E-04
  0.260    7.6724E-02    7.5966E-02    7.5785E-04
  0.270    7.9809E-02    7.9019E-02    7.8961E-04
  0.280    8.2906E-02    8.2084E-02    8.2159E-04
  0.290    8.6017E-02    8.5163E-02    8.5383E-04
  0.300    8.9142E-02    8.8256E-02    8.8631E-04
  0.310    9.2281E-02    9.1362E-02    9.1905E-04
  0.320    9.5435E-02    9.4483E-02    9.5205E-04
  0.330    9.8604E-02    9.7619E-02    9.8532E-04
  0.340    1.0179E-01    1.0077E-01    1.0189E-03
  0.350    1.0499E-01    1.0394E-01    1.0527E-03
  0.360    1.0821E-01    1.0712E-01    1.0868E-03
  0.370    1.1144E-01    1.1032E-01    1.1212E-03
  0.380    1.1469E-01    1.1354E-01    1.1559E-03
  0.390    1.1796E-01    1.1677E-01    1.1910E-03
  0.400    1.2125E-01    1.2003E-01    1.2263E-03
  0.410    1.2456E-01    1.2330E-01    1.2620E-03
  0.420    1.2789E-01    1.2659E-01    1.2980E-03
  0.430    1.3124E-01    1.2990E-01    1.3344E-03
  0.440    1.3461E-01    1.3324E-01    1.3711E-03
  0.450    1.3800E-01    1.3659E-01    1.4082E-03
  0.460    1.4141E-01    1.3997E-01    1.4457E-03
  0.470    1.4485E-01    1.4337E-01    1.4835E-03
  0.480    1.4831E-01    1.4679E-01    1.5218E-03
  0.490    1.5180E-01    1.5024E-01    1.5604E-03
  0.500    1.5531E-01    1.5371E-01    1.5995E-03
  0.510    1.5885E-01    1.5721E-01    1.6390E-03
  0.520    1.6241E-01    1.6073E-01    1.6790E-03
  0.530    1.6600E-01    1.6428E-01    1.7194E-03
  0.540    1.6962E-01    1.6786E-01    1.7603E-03
  0.550    1.7328E-01    1.7147E-01    1.8017E-03
  0.560    1.7696E-01    1.7511E-01    1.8435E-03
  0.570    1.8067E-01    1.7878E-01    1.8859E-03
  0.580    1.8442E-01    1.8249E-01    1.9288E-03
  0.590    1.8820E-01    1.8622E-01    1.9723E-03
  0.600    1.9201E-01    1.8999E-01    2.0163E-03
  0.610    1.9586E-01    1.9380E-01    2.0609E-03
  0.620    1.9975E-01    1.9764E-01    2.1061E-03
  0.630    2.0368E-01    2.0153E-01    2.1520E-03
  0.640    2.0764E-01    2.0545E-01    2.1984E-03
  0.650    2.1165E-01    2.0941E-01    2.2456E-03
  0.660    2.1570E-01    2.1341E-01    2.2934E-03
  0.670    2.1980E-01    2.1746E-01    2.3419E-03
  0.680    2.2394E-01    2.2155E-01    2.3912E-03
  0.690    2.2813E-01    2.2569E-01    2.4412E-03
  0.700    2.3237E-01    2.2988E-01    2.4920E-03
  0.710    2.3666E-01    2.3412E-01    2.5436E-03
  0.720    2.4101E-01    2.3841E-01    2.5961E-03
  0.730    2.4541E-01    2.4276E-01    2.6494E-03
  0.740    2.4986E-01    2.4716E-01    2.7036E-03
  0.750    2.5438E-01    2.5162E-01    2.7588E-03
  0.760    2.5896E-01    2.5614E-01    2.8149E-03
  0.770    2.6360E-01    2.6073E-01    2.8721E-03
  0.780    2.6831E-01    2.6538E-01    2.9303E-03
  0.790    2.7309E-01    2.7010E-01    2.9897E-03
  0.800    2.7794E-01    2.7489E-01    3.0501E-03
  0.810    2.8287E-01    2.7976E-01    3.1118E-03
  0.820    2.8788E-01    2.8470E-01    3.1747E-03
  0.830    2.9297E-01    2.8973E-01    3.2389E-03
  0.840    2.9814E-01    2.9484E-01    3.3044E-03
  0.850    3.0341E-01    3.0003E-01    3.3714E-03
  0.860    3.0876E-01    3.0533E-01    3.4398E-03
  0.870    3.1422E-01    3.1071E-01    3.5098E-03
  0.880    3.1978E-01    3.1620E-01    3.5814E-03
  0.890    3.2545E-01    3.2180E-01    3.6547E-03
  0.900    3.3123E-01    3.2750E-01    3.7297E-03
  0.910    3.3713E-01    3.3332E-01    3.8067E-03
  0.920    3.4315E-01    3.3927E-01    3.8856E-03
  0.930    3.4930E-01    3.4534E-01    3.9665E-03
  0.940    3.5559E-01    3.5154E-01    4.0497E-03
  0.950    3.6203E-01    3.5789E-01    4.1351E-03
  0.960    3.6861E-01    3.6439E-01    4.2229E-03
  0.970    3.7535E-01    3.7104E-01    4.3134E-03
  0.980    3.8227E-01    3.7786E-01    4.4065E-03
  0.990    3.8936E-01    3.8485E-01    4.5024E-03
  1.000    3.9663E-01    3.9203E-01    4.6015E-03
