 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.9408E-03    2.9142E-03    2.6639E-05
  0.020    5.8869E-03    5.8335E-03    5.3403E-05
  0.030    8.8386E-03    8.7584E-03    8.0294E-05
  0.040    1.1796E-02    1.1689E-02    1.0732E-04
  0.050    1.4760E-02    1.4625E-02    1.3447E-04
  0.060    1.7729E-02    1.7568E-02    1.6177E-04
  0.070    2.0706E-02    2.0517E-02    1.8921E-04
  0.080    2.3689E-02    2.3472E-02    2.1679E-04
  0.090    2.6679E-02    2.6435E-02    2.4451E-04
  0.100    2.9677E-02    2.9404E-02    2.7239E-04
  0.110    3.2682E-02    3.2381E-02    3.0043E-04
  0.120    3.5695E-02    3.5366E-02    3.2862E-04
  0.130    3.8716E-02    3.8359E-02    3.5697E-04
  0.140    4.1745E-02    4.1360E-02    3.8550E-04
  0.150    4.4783E-02    4.4369E-02    4.1419E-04
  0.160    4.7830E-02    4.7387E-02    4.4305E-04
  0.170    5.0887E-02    5.0415E-02    4.7210E-04
  0.180    5.3953E-02    5.3452E-02    5.0132E-04
  0.190    5.7029E-02    5.6498E-02    5.3074E-04
  0.200    6.0116E-02    5.9555E-02    5.6034E-04
  0.210    6.3213E-02    6.2622E-02    5.9014E-04
  0.220    6.6321E-02    6.5700E-02    6.2014E-04
  0.230    6.9440E-02    6.8790E-02    6.5035E-04
  0.240    7.2571E-02    7.1890E-02    6.8076E-04
  0.250    7.5714E-02    7.5003E-02    7.1139E-04
  0.260    7.8870E-02    7.8127E-02    7.4224E-04
  0.270    8.2038E-02    8.1265E-02    7.7332E-04
  0.280    8.5220E-02    8.4415E-02    8.0463E-04
  0.290    8.8415E-02    8.7579E-02    8.3617E-04
  0.300    9.1625E-02    9.0757E-02    8.6796E-04
  0.310    9.4849E-02    9.3949E-02    8.9999E-04
  0.320    9.8087E-02    9.7155E-02    9.3228E-04
  0.330    1.0134E-01    1.0038E-01    9.6483E-04
  0.340    1.0461E-01    1.0361E-01    9.9764E-04
  0.350    1.0790E-01    1.0687E-01    1.0307E-03
  0.360    1.1120E-01    1.1014E-01    1.0641E-03
  0.370    1.1452E-01    1.1343E-01    1.0978E-03
  0.380    1.1786E-01    1.1673E-01    1.1317E-03
  0.390    1.2122E-01    1.2005E-01    1.1660E-03
  0.400    1.2460E-01    1.2340E-01    1.2005E-03
  0.410    1.2799E-01    1.2676E-01    1.2354E-03
  0.420    1.3141E-01    1.3014E-01    1.2706E-03
  0.430    1.3485E-01    1.3354E-01    1.3062E-03
  0.440    1.3831E-01    1.3696E-01    1.3420E-03
  0.450    1.4179E-01    1.4041E-01    1.3783E-03
  0.460    1.4529E-01    1.4388E-01    1.4149E-03
  0.470    1.4882E-01    1.4737E-01    1.4519E-03
  0.480    1.5237E-01    1.5088E-01    1.4892E-03
  0.490    1.5595E-01    1.5442E-01    1.5270E-03
  0.500    1.5955E-01    1.5799E-01    1.5651E-03
  0.510    1.6318E-01    1.6158E-01    1.6037E-03
  0.520    1.6684E-01    1.6520E-01    1.6427E-03
  0.530    1.7053E-01    1.6885E-01    1.6821E-03
  0.540    1.7424E-01    1.7252E-01    1.7220E-03
  0.550    1.7799E-01    1.7623E-01    1.7624E-03
  0.560    1.8177E-01    1.7996E-01    1.8032E-03
  0.570    1.8558E-01    1.8373E-01    1.8445E-03
  0.580    1.8942E-01    1.8753E-01    1.8863E-03
  0.590    1.9330E-01    1.9137E-01    1.9287E-03
  0.600    1.9721E-01    1.9524E-01    1.9716E-03
  0.610    2.0116E-01    1.9915E-01    2.0150E-03
  0.620    2.0515E-01    2.0309E-01    2.0591E-03
  0.630    2.0918E-01    2.0707E-01    2.1037E-03
  0.640    2.1324E-01    2.1110E-01    2.1489E-03
  0.650    2.1735E-01    2.1516E-01    2.1948E-03
  0.660    2.2151E-01    2.1927E-01    2.2413E-03
  0.670    2.2571E-01    2.2342E-01    2.2884E-03
  0.680    2.2995E-01    2.2762E-01    2.3363E-03
  0.690    2.3425E-01    2.3186E-01    2.3849E-03
  0.700    2.3859E-01    2.3616E-01    2.4343E-03
  0.710    2.4299E-01    2.4050E-01    2.4844E-03
  0.720    2.4744E-01    2.4490E-01    2.5353E-03
  0.730    2.5194E-01    2.4936E-01    2.5870E-03
  0.740    2.5651E-01    2.5387E-01    2.6396E-03
  0.750    2.6113E-01    2.5844E-01    2.6931E-03
  0.760    2.6582E-01    2.6307E-01    2.7475E-03
  0.770    2.7057E-01    2.6777E-01    2.8029E-03
  0.780    2.7539E-01    2.7253E-01    2.8593E-03
  0.790    2.8028E-01    2.7736E-01    2.9167E-03
  0.800    2.8524E-01    2.8226E-01    2.9751E-03
  0.810    2.9028E-01    2.8724E-01    3.0347E-03
  0.820    2.9539E-01    2.9230E-01    3.0955E-03
  0.830    3.0059E-01    2.9743E-01    3.1575E-03
  0.840    3.0588E-01    3.0265E-01    3.2208E-03
  0.850    3.1125E-01    3.0796E-01    3.2854E-03
  0.860    3.1672E-01    3.1336E-01    3.3513E-03
  0.870    3.2228E-01    3.1886E-01    3.4188E-03
  0.880    3.2795E-01    3.2446E-01    3.4877E-03
  0.890    3.3372E-01    3.3016E-01    3.5582E-03
  0.900    3.3960E-01    3.3597E-01    3.6304E-03
  0.910    3.4560E-01    3.4189E-01    3.7043E-03
  0.920    3.5172E-01    3.4794E-01    3.7801E-03
  0.930    3.5797E-01    3.5411E-01    3.8578E-03
  0.940    3.6435E-01    3.6041E-01    3.9375E-03
  0.950    3.7087E-01    3.6685E-01    4.0194E-03
  0.960    3.7754E-01    3.7344E-01    4.1035E-03
  0.970    3.8436E-01    3.8017E-01    4.1899E-03
  0.980    3.9135E-01    3.8707E-01    4.2789E-03
  0.990    3.9851E-01    3.9414E-01    4.3705E-03
  1.000    4.0584E-01    4.0138E-01    4.4650E-03
