 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8974E-03    2.8718E-03    2.5677E-05
  0.020    5.8005E-03    5.7490E-03    5.1480E-05
  0.030    8.7095E-03    8.6321E-03    7.7412E-05
  0.040    1.1625E-02    1.1521E-02    1.0347E-04
  0.050    1.4546E-02    1.4416E-02    1.2967E-04
  0.060    1.7474E-02    1.7318E-02    1.5601E-04
  0.070    2.0409E-02    2.0227E-02    1.8249E-04
  0.080    2.3351E-02    2.3142E-02    2.0911E-04
  0.090    2.6301E-02    2.6065E-02    2.3589E-04
  0.100    2.9258E-02    2.8996E-02    2.6281E-04
  0.110    3.2224E-02    3.1934E-02    2.8990E-04
  0.120    3.5197E-02    3.4880E-02    3.1714E-04
  0.130    3.8180E-02    3.7835E-02    3.4455E-04
  0.140    4.1171E-02    4.0799E-02    3.7213E-04
  0.150    4.4171E-02    4.3771E-02    3.9988E-04
  0.160    4.7181E-02    4.6753E-02    4.2780E-04
  0.170    5.0200E-02    4.9744E-02    4.5591E-04
  0.180    5.3230E-02    5.2746E-02    4.8420E-04
  0.190    5.6270E-02    5.5757E-02    5.1269E-04
  0.200    5.9321E-02    5.8779E-02    5.4136E-04
  0.210    6.2383E-02    6.1813E-02    5.7024E-04
  0.220    6.5456E-02    6.4857E-02    5.9933E-04
  0.230    6.8542E-02    6.7913E-02    6.2862E-04
  0.240    7.1640E-02    7.0981E-02    6.5813E-04
  0.250    7.4750E-02    7.4062E-02    6.8785E-04
  0.260    7.7873E-02    7.7155E-02    7.1781E-04
  0.270    8.1010E-02    8.0262E-02    7.4799E-04
  0.280    8.4161E-02    8.3382E-02    7.7841E-04
  0.290    8.7326E-02    8.6517E-02    8.0908E-04
  0.300    9.0505E-02    8.9665E-02    8.3999E-04
  0.310    9.3700E-02    9.2829E-02    8.7116E-04
  0.320    9.6911E-02    9.6008E-02    9.0259E-04
  0.330    1.0014E-01    9.9203E-02    9.3429E-04
  0.340    1.0338E-01    1.0241E-01    9.6626E-04
  0.350    1.0664E-01    1.0564E-01    9.9852E-04
  0.360    1.0992E-01    1.0889E-01    1.0311E-03
  0.370    1.1321E-01    1.1215E-01    1.0639E-03
  0.380    1.1653E-01    1.1543E-01    1.0971E-03
  0.390    1.1986E-01    1.1873E-01    1.1305E-03
  0.400    1.2322E-01    1.2205E-01    1.1643E-03
  0.410    1.2659E-01    1.2539E-01    1.1984E-03
  0.420    1.2999E-01    1.2875E-01    1.2329E-03
  0.430    1.3340E-01    1.3214E-01    1.2677E-03
  0.440    1.3684E-01    1.3554E-01    1.3028E-03
  0.450    1.4031E-01    1.3897E-01    1.3383E-03
  0.460    1.4379E-01    1.4242E-01    1.3742E-03
  0.470    1.4730E-01    1.4589E-01    1.4105E-03
  0.480    1.5084E-01    1.4939E-01    1.4472E-03
  0.490    1.5440E-01    1.5292E-01    1.4843E-03
  0.500    1.5799E-01    1.5647E-01    1.5218E-03
  0.510    1.6161E-01    1.6005E-01    1.5597E-03
  0.520    1.6525E-01    1.6365E-01    1.5981E-03
  0.530    1.6892E-01    1.6729E-01    1.6369E-03
  0.540    1.7263E-01    1.7095E-01    1.6762E-03
  0.550    1.7637E-01    1.7465E-01    1.7160E-03
  0.560    1.8013E-01    1.7838E-01    1.7563E-03
  0.570    1.8393E-01    1.8214E-01    1.7971E-03
  0.580    1.8777E-01    1.8593E-01    1.8385E-03
  0.590    1.9164E-01    1.8976E-01    1.8804E-03
  0.600    1.9555E-01    1.9363E-01    1.9228E-03
  0.610    1.9950E-01    1.9753E-01    1.9658E-03
  0.620    2.0348E-01    2.0147E-01    2.0095E-03
  0.630    2.0751E-01    2.0545E-01    2.0537E-03
  0.640    2.1157E-01    2.0947E-01    2.0986E-03
  0.650    2.1568E-01    2.1354E-01    2.1441E-03
  0.660    2.1984E-01    2.1765E-01    2.1904E-03
  0.670    2.2404E-01    2.2180E-01    2.2373E-03
  0.680    2.2829E-01    2.2600E-01    2.2849E-03
  0.690    2.3258E-01    2.3025E-01    2.3333E-03
  0.700    2.3693E-01    2.3455E-01    2.3825E-03
  0.710    2.4133E-01    2.3890E-01    2.4325E-03
  0.720    2.4579E-01    2.4331E-01    2.4834E-03
  0.730    2.5030E-01    2.4777E-01    2.5351E-03
  0.740    2.5488E-01    2.5229E-01    2.5877E-03
  0.750    2.5951E-01    2.5687E-01    2.6412E-03
  0.760    2.6421E-01    2.6151E-01    2.6957E-03
  0.770    2.6897E-01    2.6622E-01    2.7512E-03
  0.780    2.7380E-01    2.7100E-01    2.8078E-03
  0.790    2.7871E-01    2.7584E-01    2.8654E-03
  0.800    2.8369E-01    2.8076E-01    2.9242E-03
  0.810    2.8874E-01    2.8576E-01    2.9841E-03
  0.820    2.9388E-01    2.9083E-01    3.0453E-03
  0.830    2.9909E-01    2.9599E-01    3.1078E-03
  0.840    3.0440E-01    3.0123E-01    3.1716E-03
  0.850    3.0980E-01    3.0656E-01    3.2367E-03
  0.860    3.1529E-01    3.1199E-01    3.3034E-03
  0.870    3.2088E-01    3.1751E-01    3.3715E-03
  0.880    3.2658E-01    3.2314E-01    3.4412E-03
  0.890    3.3238E-01    3.2887E-01    3.5126E-03
  0.900    3.3830E-01    3.3471E-01    3.5858E-03
  0.910    3.4434E-01    3.4068E-01    3.6607E-03
