 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8036E-03    2.7780E-03    2.5545E-05
  0.020    5.6130E-03    5.5618E-03    5.1209E-05
  0.030    8.4286E-03    8.3516E-03    7.6996E-05
  0.040    1.1251E-02    1.1148E-02    1.0291E-04
  0.050    1.4079E-02    1.3950E-02    1.2895E-04
  0.060    1.6915E-02    1.6760E-02    1.5513E-04
  0.070    1.9758E-02    1.9576E-02    1.8145E-04
  0.080    2.2608E-02    2.2400E-02    2.0790E-04
  0.090    2.5466E-02    2.5232E-02    2.3450E-04
  0.100    2.8332E-02    2.8071E-02    2.6125E-04
  0.110    3.1207E-02    3.0919E-02    2.8816E-04
  0.120    3.4090E-02    3.3775E-02    3.1522E-04
  0.130    3.6982E-02    3.6640E-02    3.4244E-04
  0.140    3.9883E-02    3.9514E-02    3.6983E-04
  0.150    4.2794E-02    4.2397E-02    3.9738E-04
  0.160    4.5715E-02    4.5290E-02    4.2512E-04
  0.170    4.8647E-02    4.8193E-02    4.5303E-04
  0.180    5.1588E-02    5.1107E-02    4.8112E-04
  0.190    5.4541E-02    5.4032E-02    5.0941E-04
  0.200    5.7505E-02    5.6967E-02    5.3789E-04
  0.210    6.0481E-02    5.9915E-02    5.6657E-04
  0.220    6.3469E-02    6.2874E-02    5.9545E-04
  0.230    6.6469E-02    6.5845E-02    6.2455E-04
  0.240    6.9483E-02    6.8829E-02    6.5386E-04
  0.250    7.2509E-02    7.1826E-02    6.8339E-04
  0.260    7.5549E-02    7.4836E-02    7.1315E-04
  0.270    7.8603E-02    7.7860E-02    7.4315E-04
  0.280    8.1672E-02    8.0899E-02    7.7338E-04
  0.290    8.4756E-02    8.3952E-02    8.0387E-04
  0.300    8.7855E-02    8.7021E-02    8.3460E-04
  0.310    9.0970E-02    9.0105E-02    8.6560E-04
  0.320    9.4102E-02    9.3205E-02    8.9687E-04
  0.330    9.7251E-02    9.6322E-02    9.2841E-04
  0.340    1.0042E-01    9.9456E-02    9.6023E-04
  0.350    1.0360E-01    1.0261E-01    9.9234E-04
  0.360    1.0680E-01    1.0578E-01    1.0248E-03
  0.370    1.1002E-01    1.0897E-01    1.0575E-03
  0.380    1.1327E-01    1.1218E-01    1.0905E-03
  0.390    1.1653E-01    1.1540E-01    1.1239E-03
  0.400    1.1981E-01    1.1865E-01    1.1576E-03
  0.410    1.2311E-01    1.2192E-01    1.1916E-03
  0.420    1.2644E-01    1.2521E-01    1.2260E-03
  0.430    1.2979E-01    1.2853E-01    1.2607E-03
  0.440    1.3316E-01    1.3186E-01    1.2959E-03
  0.450    1.3656E-01    1.3522E-01    1.3314E-03
  0.460    1.3998E-01    1.3861E-01    1.3673E-03
  0.470    1.4342E-01    1.4202E-01    1.4036E-03
  0.480    1.4690E-01    1.4546E-01    1.4403E-03
  0.490    1.5040E-01    1.4892E-01    1.4775E-03
  0.500    1.5393E-01    1.5241E-01    1.5151E-03
  0.510    1.5749E-01    1.5593E-01    1.5532E-03
  0.520    1.6107E-01    1.5948E-01    1.5917E-03
  0.530    1.6469E-01    1.6306E-01    1.6307E-03
  0.540    1.6834E-01    1.6667E-01    1.6703E-03
  0.550    1.7203E-01    1.7032E-01    1.7103E-03
  0.560    1.7575E-01    1.7399E-01    1.7509E-03
  0.570    1.7950E-01    1.7771E-01    1.7920E-03
  0.580    1.8329E-01    1.8145E-01    1.8337E-03
  0.590    1.8711E-01    1.8524E-01    1.8760E-03
  0.600    1.9098E-01    1.8906E-01    1.9189E-03
  0.610    1.9488E-01    1.9292E-01    1.9624E-03
  0.620    1.9883E-01    1.9682E-01    2.0066E-03
  0.630    2.0281E-01    2.0076E-01    2.0514E-03
  0.640    2.0685E-01    2.0475E-01    2.0969E-03
  0.650    2.1092E-01    2.0878E-01    2.1432E-03
  0.660    2.1505E-01    2.1286E-01    2.1901E-03
  0.670    2.1922E-01    2.1698E-01    2.2379E-03
  0.680    2.2344E-01    2.2116E-01    2.2864E-03
  0.690    2.2772E-01    2.2538E-01    2.3358E-03
  0.700    2.3205E-01    2.2966E-01    2.3859E-03
  0.710    2.3643E-01    2.3399E-01    2.4370E-03
  0.720    2.4087E-01    2.3838E-01    2.4890E-03
  0.730    2.4537E-01    2.4283E-01    2.5419E-03
  0.740    2.4994E-01    2.4734E-01    2.5959E-03
  0.750    2.5457E-01    2.5192E-01    2.6508E-03
  0.760    2.5926E-01    2.5656E-01    2.7068E-03
  0.770    2.6403E-01    2.6126E-01    2.7639E-03
  0.780    2.6887E-01    2.6604E-01    2.8221E-03
  0.790    2.7378E-01    2.7090E-01    2.8815E-03
  0.800    2.7877E-01    2.7583E-01    2.9421E-03
  0.810    2.8384E-01    2.8084E-01    3.0041E-03
  0.820    2.8900E-01    2.8593E-01    3.0673E-03
  0.830    2.9424E-01    2.9111E-01    3.1320E-03
  0.840    2.9958E-01    2.9638E-01    3.1981E-03
  0.850    3.0501E-01    3.0174E-01    3.2658E-03
  0.860    3.1054E-01    3.0720E-01    3.3350E-03
  0.870    3.1617E-01    3.1277E-01    3.4059E-03
  0.880    3.2192E-01    3.1844E-01    3.4785E-03
  0.890    3.2777E-01    3.2422E-01    3.5529E-03
  0.900    3.3375E-01    3.3012E-01    3.6293E-03
  0.910    3.3985E-01    3.3614E-01    3.7076E-03
  0.920    3.4608E-01    3.4229E-01    3.7880E-03
  0.930    3.5245E-01    3.4858E-01    3.8705E-03
  0.940    3.5896E-01    3.5501E-01    3.9554E-03
  0.950    3.6562E-01    3.6158E-01    4.0427E-03
  0.960    3.7244E-01    3.6831E-01    4.1325E-03
  0.970    3.7943E-01    3.7520E-01    4.2251E-03
  0.980    3.8659E-01    3.8227E-01    4.3204E-03
  0.990    3.9393E-01    3.8951E-01    4.4187E-03
  1.000    4.0147E-01    3.9695E-01    4.5201E-03
