 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7985E-03    2.7719E-03    2.6624E-05
  0.020    5.6023E-03    5.5489E-03    5.3377E-05
  0.030    8.4117E-03    8.3314E-03    8.0262E-05
  0.040    1.1227E-02    1.1119E-02    1.0728E-04
  0.050    1.4048E-02    1.3913E-02    1.3444E-04
  0.060    1.6875E-02    1.6714E-02    1.6175E-04
  0.070    1.9709E-02    1.9520E-02    1.8920E-04
  0.080    2.2550E-02    2.2333E-02    2.1679E-04
  0.090    2.5398E-02    2.5154E-02    2.4454E-04
  0.100    2.8253E-02    2.7981E-02    2.7245E-04
  0.110    3.1116E-02    3.0816E-02    3.0052E-04
  0.120    3.3987E-02    3.3658E-02    3.2875E-04
  0.130    3.6866E-02    3.6509E-02    3.5714E-04
  0.140    3.9754E-02    3.9368E-02    3.8571E-04
  0.150    4.2650E-02    4.2236E-02    4.1446E-04
  0.160    4.5556E-02    4.5113E-02    4.4338E-04
  0.170    4.8471E-02    4.7999E-02    4.7249E-04
  0.180    5.1396E-02    5.0894E-02    5.0179E-04
  0.190    5.4331E-02    5.3800E-02    5.3128E-04
  0.200    5.7277E-02    5.6716E-02    5.6096E-04
  0.210    6.0233E-02    5.9642E-02    5.9085E-04
  0.220    6.3200E-02    6.2580E-02    6.2095E-04
  0.230    6.6180E-02    6.5528E-02    6.5125E-04
  0.240    6.9171E-02    6.8489E-02    6.8178E-04
  0.250    7.2174E-02    7.1462E-02    7.1252E-04
  0.260    7.5190E-02    7.4447E-02    7.4350E-04
  0.270    7.8220E-02    7.7445E-02    7.7470E-04
  0.280    8.1262E-02    8.0456E-02    8.0615E-04
  0.290    8.4319E-02    8.3481E-02    8.3784E-04
  0.300    8.7391E-02    8.6521E-02    8.6977E-04
  0.310    9.0477E-02    8.9575E-02    9.0197E-04
  0.320    9.3578E-02    9.2644E-02    9.3443E-04
  0.330    9.6695E-02    9.5728E-02    9.6715E-04
  0.340    9.9829E-02    9.8829E-02    1.0002E-03
  0.350    1.0298E-01    1.0195E-01    1.0334E-03
  0.360    1.0615E-01    1.0508E-01    1.0670E-03
  0.370    1.0933E-01    1.0823E-01    1.1009E-03
  0.380    1.1254E-01    1.1140E-01    1.1351E-03
  0.390    1.1576E-01    1.1459E-01    1.1696E-03
  0.400    1.1900E-01    1.1780E-01    1.2044E-03
  0.410    1.2227E-01    1.2103E-01    1.2395E-03
  0.420    1.2555E-01    1.2427E-01    1.2750E-03
  0.430    1.2885E-01    1.2754E-01    1.3108E-03
  0.440    1.3218E-01    1.3084E-01    1.3470E-03
  0.450    1.3553E-01    1.3415E-01    1.3835E-03
  0.460    1.3891E-01    1.3749E-01    1.4204E-03
  0.470    1.4230E-01    1.4085E-01    1.4577E-03
  0.480    1.4573E-01    1.4423E-01    1.4954E-03
  0.490    1.4918E-01    1.4764E-01    1.5335E-03
  0.500    1.5265E-01    1.5108E-01    1.5721E-03
  0.510    1.5615E-01    1.5454E-01    1.6110E-03
  0.520    1.5969E-01    1.5804E-01    1.6504E-03
  0.530    1.6325E-01    1.6156E-01    1.6902E-03
  0.540    1.6684E-01    1.6511E-01    1.7306E-03
  0.550    1.7046E-01    1.6869E-01    1.7714E-03
  0.560    1.7411E-01    1.7230E-01    1.8126E-03
  0.570    1.7780E-01    1.7595E-01    1.8544E-03
  0.580    1.8152E-01    1.7963E-01    1.8968E-03
  0.590    1.8528E-01    1.8334E-01    1.9396E-03
  0.600    1.8907E-01    1.8709E-01    1.9830E-03
  0.610    1.9290E-01    1.9088E-01    2.0270E-03
  0.620    1.9678E-01    1.9470E-01    2.0716E-03
  0.630    2.0069E-01    1.9857E-01    2.1168E-03
  0.640    2.0464E-01    2.0248E-01    2.1626E-03
  0.650    2.0864E-01    2.0643E-01    2.2091E-03
  0.660    2.1268E-01    2.1042E-01    2.2563E-03
  0.670    2.1676E-01    2.1446E-01    2.3041E-03
  0.680    2.2090E-01    2.1855E-01    2.3526E-03
  0.690    2.2509E-01    2.2268E-01    2.4019E-03
  0.700    2.2932E-01    2.2687E-01    2.4520E-03
  0.710    2.3361E-01    2.3111E-01    2.5029E-03
  0.720    2.3796E-01    2.3541E-01    2.5545E-03
  0.730    2.4236E-01    2.3976E-01    2.6070E-03
  0.740    2.4683E-01    2.4417E-01    2.6604E-03
  0.750    2.5135E-01    2.4864E-01    2.7147E-03
  0.760    2.5594E-01    2.5317E-01    2.7700E-03
  0.770    2.6060E-01    2.5777E-01    2.8262E-03
  0.780    2.6533E-01    2.6244E-01    2.8835E-03
  0.790    2.7013E-01    2.6718E-01    2.9417E-03
  0.800    2.7500E-01    2.7200E-01    3.0011E-03
  0.810    2.7995E-01    2.7689E-01    3.0616E-03
  0.820    2.8499E-01    2.8186E-01    3.1233E-03
  0.830    2.9011E-01    2.8692E-01    3.1863E-03
  0.840    2.9531E-01    2.9206E-01    3.2505E-03
  0.850    3.0062E-01    2.9730E-01    3.3160E-03
  0.860    3.0601E-01    3.0263E-01    3.3829E-03
  0.870    3.1151E-01    3.0806E-01    3.4513E-03
  0.880    3.1712E-01    3.1360E-01    3.5211E-03
  0.890    3.2283E-01    3.1924E-01    3.5925E-03
  0.900    3.2867E-01    3.2500E-01    3.6656E-03
  0.910    3.3462E-01    3.3088E-01    3.7403E-03
  0.920    3.4070E-01    3.3688E-01    3.8169E-03
  0.930    3.4691E-01    3.4301E-01    3.8953E-03
  0.940    3.5326E-01    3.4929E-01    3.9757E-03
  0.950    3.5976E-01    3.5570E-01    4.0581E-03
  0.960    3.6642E-01    3.6227E-01    4.1426E-03
  0.970    3.7323E-01    3.6900E-01    4.2294E-03
  0.980    3.8022E-01    3.7590E-01    4.3185E-03
  0.990    3.8738E-01    3.8297E-01    4.4102E-03
  1.000    3.9474E-01    3.9024E-01    4.5044E-03
