 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8619E-03    2.8365E-03    2.5442E-05
  0.020    5.7293E-03    5.6783E-03    5.1016E-05
  0.030    8.6023E-03    8.5256E-03    7.6724E-05
  0.040    1.1481E-02    1.1379E-02    1.0257E-04
  0.050    1.4366E-02    1.4238E-02    1.2856E-04
  0.060    1.7258E-02    1.7103E-02    1.5469E-04
  0.070    2.0156E-02    1.9975E-02    1.8097E-04
  0.080    2.3060E-02    2.2853E-02    2.0740E-04
  0.090    2.5972E-02    2.5738E-02    2.3399E-04
  0.100    2.8892E-02    2.8631E-02    2.6074E-04
  0.110    3.1819E-02    3.1531E-02    2.8766E-04
  0.120    3.4754E-02    3.4439E-02    3.1474E-04
  0.130    3.7697E-02    3.7355E-02    3.4199E-04
  0.140    4.0649E-02    4.0279E-02    3.6942E-04
  0.150    4.3609E-02    4.3212E-02    3.9703E-04
  0.160    4.6579E-02    4.6154E-02    4.2482E-04
  0.170    4.9558E-02    4.9105E-02    4.5280E-04
  0.180    5.2547E-02    5.2066E-02    4.8098E-04
  0.190    5.5546E-02    5.5036E-02    5.0935E-04
  0.200    5.8555E-02    5.8017E-02    5.3793E-04
  0.210    6.1574E-02    6.1008E-02    5.6672E-04
  0.220    6.4605E-02    6.4010E-02    5.9573E-04
  0.230    6.7647E-02    6.7022E-02    6.2495E-04
  0.240    7.0701E-02    7.0047E-02    6.5440E-04
  0.250    7.3767E-02    7.3083E-02    6.8407E-04
  0.260    7.6846E-02    7.6132E-02    7.1399E-04
  0.270    7.9937E-02    7.9193E-02    7.4414E-04
  0.280    8.3042E-02    8.2268E-02    7.7455E-04
  0.290    8.6160E-02    8.5355E-02    8.0521E-04
  0.300    8.9293E-02    8.8457E-02    8.3613E-04
  0.310    9.2440E-02    9.1573E-02    8.6732E-04
  0.320    9.5602E-02    9.4703E-02    8.9879E-04
  0.330    9.8779E-02    9.7849E-02    9.3054E-04
  0.340    1.0197E-01    1.0101E-01    9.6258E-04
  0.350    1.0518E-01    1.0419E-01    9.9491E-04
  0.360    1.0841E-01    1.0738E-01    1.0276E-03
  0.370    1.1165E-01    1.1059E-01    1.0605E-03
  0.380    1.1492E-01    1.1382E-01    1.0938E-03
  0.390    1.1820E-01    1.1707E-01    1.1274E-03
  0.400    1.2150E-01    1.2033E-01    1.1613E-03
  0.410    1.2481E-01    1.2362E-01    1.1956E-03
  0.420    1.2815E-01    1.2692E-01    1.2303E-03
  0.430    1.3152E-01    1.3025E-01    1.2653E-03
  0.440    1.3490E-01    1.3360E-01    1.3007E-03
  0.450    1.3830E-01    1.3696E-01    1.3365E-03
  0.460    1.4173E-01    1.4036E-01    1.3727E-03
  0.470    1.4518E-01    1.4377E-01    1.4093E-03
  0.480    1.4865E-01    1.4721E-01    1.4463E-03
  0.490    1.5215E-01    1.5067E-01    1.4838E-03
  0.500    1.5568E-01    1.5416E-01    1.5217E-03
  0.510    1.5923E-01    1.5767E-01    1.5600E-03
  0.520    1.6281E-01    1.6122E-01    1.5989E-03
  0.530    1.6642E-01    1.6478E-01    1.6382E-03
  0.540    1.7006E-01    1.6838E-01    1.6780E-03
  0.550    1.7373E-01    1.7201E-01    1.7184E-03
  0.560    1.7743E-01    1.7567E-01    1.7593E-03
  0.570    1.8116E-01    1.7936E-01    1.8007E-03
  0.580    1.8493E-01    1.8309E-01    1.8427E-03
  0.590    1.8873E-01    1.8684E-01    1.8853E-03
  0.600    1.9257E-01    1.9064E-01    1.9285E-03
  0.610    1.9644E-01    1.9447E-01    1.9724E-03
  0.620    2.0035E-01    1.9833E-01    2.0168E-03
  0.630    2.0430E-01    2.0224E-01    2.0620E-03
  0.640    2.0830E-01    2.0619E-01    2.1078E-03
  0.650    2.1233E-01    2.1018E-01    2.1543E-03
  0.660    2.1641E-01    2.1421E-01    2.2016E-03
  0.670    2.2053E-01    2.1828E-01    2.2496E-03
