 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7817E-03    2.7560E-03    2.5775E-05
  0.020    5.5688E-03    5.5172E-03    5.1671E-05
  0.030    8.3616E-03    8.2839E-03    7.7692E-05
  0.040    1.1160E-02    1.1056E-02    1.0384E-04
  0.050    1.3965E-02    1.3835E-02    1.3012E-04
  0.060    1.6776E-02    1.6619E-02    1.5654E-04
  0.070    1.9594E-02    1.9410E-02    1.8309E-04
  0.080    2.2418E-02    2.2208E-02    2.0979E-04
  0.090    2.5250E-02    2.5013E-02    2.3663E-04
  0.100    2.8089E-02    2.7825E-02    2.6362E-04
  0.110    3.0936E-02    3.0645E-02    2.9076E-04
  0.120    3.3791E-02    3.3473E-02    3.1806E-04
  0.130    3.6654E-02    3.6308E-02    3.4552E-04
  0.140    3.9526E-02    3.9153E-02    3.7314E-04
  0.150    4.2406E-02    4.2005E-02    4.0094E-04
  0.160    4.5296E-02    4.4867E-02    4.2891E-04
  0.170    4.8196E-02    4.7738E-02    4.5705E-04
  0.180    5.1105E-02    5.0619E-02    4.8538E-04
  0.190    5.4024E-02    5.3510E-02    5.1389E-04
  0.200    5.6954E-02    5.6411E-02    5.4260E-04
  0.210    5.9895E-02    5.9323E-02    5.7150E-04
  0.220    6.2847E-02    6.2246E-02    6.0060E-04
  0.230    6.5811E-02    6.5181E-02    6.2991E-04
  0.240    6.8786E-02    6.8127E-02    6.5944E-04
  0.250    7.1774E-02    7.1085E-02    6.8918E-04
  0.260    7.4775E-02    7.4056E-02    7.1914E-04
  0.270    7.7789E-02    7.7039E-02    7.4933E-04
  0.280    8.0816E-02    8.0036E-02    7.7975E-04
  0.290    8.3858E-02    8.3047E-02    8.1042E-04
  0.300    8.6914E-02    8.6072E-02    8.4133E-04
  0.310    8.9984E-02    8.9112E-02    8.7250E-04
  0.320    9.3071E-02    9.2167E-02    9.0392E-04
  0.330    9.6173E-02    9.5237E-02    9.3562E-04
  0.340    9.9291E-02    9.8324E-02    9.6758E-04
  0.350    1.0243E-01    1.0143E-01    9.9983E-04
  0.360    1.0558E-01    1.0455E-01    1.0324E-03
  0.370    1.0875E-01    1.0768E-01    1.0652E-03
  0.380    1.1194E-01    1.1084E-01    1.0983E-03
  0.390    1.1515E-01    1.1401E-01    1.1318E-03
  0.400    1.1837E-01    1.1721E-01    1.1656E-03
  0.410    1.2162E-01    1.2042E-01    1.1997E-03
  0.420    1.2489E-01    1.2366E-01    1.2341E-03
  0.430    1.2818E-01    1.2691E-01    1.2689E-03
  0.440    1.3149E-01    1.3019E-01    1.3040E-03
  0.450    1.3483E-01    1.3349E-01    1.3396E-03
  0.460    1.3819E-01    1.3681E-01    1.3755E-03
  0.470    1.4157E-01    1.4016E-01    1.4117E-03
  0.480    1.4498E-01    1.4353E-01    1.4484E-03
  0.490    1.4841E-01    1.4692E-01    1.4855E-03
  0.500    1.5187E-01    1.5035E-01    1.5231E-03
  0.510    1.5536E-01    1.5380E-01    1.5610E-03
  0.520    1.5887E-01    1.5728E-01    1.5995E-03
  0.530    1.6242E-01    1.6078E-01    1.6383E-03
  0.540    1.6600E-01    1.6432E-01    1.6777E-03
  0.550    1.6960E-01    1.6788E-01    1.7175E-03
  0.560    1.7324E-01    1.7148E-01    1.7579E-03
  0.570    1.7691E-01    1.7511E-01    1.7988E-03
  0.580    1.8062E-01    1.7878E-01    1.8402E-03
  0.590    1.8436E-01    1.8248E-01    1.8822E-03
  0.600    1.8814E-01    1.8621E-01    1.9248E-03
  0.610    1.9195E-01    1.8998E-01    1.9679E-03
  0.620    1.9581E-01    1.9380E-01    2.0117E-03
  0.630    1.9970E-01    1.9765E-01    2.0561E-03
  0.640    2.0364E-01    2.0154E-01    2.1012E-03
  0.650    2.0762E-01    2.0547E-01    2.1469E-03
  0.660    2.1164E-01    2.0945E-01    2.1934E-03
  0.670    2.1571E-01    2.1347E-01    2.2405E-03
