 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.9097E-03    2.8835E-03    2.6193E-05
  0.020    5.8250E-03    5.7724E-03    5.2518E-05
  0.030    8.7461E-03    8.6671E-03    7.8979E-05
  0.040    1.1673E-02    1.1568E-02    1.0558E-04
  0.050    1.4607E-02    1.4474E-02    1.3232E-04
  0.060    1.7547E-02    1.7387E-02    1.5921E-04
  0.070    2.0493E-02    2.0307E-02    1.8625E-04
  0.080    2.3447E-02    2.3234E-02    2.1344E-04
  0.090    2.6408E-02    2.6167E-02    2.4080E-04
  0.100    2.9377E-02    2.9108E-02    2.6831E-04
  0.110    3.2353E-02    3.2057E-02    2.9599E-04
  0.120    3.5338E-02    3.5014E-02    3.2383E-04
  0.130    3.8330E-02    3.7978E-02    3.5186E-04
  0.140    4.1332E-02    4.0952E-02    3.8006E-04
  0.150    4.4342E-02    4.3934E-02    4.0844E-04
  0.160    4.7361E-02    4.6924E-02    4.3701E-04
  0.170    5.0390E-02    4.9925E-02    4.6577E-04
  0.180    5.3429E-02    5.2934E-02    4.9473E-04
  0.190    5.6478E-02    5.5954E-02    5.2389E-04
  0.200    5.9537E-02    5.8984E-02    5.5325E-04
  0.210    6.2607E-02    6.2025E-02    5.8283E-04
  0.220    6.5689E-02    6.5076E-02    6.1263E-04
  0.230    6.8781E-02    6.8139E-02    6.4265E-04
  0.240    7.1886E-02    7.1213E-02    6.7289E-04
  0.250    7.5002E-02    7.4299E-02    7.0337E-04
  0.260    7.8131E-02    7.7397E-02    7.3410E-04
  0.270    8.1273E-02    8.0508E-02    7.6506E-04
  0.280    8.4428E-02    8.3632E-02    7.9628E-04
  0.290    8.7597E-02    8.6769E-02    8.2776E-04
  0.300    9.0780E-02    8.9920E-02    8.5951E-04
  0.310    9.3977E-02    9.3086E-02    8.9153E-04
  0.320    9.7190E-02    9.6266E-02    9.2382E-04
  0.330    1.0042E-01    9.9461E-02    9.5641E-04
  0.340    1.0366E-01    1.0267E-01    9.8929E-04
  0.350    1.0692E-01    1.0590E-01    1.0225E-03
  0.360    1.1020E-01    1.0914E-01    1.0560E-03
  0.370    1.1349E-01    1.1240E-01    1.0898E-03
  0.380    1.1680E-01    1.1568E-01    1.1239E-03
  0.390    1.2014E-01    1.1898E-01    1.1584E-03
  0.400    1.2348E-01    1.2229E-01    1.1932E-03
  0.410    1.2685E-01    1.2563E-01    1.2284E-03
  0.420    1.3024E-01    1.2898E-01    1.2639E-03
  0.430    1.3365E-01    1.3235E-01    1.2999E-03
  0.440    1.3708E-01    1.3575E-01    1.3362E-03
  0.450    1.4054E-01    1.3916E-01    1.3729E-03
  0.460    1.4401E-01    1.4260E-01    1.4100E-03
  0.470    1.4751E-01    1.4607E-01    1.4475E-03
  0.480    1.5104E-01    1.4955E-01    1.4855E-03
  0.490    1.5458E-01    1.5306E-01    1.5239E-03
  0.500    1.5816E-01    1.5660E-01    1.5628E-03
  0.510    1.6176E-01    1.6016E-01    1.6021E-03
  0.520    1.6539E-01    1.6374E-01    1.6419E-03
  0.530    1.6904E-01    1.6736E-01    1.6823E-03
  0.540    1.7273E-01    1.7100E-01    1.7231E-03
  0.550    1.7644E-01    1.7468E-01    1.7645E-03
  0.560    1.8019E-01    1.7838E-01    1.8064E-03
  0.570    1.8397E-01    1.8212E-01    1.8489E-03
  0.580    1.8778E-01    1.8589E-01    1.8920E-03
  0.590    1.9162E-01    1.8969E-01    1.9357E-03
  0.600    1.9550E-01    1.9352E-01    1.9800E-03
  0.610    1.9942E-01    1.9739E-01    2.0249E-03
  0.620    2.0337E-01    2.0130E-01    2.0705E-03
  0.630    2.0737E-01    2.0525E-01    2.1168E-03
  0.640    2.1140E-01    2.0924E-01    2.1638E-03
  0.650    2.1548E-01    2.1327E-01    2.2116E-03
  0.660    2.1960E-01    2.1734E-01    2.2601E-03
  0.670    2.2376E-01    2.2145E-01    2.3094E-03
  0.680    2.2797E-01    2.2561E-01    2.3595E-03
  0.690    2.3223E-01    2.2982E-01    2.4104E-03
  0.700    2.3654E-01    2.3407E-01    2.4622E-03
  0.710    2.4089E-01    2.3838E-01    2.5149E-03
  0.720    2.4531E-01    2.4274E-01    2.5686E-03
  0.730    2.4978E-01    2.4715E-01    2.6232E-03
  0.740    2.5430E-01    2.5162E-01    2.6789E-03
  0.750    2.5889E-01    2.5615E-01    2.7356E-03
  0.760    2.6354E-01    2.6074E-01    2.7933E-03
  0.770    2.6825E-01    2.6540E-01    2.8522E-03
  0.780    2.7303E-01    2.7012E-01    2.9123E-03
  0.790    2.7788E-01    2.7491E-01    2.9737E-03
  0.800    2.8280E-01    2.7977E-01    3.0362E-03
  0.810    2.8780E-01    2.8470E-01    3.1002E-03
  0.820    2.9288E-01    2.8972E-01    3.1655E-03
  0.830    2.9804E-01    2.9481E-01    3.2322E-03
  0.840    3.0329E-01    2.9999E-01    3.3005E-03
  0.850    3.0863E-01    3.0526E-01    3.3703E-03
  0.860    3.1406E-01    3.1062E-01    3.4418E-03
  0.870    3.1959E-01    3.1607E-01    3.5150E-03
  0.880    3.2522E-01    3.2163E-01    3.5900E-03
  0.890    3.3096E-01    3.2729E-01    3.6669E-03
  0.900    3.3681E-01    3.3307E-01    3.7458E-03
  0.910    3.4278E-01    3.3896E-01    3.8267E-03
  0.920    3.4888E-01    3.4497E-01    3.9098E-03
  0.930    3.5511E-01    3.5111E-01    3.9952E-03
  0.940    3.6147E-01    3.5739E-01    4.0829E-03
  0.950    3.6798E-01    3.6380E-01    4.1732E-03
  0.960    3.7464E-01    3.7037E-01    4.2662E-03
  0.970    3.8146E-01    3.7709E-01    4.3619E-03
  0.980    3.8844E-01    3.8398E-01    4.4605E-03
  0.990    3.9561E-01    3.9105E-01    4.5623E-03
  1.000    4.0297E-01    3.9830E-01    4.6673E-03
