 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7679E-03    2.7417E-03    2.6155E-05
  0.020    5.5415E-03    5.4890E-03    5.2441E-05
  0.030    8.3210E-03    8.2421E-03    7.8863E-05
  0.040    1.1107E-02    1.1001E-02    1.0542E-04
  0.050    1.3899E-02    1.3767E-02    1.3212E-04
  0.060    1.6698E-02    1.6539E-02    1.5897E-04
  0.070    1.9503E-02    1.9317E-02    1.8596E-04
  0.080    2.2316E-02    2.2103E-02    2.1311E-04
  0.090    2.5136E-02    2.4896E-02    2.4041E-04
  0.100    2.7964E-02    2.7696E-02    2.6787E-04
  0.110    3.0800E-02    3.0504E-02    2.9550E-04
  0.120    3.3644E-02    3.3321E-02    3.2329E-04
  0.130    3.6496E-02    3.6145E-02    3.5126E-04
  0.140    3.9358E-02    3.8978E-02    3.7940E-04
  0.150    4.2228E-02    4.1820E-02    4.0772E-04
  0.160    4.5108E-02    4.4672E-02    4.3623E-04
  0.170    4.7997E-02    4.7532E-02    4.6492E-04
  0.180    5.0896E-02    5.0403E-02    4.9381E-04
  0.190    5.3806E-02    5.3283E-02    5.2290E-04
  0.200    5.6726E-02    5.6174E-02    5.5219E-04
  0.210    5.9658E-02    5.9076E-02    5.8169E-04
  0.220    6.2600E-02    6.1989E-02    6.1141E-04
  0.230    6.5554E-02    6.4913E-02    6.4134E-04
  0.240    6.8520E-02    6.7849E-02    6.7149E-04
  0.250    7.1499E-02    7.0797E-02    7.0188E-04
  0.260    7.4490E-02    7.3758E-02    7.3250E-04
  0.270    7.7494E-02    7.6731E-02    7.6337E-04
  0.280    8.0512E-02    7.9718E-02    7.9448E-04
  0.290    8.3544E-02    8.2718E-02    8.2584E-04
  0.300    8.6590E-02    8.5733E-02    8.5747E-04
  0.310    8.9651E-02    8.8762E-02    8.8936E-04
  0.320    9.2728E-02    9.1806E-02    9.2152E-04
  0.330    9.5819E-02    9.4865E-02    9.5397E-04
  0.340    9.8927E-02    9.7941E-02    9.8670E-04
  0.350    1.0205E-01    1.0103E-01    1.0197E-03
  0.360    1.0519E-01    1.0414E-01    1.0531E-03
  0.370    1.0835E-01    1.0727E-01    1.0867E-03
  0.380    1.1153E-01    1.1041E-01    1.1207E-03
  0.390    1.1473E-01    1.1357E-01    1.1550E-03
  0.400    1.1794E-01    1.1675E-01    1.1896E-03
  0.410    1.2118E-01    1.1995E-01    1.2246E-03
  0.420    1.2443E-01    1.2317E-01    1.2599E-03
  0.430    1.2771E-01    1.2642E-01    1.2956E-03
  0.440    1.3101E-01    1.2968E-01    1.3316E-03
  0.450    1.3433E-01    1.3296E-01    1.3681E-03
  0.460    1.3767E-01    1.3627E-01    1.4049E-03
  0.470    1.4104E-01    1.3960E-01    1.4422E-03
  0.480    1.4443E-01    1.4295E-01    1.4798E-03
  0.490    1.4785E-01    1.4633E-01    1.5179E-03
  0.500    1.5129E-01    1.4974E-01    1.5565E-03
  0.510    1.5476E-01    1.5317E-01    1.5954E-03
  0.520    1.5826E-01    1.5663E-01    1.6349E-03
  0.530    1.6179E-01    1.6011E-01    1.6748E-03
  0.540    1.6534E-01    1.6363E-01    1.7153E-03
  0.550    1.6893E-01    1.6717E-01    1.7562E-03
  0.560    1.7255E-01    1.7075E-01    1.7977E-03
  0.570    1.7620E-01    1.7436E-01    1.8397E-03
  0.580    1.7988E-01    1.7800E-01    1.8822E-03
  0.590    1.8360E-01    1.8167E-01    1.9254E-03
  0.600    1.8735E-01    1.8538E-01    1.9691E-03
  0.610    1.9114E-01    1.8913E-01    2.0134E-03
  0.620    1.9497E-01    1.9291E-01    2.0584E-03
  0.630    1.9883E-01    1.9673E-01    2.1040E-03
  0.640    2.0274E-01    2.0059E-01    2.1503E-03
  0.650    2.0669E-01    2.0449E-01    2.1973E-03
  0.660    2.1068E-01    2.0844E-01    2.2449E-03
  0.670    2.1472E-01    2.1243E-01    2.2934E-03
