 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8437E-03    2.8169E-03    2.6781E-05
  0.020    5.6926E-03    5.6389E-03    5.3677E-05
  0.030    8.5469E-03    8.4662E-03    8.0693E-05
  0.040    1.1407E-02    1.1299E-02    1.0783E-04
  0.050    1.4273E-02    1.4138E-02    1.3510E-04
  0.060    1.7145E-02    1.6982E-02    1.6249E-04
  0.070    2.0023E-02    1.9833E-02    1.9002E-04
  0.080    2.2908E-02    2.2691E-02    2.1768E-04
  0.090    2.5800E-02    2.5555E-02    2.4548E-04
  0.100    2.8699E-02    2.8426E-02    2.7342E-04
  0.110    3.1606E-02    3.1304E-02    3.0152E-04
  0.120    3.4520E-02    3.4190E-02    3.2976E-04
  0.130    3.7442E-02    3.7084E-02    3.5816E-04
  0.140    4.0372E-02    3.9985E-02    3.8671E-04
  0.150    4.3311E-02    4.2895E-02    4.1543E-04
  0.160    4.6258E-02    4.5814E-02    4.4432E-04
  0.170    4.9215E-02    4.8742E-02    4.7337E-04
  0.180    5.2181E-02    5.1678E-02    5.0260E-04
  0.190    5.5157E-02    5.4625E-02    5.3202E-04
  0.200    5.8142E-02    5.7581E-02    5.6161E-04
  0.210    6.1138E-02    6.0547E-02    5.9140E-04
  0.220    6.4145E-02    6.3523E-02    6.2138E-04
  0.230    6.7162E-02    6.6511E-02    6.5156E-04
  0.240    7.0191E-02    6.9509E-02    6.8194E-04
  0.250    7.3232E-02    7.2519E-02    7.1253E-04
  0.260    7.6285E-02    7.5541E-02    7.4334E-04
  0.270    7.9350E-02    7.8575E-02    7.7436E-04
  0.280    8.2428E-02    8.1622E-02    8.0562E-04
  0.290    8.5519E-02    8.4682E-02    8.3710E-04
  0.300    8.8623E-02    8.7755E-02    8.6882E-04
  0.310    9.1742E-02    9.0841E-02    9.0079E-04
  0.320    9.4875E-02    9.3942E-02    9.3300E-04
  0.330    9.8023E-02    9.7058E-02    9.6547E-04
  0.340    1.0119E-01    1.0019E-01    9.9821E-04
  0.350    1.0437E-01    1.0333E-01    1.0312E-03
  0.360    1.0756E-01    1.0650E-01    1.0645E-03
  0.370    1.1077E-01    1.0967E-01    1.0981E-03
  0.380    1.1400E-01    1.1287E-01    1.1319E-03
  0.390    1.1725E-01    1.1608E-01    1.1661E-03
  0.400    1.2051E-01    1.1931E-01    1.2005E-03
  0.410    1.2380E-01    1.2256E-01    1.2353E-03
  0.420    1.2710E-01    1.2583E-01    1.2704E-03
  0.430    1.3043E-01    1.2912E-01    1.3059E-03
