 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8627E-03    2.8369E-03    2.5771E-05
  0.020    5.7312E-03    5.6795E-03    5.1670E-05
  0.030    8.6058E-03    8.5281E-03    7.7701E-05
  0.040    1.1487E-02    1.1383E-02    1.0387E-04
  0.050    1.4375E-02    1.4244E-02    1.3017E-04
  0.060    1.7269E-02    1.7113E-02    1.5661E-04
  0.070    2.0171E-02    1.9988E-02    1.8321E-04
  0.080    2.3080E-02    2.2870E-02    2.0994E-04
  0.090    2.5997E-02    2.5760E-02    2.3683E-04
  0.100    2.8922E-02    2.8658E-02    2.6388E-04
  0.110    3.1855E-02    3.1564E-02    2.9109E-04
  0.120    3.4797E-02    3.4479E-02    3.1846E-04
  0.130    3.7748E-02    3.7402E-02    3.4599E-04
  0.140    4.0708E-02    4.0335E-02    3.7370E-04
  0.150    4.3678E-02    4.3276E-02    4.0159E-04
  0.160    4.6657E-02    4.6228E-02    4.2965E-04
  0.170    4.9647E-02    4.9189E-02    4.5790E-04
  0.180    5.2647E-02    5.2161E-02    4.8633E-04
  0.190    5.5659E-02    5.5144E-02    5.1496E-04
  0.200    5.8681E-02    5.8137E-02    5.4379E-04
  0.210    6.1715E-02    6.1142E-02    5.7282E-04
  0.220    6.4761E-02    6.4159E-02    6.0206E-04
  0.230    6.7820E-02    6.7188E-02    6.3152E-04
  0.240    7.0891E-02    7.0230E-02    6.6119E-04
  0.250    7.3975E-02    7.3284E-02    6.9108E-04
  0.260    7.7073E-02    7.6352E-02    7.2120E-04
  0.270    8.0185E-02    7.9434E-02    7.5156E-04
  0.280    8.3312E-02    8.2530E-02    7.8216E-04
  0.290    8.6453E-02    8.5640E-02    8.1300E-04
  0.300    8.9610E-02    8.8766E-02    8.4410E-04
  0.310    9.2783E-02    9.1907E-02    8.7546E-04
  0.320    9.5971E-02    9.5064E-02    9.0708E-04
  0.330    9.9177E-02    9.8238E-02    9.3898E-04
  0.340    1.0240E-01    1.0143E-01    9.7115E-04
  0.350    1.0564E-01    1.0464E-01    1.0036E-03
  0.360    1.0890E-01    1.0786E-01    1.0364E-03
  0.370    1.1218E-01    1.1111E-01    1.0694E-03
  0.380    1.1548E-01    1.1437E-01    1.1028E-03
  0.390    1.1879E-01    1.1766E-01    1.1365E-03
  0.400    1.2213E-01    1.2096E-01    1.1705E-03
  0.410    1.2549E-01    1.2429E-01    1.2048E-03
  0.420    1.2888E-01    1.2764E-01    1.2395E-03
  0.430    1.3228E-01    1.3101E-01    1.2745E-03
  0.440    1.3571E-01    1.3440E-01    1.3099E-03
  0.450    1.3916E-01    1.3782E-01    1.3457E-03
  0.460    1.4264E-01    1.4126E-01    1.3819E-03
  0.470    1.4614E-01    1.4472E-01    1.4184E-03
  0.480    1.4967E-01    1.4822E-01    1.4553E-03
  0.490    1.5323E-01    1.5174E-01    1.4927E-03
  0.500    1.5681E-01    1.5528E-01    1.5305E-03
  0.510    1.6043E-01    1.5886E-01    1.5687E-03
  0.520    1.6407E-01    1.6247E-01    1.6074E-03
  0.530    1.6775E-01    1.6610E-01    1.6465E-03
  0.540    1.7145E-01    1.6977E-01    1.6861E-03
  0.550    1.7519E-01    1.7347E-01    1.7262E-03
  0.560    1.7897E-01    1.7720E-01    1.7668E-03
  0.570    1.8278E-01    1.8097E-01    1.8079E-03
  0.580    1.8662E-01    1.8477E-01    1.8496E-03
  0.590    1.9051E-01    1.8862E-01    1.8918E-03
  0.600    1.9443E-01    1.9249E-01    1.9346E-03
  0.610    1.9839E-01    1.9641E-01    1.9779E-03
  0.620    2.0240E-01    2.0037E-01    2.0219E-03
  0.630    2.0644E-01    2.0438E-01    2.0665E-03
  0.640    2.1053E-01    2.0842E-01    2.1117E-03
  0.650    2.1467E-01    2.1251E-01    2.1576E-03
  0.660    2.1886E-01    2.1665E-01    2.2042E-03
  0.670    2.2309E-01    2.2084E-01    2.2515E-03
  0.680    2.2738E-01    2.2508E-01    2.2995E-03
  0.690    2.3171E-01    2.2937E-01    2.3483E-03
  0.700    2.3611E-01    2.3371E-01    2.3978E-03
  0.710    2.4056E-01    2.3811E-01    2.4482E-03
  0.720    2.4507E-01    2.4257E-01    2.4994E-03
  0.730    2.4964E-01    2.4709E-01    2.5514E-03
  0.740    2.5428E-01    2.5167E-01    2.6044E-03
  0.750    2.5898E-01    2.5632E-01    2.6583E-03
  0.760    2.6375E-01    2.6104E-01    2.7132E-03
  0.770    2.6859E-01    2.6582E-01    2.7690E-03
  0.780    2.7351E-01    2.7069E-01    2.8259E-03
  0.790    2.7851E-01    2.7562E-01    2.8839E-03
  0.800    2.8359E-01    2.8064E-01    2.9430E-03
  0.810    2.8875E-01    2.8574E-01    3.0033E-03
  0.820    2.9400E-01    2.9093E-01    3.0648E-03
  0.830    2.9934E-01    2.9622E-01    3.1275E-03
  0.840    3.0478E-01    3.0159E-01    3.1916E-03
  0.850    3.1033E-01    3.0707E-01    3.2570E-03
  0.860    3.1597E-01    3.1265E-01    3.3239E-03
  0.870    3.2173E-01    3.1834E-01    3.3923E-03
  0.880    3.2760E-01    3.2414E-01    3.4622E-03
  0.890    3.3360E-01    3.3007E-01    3.5338E-03
  0.900    3.3972E-01    3.3612E-01    3.6071E-03
  0.910    3.4598E-01    3.4230E-01    3.6822E-03
  0.920    3.5238E-01    3.4862E-01    3.7591E-03
  0.930    3.5892E-01    3.5508E-01    3.8380E-03
  0.940    3.6562E-01    3.6170E-01    3.9190E-03
  0.950    3.7249E-01    3.6848E-01    4.0022E-03
  0.960    3.7952E-01    3.7543E-01    4.0876E-03
