 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8214E-03    2.7948E-03    2.6555E-05
  0.020    5.6482E-03    5.5949E-03    5.3233E-05
  0.030    8.4806E-03    8.4006E-03    8.0039E-05
  0.040    1.1319E-02    1.1212E-02    1.0698E-04
  0.050    1.4163E-02    1.4029E-02    1.3405E-04
  0.060    1.7014E-02    1.6853E-02    1.6125E-04
  0.070    1.9871E-02    1.9683E-02    1.8860E-04
  0.080    2.2735E-02    2.2519E-02    2.1609E-04
  0.090    2.5606E-02    2.5362E-02    2.4373E-04
  0.100    2.8484E-02    2.8213E-02    2.7151E-04
  0.110    3.1370E-02    3.1071E-02    2.9945E-04
  0.120    3.4264E-02    3.3936E-02    3.2755E-04
  0.130    3.7166E-02    3.6810E-02    3.5581E-04
  0.140    4.0076E-02    3.9692E-02    3.8424E-04
  0.150    4.2994E-02    4.2582E-02    4.1284E-04
  0.160    4.5922E-02    4.5480E-02    4.4161E-04
  0.170    4.8859E-02    4.8388E-02    4.7056E-04
  0.180    5.1805E-02    5.1305E-02    4.9969E-04
  0.190    5.4761E-02    5.4232E-02    5.2901E-04
  0.200    5.7727E-02    5.7168E-02    5.5852E-04
  0.210    6.0703E-02    6.0115E-02    5.8822E-04
  0.220    6.3690E-02    6.3072E-02    6.1813E-04
  0.230    6.6688E-02    6.6040E-02    6.4825E-04
  0.240    6.9698E-02    6.9019E-02    6.7857E-04
  0.250    7.2719E-02    7.2010E-02    7.0911E-04
  0.260    7.5752E-02    7.5013E-02    7.3988E-04
  0.270    7.8798E-02    7.8027E-02    7.7087E-04
  0.280    8.1857E-02    8.1055E-02    8.0209E-04
  0.290    8.4929E-02    8.4095E-02    8.3355E-04
  0.300    8.8014E-02    8.7149E-02    8.6526E-04
  0.310    9.1113E-02    9.0216E-02    8.9722E-04
  0.320    9.4227E-02    9.3298E-02    9.2944E-04
  0.330    9.7356E-02    9.6394E-02    9.6192E-04
  0.340    1.0050E-01    9.9505E-02    9.9468E-04
  0.350    1.0366E-01    1.0263E-01    1.0277E-03
  0.360    1.0684E-01    1.0577E-01    1.0610E-03
