 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8741E-03    2.8487E-03    2.5414E-05
  0.020    5.7533E-03    5.7023E-03    5.0948E-05
  0.030    8.6378E-03    8.5612E-03    7.6605E-05
  0.040    1.1528E-02    1.1425E-02    1.0239E-04
  0.050    1.4424E-02    1.4295E-02    1.2830E-04
  0.060    1.7326E-02    1.7171E-02    1.5435E-04
  0.070    2.0234E-02    2.0053E-02    1.8053E-04
  0.080    2.3149E-02    2.2942E-02    2.0685E-04
  0.090    2.6070E-02    2.5837E-02    2.3331E-04
  0.100    2.8999E-02    2.8739E-02    2.5991E-04
  0.110    3.1934E-02    3.1648E-02    2.8667E-04
  0.120    3.4878E-02    3.4564E-02    3.1357E-04
  0.130    3.7829E-02    3.7488E-02    3.4063E-04
  0.140    4.0788E-02    4.0420E-02    3.6785E-04
  0.150    4.3756E-02    4.3361E-02    3.9524E-04
  0.160    4.6732E-02    4.6309E-02    4.2279E-04
  0.170    4.9717E-02    4.9267E-02    4.5051E-04
  0.180    5.2712E-02    5.2234E-02    4.7840E-04
  0.190    5.5716E-02    5.5210E-02    5.0648E-04
  0.200    5.8730E-02    5.8195E-02    5.3473E-04
  0.210    6.1754E-02    6.1191E-02    5.6318E-04
  0.220    6.4789E-02    6.4197E-02    5.9181E-04
  0.230    6.7834E-02    6.7214E-02    6.2065E-04
  0.240    7.0891E-02    7.0241E-02    6.4968E-04
  0.250    7.3959E-02    7.3280E-02    6.7893E-04
  0.260    7.7039E-02    7.6331E-02    7.0838E-04
  0.270    8.0132E-02    7.9394E-02    7.3805E-04
  0.280    8.3237E-02    8.2469E-02    7.6794E-04
  0.290    8.6355E-02    8.5557E-02    7.9806E-04
  0.300    8.9486E-02    8.8658E-02    8.2841E-04
  0.310    9.2632E-02    9.1773E-02    8.5900E-04
  0.320    9.5791E-02    9.4901E-02    8.8984E-04
  0.330    9.8965E-02    9.8045E-02    9.2093E-04
  0.340    1.0215E-01    1.0120E-01    9.5228E-04
  0.350    1.0536E-01    1.0438E-01    9.8389E-04
  0.360    1.0858E-01    1.0757E-01    1.0158E-03
  0.370    1.1182E-01    1.1077E-01    1.0479E-03
  0.380    1.1507E-01    1.1399E-01    1.0804E-03
  0.390    1.1835E-01    1.1723E-01    1.1131E-03
  0.400    1.2164E-01    1.2049E-01    1.1462E-03
  0.410    1.2494E-01    1.2376E-01    1.1795E-03
  0.420    1.2827E-01    1.2706E-01    1.2132E-03
  0.430    1.3162E-01    1.3037E-01    1.2472E-03
  0.440    1.3499E-01    1.3371E-01    1.2815E-03
  0.450    1.3838E-01    1.3706E-01    1.3162E-03
  0.460    1.4179E-01    1.4044E-01    1.3512E-03
  0.470    1.4522E-01    1.4383E-01    1.3866E-03
  0.480    1.4868E-01    1.4725E-01    1.4224E-03
  0.490    1.5216E-01    1.5070E-01    1.4586E-03
  0.500    1.5566E-01    1.5416E-01    1.4951E-03
  0.510    1.5919E-01    1.5766E-01    1.5321E-03
  0.520    1.6274E-01    1.6117E-01    1.5695E-03
  0.530    1.6632E-01    1.6472E-01    1.6073E-03
  0.540    1.6993E-01    1.6829E-01    1.6456E-03
