 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8984E-03    2.8724E-03    2.5990E-05
  0.020    5.8024E-03    5.7503E-03    5.2103E-05
  0.030    8.7124E-03    8.6340E-03    7.8344E-05
  0.040    1.1629E-02    1.1524E-02    1.0472E-04
  0.050    1.4551E-02    1.4420E-02    1.3122E-04
  0.060    1.7480E-02    1.7323E-02    1.5786E-04
  0.070    2.0417E-02    2.0232E-02    1.8464E-04
  0.080    2.3360E-02    2.3149E-02    2.1156E-04
  0.090    2.6311E-02    2.6072E-02    2.3863E-04
  0.100    2.9270E-02    2.9004E-02    2.6585E-04
  0.110    3.2237E-02    3.1943E-02    2.9322E-04
  0.120    3.5212E-02    3.4891E-02    3.2074E-04
  0.130    3.8196E-02    3.7847E-02    3.4843E-04
  0.140    4.1188E-02    4.0812E-02    3.7628E-04
  0.150    4.4190E-02    4.3786E-02    4.0430E-04
  0.160    4.7202E-02    4.6770E-02    4.3249E-04
  0.170    5.0223E-02    4.9763E-02    4.6085E-04
  0.180    5.3255E-02    5.2766E-02    4.8939E-04
  0.190    5.6297E-02    5.5779E-02    5.1812E-04
  0.200    5.9350E-02    5.8803E-02    5.4704E-04
  0.210    6.2415E-02    6.1839E-02    5.7615E-04
  0.220    6.5491E-02    6.4885E-02    6.0545E-04
  0.230    6.8578E-02    6.7943E-02    6.3496E-04
  0.240    7.1679E-02    7.1014E-02    6.6467E-04
  0.250    7.4791E-02    7.4097E-02    6.9460E-04
  0.260    7.7917E-02    7.7193E-02    7.2474E-04
  0.270    8.1057E-02    8.0302E-02    7.5511E-04
  0.280    8.4210E-02    8.3424E-02    7.8570E-04
  0.290    8.7378E-02    8.6561E-02    8.1653E-04
  0.300    9.0560E-02    8.9712E-02    8.4760E-04
  0.310    9.3757E-02    9.2879E-02    8.7891E-04
  0.320    9.6971E-02    9.6060E-02    9.1047E-04
  0.330    1.0020E-01    9.9258E-02    9.4229E-04
  0.340    1.0345E-01    1.0247E-01    9.7437E-04
  0.350    1.0671E-01    1.0570E-01    1.0067E-03
  0.360    1.0999E-01    1.0895E-01    1.0394E-03
  0.370    1.1329E-01    1.1222E-01    1.0723E-03
