 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7820E-03    2.7566E-03    2.5409E-05
  0.020    5.5692E-03    5.5183E-03    5.0940E-05
  0.030    8.3618E-03    8.2852E-03    7.6596E-05
  0.040    1.1160E-02    1.1058E-02    1.0238E-04
  0.050    1.3964E-02    1.3836E-02    1.2830E-04
  0.060    1.6774E-02    1.6620E-02    1.5435E-04
  0.070    1.9591E-02    1.9410E-02    1.8054E-04
  0.080    2.2414E-02    2.2207E-02    2.0687E-04
  0.090    2.5243E-02    2.5010E-02    2.3335E-04
  0.100    2.8080E-02    2.7820E-02    2.5997E-04
  0.110    3.0924E-02    3.0638E-02    2.8675E-04
  0.120    3.3776E-02    3.3463E-02    3.1368E-04
  0.130    3.6636E-02    3.6295E-02    3.4077E-04
  0.140    3.9504E-02    3.9136E-02    3.6803E-04
  0.150    4.2380E-02    4.1985E-02    3.9545E-04
  0.160    4.5265E-02    4.4842E-02    4.2304E-04
  0.170    4.8159E-02    4.7708E-02    4.5082E-04
  0.180    5.1063E-02    5.0584E-02    4.7877E-04
  0.190    5.3976E-02    5.3469E-02    5.0690E-04
  0.200    5.6898E-02    5.6363E-02    5.3523E-04
  0.210    5.9832E-02    5.9268E-02    5.6375E-04
  0.220    6.2776E-02    6.2183E-02    5.9247E-04
  0.230    6.5730E-02    6.5109E-02    6.2140E-04
  0.240    6.8696E-02    6.8046E-02    6.5053E-04
  0.250    7.1674E-02    7.0994E-02    6.7988E-04
  0.260    7.4664E-02    7.3954E-02    7.0945E-04
  0.270    7.7666E-02    7.6927E-02    7.3925E-04
  0.280    8.0681E-02    7.9912E-02    7.6928E-04
  0.290    8.3709E-02    8.2909E-02    7.9955E-04
  0.300    8.6751E-02    8.5921E-02    8.3006E-04
  0.310    8.9806E-02    8.8946E-02    8.6083E-04
  0.320    9.2876E-02    9.1985E-02    8.9185E-04
  0.330    9.5961E-02    9.5038E-02    9.2314E-04
  0.340    9.9062E-02    9.8107E-02    9.5471E-04
  0.350    1.0218E-01    1.0119E-01    9.8655E-04
  0.360    1.0531E-01    1.0429E-01    1.0187E-03
  0.370    1.0846E-01    1.0741E-01    1.0511E-03
  0.380    1.1163E-01    1.1054E-01    1.0838E-03
  0.390    1.1481E-01    1.1369E-01    1.1169E-03
  0.400    1.1801E-01    1.1686E-01    1.1502E-03
  0.410    1.2123E-01    1.2005E-01    1.1839E-03
  0.420    1.2448E-01    1.2326E-01    1.2180E-03
  0.430    1.2774E-01    1.2649E-01    1.2524E-03
  0.440    1.3102E-01    1.2973E-01    1.2871E-03
  0.450    1.3432E-01    1.3300E-01    1.3222E-03
  0.460    1.3765E-01    1.3629E-01    1.3577E-03
  0.470    1.4100E-01    1.3960E-01    1.3936E-03
  0.480    1.4437E-01    1.4294E-01    1.4299E-03
  0.490    1.4776E-01    1.4630E-01    1.4667E-03
  0.500    1.5119E-01    1.4968E-01    1.5038E-03
  0.510    1.5463E-01    1.5309E-01    1.5414E-03
  0.520    1.5810E-01    1.5653E-01    1.5795E-03
  0.530    1.6161E-01    1.5999E-01    1.6180E-03
  0.540    1.6513E-01    1.6348E-01    1.6570E-03
  0.550    1.6869E-01    1.6700E-01    1.6966E-03
  0.560    1.7228E-01    1.7054E-01    1.7366E-03
  0.570    1.7590E-01    1.7412E-01    1.7772E-03
  0.580    1.7955E-01    1.7773E-01    1.8184E-03
  0.590    1.8323E-01    1.8137E-01    1.8601E-03
  0.600    1.8695E-01    1.8505E-01    1.9024E-03
  0.610    1.9071E-01    1.8876E-01    1.9453E-03
  0.620    1.9450E-01    1.9251E-01    1.9889E-03
  0.630    1.9833E-01    1.9630E-01    2.0331E-03
  0.640    2.0220E-01    2.0012E-01    2.0781E-03
  0.650    2.0611E-01    2.0398E-01    2.1237E-03
  0.660    2.1006E-01    2.0789E-01    2.1700E-03
  0.670    2.1405E-01    2.1183E-01    2.2171E-03
  0.680    2.1809E-01    2.1583E-01    2.2650E-03
  0.690    2.2218E-01    2.1986E-01    2.3137E-03
  0.700    2.2631E-01    2.2395E-01    2.3633E-03
  0.710    2.3050E-01    2.2808E-01    2.4137E-03
  0.720    2.3474E-01    2.3227E-01    2.4651E-03
  0.730    2.3903E-01    2.3651E-01    2.5174E-03
  0.740    2.4338E-01    2.4081E-01    2.5706E-03
  0.750    2.4778E-01    2.4516E-01    2.6249E-03
  0.760    2.5225E-01    2.4957E-01    2.6803E-03
  0.770    2.5678E-01    2.5404E-01    2.7368E-03
  0.780    2.6138E-01    2.5858E-01    2.7944E-03
