 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8086E-03    2.7819E-03    2.6688E-05
  0.020    5.6226E-03    5.5691E-03    5.3506E-05
  0.030    8.4424E-03    8.3620E-03    8.0457E-05
  0.040    1.1268E-02    1.1161E-02    1.0755E-04
  0.050    1.4100E-02    1.3965E-02    1.3478E-04
  0.060    1.6938E-02    1.6776E-02    1.6215E-04
  0.070    1.9783E-02    1.9594E-02    1.8967E-04
  0.080    2.2635E-02    2.2418E-02    2.1734E-04
  0.090    2.5495E-02    2.5250E-02    2.4517E-04
  0.100    2.8361E-02    2.8088E-02    2.7316E-04
  0.110    3.1236E-02    3.0935E-02    3.0131E-04
  0.120    3.4118E-02    3.3789E-02    3.2963E-04
  0.130    3.7009E-02    3.6651E-02    3.5812E-04
  0.140    3.9908E-02    3.9522E-02    3.8678E-04
  0.150    4.2817E-02    4.2401E-02    4.1563E-04
  0.160    4.5734E-02    4.5289E-02    4.4466E-04
  0.170    4.8661E-02    4.8187E-02    4.7388E-04
  0.180    5.1598E-02    5.1094E-02    5.0329E-04
  0.190    5.4545E-02    5.4012E-02    5.3290E-04
  0.200    5.7502E-02    5.6939E-02    5.6272E-04
  0.210    6.0470E-02    5.9877E-02    5.9274E-04
  0.220    6.3449E-02    6.2826E-02    6.2298E-04
  0.230    6.6440E-02    6.5787E-02    6.5343E-04
  0.240    6.9443E-02    6.8758E-02    6.8411E-04
  0.250    7.2457E-02    7.1742E-02    7.1503E-04
  0.260    7.5485E-02    7.4739E-02    7.4617E-04
  0.270    7.8525E-02    7.7748E-02    7.7756E-04
  0.280    8.1579E-02    8.0770E-02    8.0920E-04
  0.290    8.4646E-02    8.3805E-02    8.4109E-04
  0.300    8.7728E-02    8.6855E-02    8.7324E-04
  0.310    9.0825E-02    8.9919E-02    9.0566E-04
  0.320    9.3936E-02    9.2998E-02    9.3835E-04
  0.330    9.7063E-02    9.6092E-02    9.7132E-04
  0.340    1.0021E-01    9.9202E-02    1.0046E-03
  0.350    1.0337E-01    1.0233E-01    1.0381E-03
  0.360    1.0654E-01    1.0547E-01    1.0720E-03
  0.370    1.0974E-01    1.0863E-01    1.1062E-03
  0.380    1.1295E-01    1.1181E-01    1.1407E-03
  0.390    1.1618E-01    1.1500E-01    1.1755E-03
  0.400    1.1943E-01    1.1822E-01    1.2106E-03
  0.410    1.2270E-01    1.2145E-01    1.2461E-03
  0.420    1.2599E-01    1.2471E-01    1.2820E-03
  0.430    1.2930E-01    1.2798E-01    1.3182E-03
  0.440    1.3263E-01    1.3128E-01    1.3548E-03
  0.450    1.3599E-01    1.3460E-01    1.3918E-03
  0.460    1.3937E-01    1.3794E-01    1.4292E-03
  0.470    1.4277E-01    1.4130E-01    1.4670E-03
  0.480    1.4620E-01    1.4469E-01    1.5052E-03
  0.490    1.4965E-01    1.4810E-01    1.5438E-03
  0.500    1.5312E-01    1.5154E-01    1.5829E-03
  0.510    1.5663E-01    1.5501E-01    1.6224E-03
  0.520    1.6016E-01    1.5850E-01    1.6624E-03
  0.530    1.6372E-01    1.6202E-01    1.7029E-03
  0.540    1.6731E-01    1.6557E-01    1.7439E-03
  0.550    1.7093E-01    1.6914E-01    1.7854E-03
  0.560    1.7458E-01    1.7275E-01    1.8274E-03
  0.570    1.7826E-01    1.7639E-01    1.8700E-03
  0.580    1.8198E-01    1.8007E-01    1.9131E-03
  0.590    1.8573E-01    1.8378E-01    1.9568E-03
  0.600    1.8952E-01    1.8752E-01    2.0011E-03
  0.610    1.9335E-01    1.9130E-01    2.0460E-03
  0.620    1.9721E-01    1.9512E-01    2.0916E-03
  0.630    2.0111E-01    1.9897E-01    2.1378E-03
  0.640    2.0505E-01    2.0287E-01    2.1846E-03
  0.650    2.0904E-01    2.0681E-01    2.2322E-03
  0.660    2.1307E-01    2.1079E-01    2.2805E-03
  0.670    2.1714E-01    2.1481E-01    2.3295E-03
  0.680    2.2126E-01    2.1888E-01    2.3794E-03
  0.690    2.2543E-01    2.2300E-01    2.4300E-03
  0.700    2.2965E-01    2.2717E-01    2.4814E-03
  0.710    2.3393E-01    2.3139E-01    2.5337E-03
  0.720    2.3825E-01    2.3567E-01    2.5869E-03
  0.730    2.4264E-01    2.4000E-01    2.6410E-03
  0.740    2.4708E-01    2.4438E-01    2.6961E-03
  0.750    2.5158E-01    2.4883E-01    2.7521E-03
  0.760    2.5615E-01    2.5334E-01    2.8092E-03
  0.770    2.6078E-01    2.5792E-01    2.8674E-03
  0.780    2.6548E-01    2.6256E-01    2.9266E-03
  0.790    2.7026E-01    2.6727E-01    2.9870E-03
  0.800    2.7510E-01    2.7206E-01    3.0487E-03
  0.810    2.8003E-01    2.7692E-01    3.1115E-03
  0.820    2.8503E-01    2.8186E-01    3.1757E-03
  0.830    2.9012E-01    2.8688E-01    3.2412E-03
  0.840    2.9530E-01    2.9199E-01    3.3081E-03
  0.850    3.0057E-01    2.9719E-01    3.3765E-03
  0.860    3.0594E-01    3.0249E-01    3.4465E-03
  0.870    3.1140E-01    3.0788E-01    3.5180E-03
  0.880    3.1697E-01    3.1338E-01    3.5913E-03
  0.890    3.2266E-01    3.1899E-01    3.6663E-03
  0.900    3.2845E-01    3.2471E-01    3.7431E-03
  0.910    3.3437E-01    3.3055E-01    3.8219E-03
  0.920    3.4042E-01    3.3652E-01    3.9027E-03
  0.930    3.4660E-01    3.4262E-01    3.9856E-03
  0.940    3.5292E-01    3.4885E-01    4.0707E-03
  0.950    3.5939E-01    3.5523E-01    4.1582E-03
  0.960    3.6602E-01    3.6177E-01    4.2481E-03
  0.970    3.7281E-01    3.6847E-01    4.3407E-03
  0.980    3.7977E-01    3.7533E-01    4.4359E-03
  0.990    3.8692E-01    3.8238E-01    4.5341E-03
  1.000    3.9425E-01    3.8962E-01    4.6352E-03
