 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8150E-03    2.7891E-03    2.5917E-05
  0.020    5.6355E-03    5.5836E-03    5.1967E-05
  0.030    8.4617E-03    8.3836E-03    7.8155E-05
  0.040    1.1294E-02    1.1189E-02    1.0448E-04
  0.050    1.4132E-02    1.4001E-02    1.3096E-04
  0.060    1.6977E-02    1.6819E-02    1.5758E-04
  0.070    1.9828E-02    1.9643E-02    1.8435E-04
  0.080    2.2686E-02    2.2475E-02    2.1127E-04
  0.090    2.5551E-02    2.5313E-02    2.3836E-04
  0.100    2.8423E-02    2.8158E-02    2.6560E-04
  0.110    3.1304E-02    3.1011E-02    2.9301E-04
  0.120    3.4192E-02    3.3871E-02    3.2059E-04
  0.130    3.7088E-02    3.6739E-02    3.4835E-04
  0.140    3.9992E-02    3.9616E-02    3.7628E-04
  0.150    4.2905E-02    4.2501E-02    4.0439E-04
  0.160    4.5828E-02    4.5395E-02    4.3269E-04
  0.170    4.8759E-02    4.8298E-02    4.6118E-04
  0.180    5.1700E-02    5.1210E-02    4.8986E-04
  0.190    5.4651E-02    5.4132E-02    5.1875E-04
  0.200    5.7612E-02    5.7064E-02    5.4784E-04
  0.210    6.0583E-02    6.0006E-02    5.7713E-04
  0.220    6.3566E-02    6.2959E-02    6.0664E-04
  0.230    6.6559E-02    6.5923E-02    6.3638E-04
  0.240    6.9564E-02    6.8898E-02    6.6633E-04
  0.250    7.2581E-02    7.1885E-02    6.9652E-04
  0.260    7.5610E-02    7.4883E-02    7.2694E-04
  0.270    7.8652E-02    7.7894E-02    7.5760E-04
  0.280    8.1706E-02    8.0918E-02    7.8851E-04
  0.290    8.4774E-02    8.3954E-02    8.1967E-04
  0.300    8.7856E-02    8.7005E-02    8.5109E-04
  0.310    9.0951E-02    9.0069E-02    8.8278E-04
  0.320    9.4062E-02    9.3147E-02    9.1474E-04
  0.330    9.7187E-02    9.6240E-02    9.4698E-04
  0.340    1.0033E-01    9.9348E-02    9.7951E-04
  0.350    1.0348E-01    1.0247E-01    1.0123E-03
  0.360    1.0666E-01    1.0561E-01    1.0454E-03
  0.370    1.0985E-01    1.0877E-01    1.0789E-03
  0.380    1.1305E-01    1.1194E-01    1.1126E-03
  0.390    1.1628E-01    1.1513E-01    1.1467E-03
  0.400    1.1952E-01    1.1834E-01    1.1811E-03
