 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8368E-03    2.8110E-03    2.5813E-05
  0.020    5.6794E-03    5.6276E-03    5.1751E-05
  0.030    8.5279E-03    8.4501E-03    7.7816E-05
  0.040    1.1383E-02    1.1279E-02    1.0401E-04
  0.050    1.4244E-02    1.4114E-02    1.3034E-04
  0.060    1.7112E-02    1.6955E-02    1.5681E-04
  0.070    1.9987E-02    1.9804E-02    1.8342E-04
  0.080    2.2869E-02    2.2659E-02    2.1017E-04
  0.090    2.5759E-02    2.5522E-02    2.3707E-04
  0.100    2.8657E-02    2.8393E-02    2.6412E-04
  0.110    3.1562E-02    3.1271E-02    2.9132E-04
  0.120    3.4476E-02    3.4158E-02    3.1869E-04
  0.130    3.7399E-02    3.7053E-02    3.4621E-04
  0.140    4.0330E-02    3.9957E-02    3.7390E-04
  0.150    4.3271E-02    4.2869E-02    4.0177E-04
  0.160    4.6221E-02    4.5792E-02    4.2981E-04
  0.170    4.9181E-02    4.8723E-02    4.5802E-04
  0.180    5.2152E-02    5.1665E-02    4.8642E-04
  0.190    5.5132E-02    5.4617E-02    5.1501E-04
  0.200    5.8124E-02    5.7580E-02    5.4379E-04
  0.210    6.1126E-02    6.0554E-02    5.7277E-04
  0.220    6.4141E-02    6.3539E-02    6.0194E-04
  0.230    6.7167E-02    6.6535E-02    6.3133E-04
  0.240    7.0205E-02    6.9544E-02    6.6092E-04
  0.250    7.3256E-02    7.2565E-02    6.9074E-04
  0.260    7.6320E-02    7.5599E-02    7.2077E-04
  0.270    7.9397E-02    7.8646E-02    7.5103E-04
  0.280    8.2488E-02    8.1706E-02    7.8153E-04
  0.290    8.5593E-02    8.4781E-02    8.1226E-04
  0.300    8.8713E-02    8.7870E-02    8.4324E-04
  0.310    9.1849E-02    9.0974E-02    8.7447E-04
  0.320    9.4999E-02    9.4094E-02    9.0596E-04
  0.330    9.8166E-02    9.7229E-02    9.3771E-04
  0.340    1.0135E-01    1.0038E-01    9.6973E-04
  0.350    1.0455E-01    1.0355E-01    1.0020E-03
  0.360    1.0777E-01    1.0673E-01    1.0346E-03
  0.370    1.1100E-01    1.0994E-01    1.0675E-03
  0.380    1.1426E-01    1.1316E-01    1.1007E-03
  0.390    1.1753E-01    1.1640E-01    1.1341E-03
  0.400    1.2083E-01    1.1966E-01    1.1679E-03
  0.410    1.2414E-01    1.2294E-01    1.2020E-03
  0.420    1.2748E-01    1.2624E-01    1.2365E-03
  0.430    1.3083E-01    1.2956E-01    1.2713E-03
  0.440    1.3421E-01    1.3291E-01    1.3064E-03
  0.450    1.3761E-01    1.3627E-01    1.3419E-03
  0.460    1.4104E-01    1.3966E-01    1.3778E-03
  0.470    1.4449E-01    1.4308E-01    1.4140E-03
  0.480    1.4797E-01    1.4652E-01    1.4507E-03
  0.490    1.5147E-01    1.4998E-01    1.4877E-03
  0.500    1.5500E-01    1.5347E-01    1.5252E-03
  0.510    1.5855E-01    1.5699E-01    1.5631E-03
  0.520    1.6214E-01    1.6054E-01    1.6014E-03
  0.530    1.6575E-01    1.6411E-01    1.6401E-03
  0.540    1.6940E-01    1.6772E-01    1.6794E-03
  0.550    1.7307E-01    1.7135E-01    1.7191E-03
  0.560    1.7678E-01    1.7502E-01    1.7593E-03
  0.570    1.8052E-01    1.7872E-01    1.8000E-03
  0.580    1.8430E-01    1.8246E-01    1.8412E-03
  0.590    1.8811E-01    1.8623E-01    1.8829E-03
  0.600    1.9196E-01    1.9004E-01    1.9253E-03
  0.610    1.9585E-01    1.9388E-01    1.9681E-03
  0.620    1.9978E-01    1.9777E-01    2.0116E-03
  0.630    2.0375E-01    2.0169E-01    2.0557E-03
  0.640    2.0776E-01    2.0566E-01    2.1004E-03
  0.650    2.1181E-01    2.0966E-01    2.1458E-03
  0.660    2.1591E-01    2.1372E-01    2.1919E-03
  0.670    2.2006E-01    2.1782E-01    2.2386E-03
  0.680    2.2425E-01    2.2197E-01    2.2861E-03
  0.690    2.2850E-01    2.2616E-01    2.3343E-03
  0.700    2.3280E-01    2.3041E-01    2.3833E-03
  0.710    2.3715E-01    2.3472E-01    2.4330E-03
  0.720    2.4156E-01    2.3908E-01    2.4837E-03
  0.730    2.4603E-01    2.4349E-01    2.5352E-03
  0.740    2.5056E-01    2.4797E-01    2.5875E-03
  0.750    2.5515E-01    2.5251E-01    2.6408E-03
  0.760    2.5981E-01    2.5711E-01    2.6951E-03
  0.770    2.6454E-01    2.6179E-01    2.7504E-03
  0.780    2.6933E-01    2.6653E-01    2.8067E-03
  0.790    2.7421E-01    2.7134E-01    2.8641E-03
  0.800    2.7916E-01    2.7624E-01    2.9227E-03
  0.810    2.8419E-01    2.8121E-01    2.9824E-03
  0.820    2.8931E-01    2.8626E-01    3.0433E-03
  0.830    2.9451E-01    2.9141E-01    3.1056E-03
  0.840    2.9981E-01    2.9664E-01    3.1691E-03
  0.850    3.0520E-01    3.0197E-01    3.2341E-03
  0.860    3.1070E-01    3.0740E-01    3.3006E-03
  0.870    3.1630E-01    3.1293E-01    3.3686E-03
  0.880    3.2201E-01    3.1857E-01    3.4381E-03
  0.890    3.2784E-01    3.2433E-01    3.5094E-03
  0.900    3.3380E-01    3.3021E-01    3.5824E-03
  0.910    3.3988E-01    3.3622E-01    3.6573E-03
  0.920    3.4609E-01    3.4236E-01    3.7342E-03
  0.930    3.5245E-01    3.4864E-01    3.8130E-03
  0.940    3.5897E-01    3.5507E-01    3.8941E-03
  0.950    3.6564E-01    3.6166E-01    3.9774E-03
  0.960    3.7248E-01    3.6841E-01    4.0631E-03
  0.970    3.7950E-01    3.7534E-01    4.1513E-03
  0.980    3.8670E-01    3.8246E-01    4.2422E-03
  0.990    3.9411E-01    3.8977E-01    4.3359E-03
  1.000    4.0173E-01    3.9730E-01    4.4326E-03
