 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7806E-03    2.7545E-03    2.6125E-05
  0.020    5.5665E-03    5.5142E-03    5.2380E-05
  0.030    8.3580E-03    8.2792E-03    7.8769E-05
  0.040    1.1155E-02    1.1050E-02    1.0529E-04
  0.050    1.3958E-02    1.3826E-02    1.3196E-04
  0.060    1.6768E-02    1.6609E-02    1.5877E-04
  0.070    1.9584E-02    1.9398E-02    1.8573E-04
  0.080    2.2406E-02    2.2193E-02    2.1284E-04
  0.090    2.5236E-02    2.4996E-02    2.4010E-04
  0.100    2.8072E-02    2.7805E-02    2.6752E-04
  0.110    3.0917E-02    3.0622E-02    2.9511E-04
  0.120    3.3769E-02    3.3446E-02    3.2285E-04
  0.130    3.6629E-02    3.6278E-02    3.5077E-04
  0.140    3.9497E-02    3.9118E-02    3.7887E-04
  0.150    4.2374E-02    4.1967E-02    4.0714E-04
  0.160    4.5259E-02    4.4824E-02    4.3559E-04
  0.170    4.8154E-02    4.7690E-02    4.6423E-04
  0.180    5.1059E-02    5.0566E-02    4.9306E-04
  0.190    5.3973E-02    5.3451E-02    5.2209E-04
  0.200    5.6897E-02    5.6346E-02    5.5132E-04
  0.210    5.9831E-02    5.9251E-02    5.8076E-04
  0.220    6.2777E-02    6.2166E-02    6.1040E-04
  0.230    6.5733E-02    6.5093E-02    6.4026E-04
  0.240    6.8701E-02    6.8031E-02    6.7034E-04
  0.250    7.1681E-02    7.0980E-02    7.0065E-04
  0.260    7.4672E-02    7.3941E-02    7.3119E-04
  0.270    7.7677E-02    7.6915E-02    7.6196E-04
  0.280    8.0694E-02    7.9901E-02    7.9298E-04
  0.290    8.3724E-02    8.2900E-02    8.2425E-04
  0.300    8.6768E-02    8.5913E-02    8.5578E-04
  0.310    8.9827E-02    8.8939E-02    8.8757E-04
  0.320    9.2900E-02    9.1980E-02    9.1962E-04
  0.330    9.5988E-02    9.5036E-02    9.5195E-04
  0.340    9.9091E-02    9.8106E-02    9.8457E-04
  0.350    1.0221E-01    1.0119E-01    1.0175E-03
  0.360    1.0535E-01    1.0430E-01    1.0507E-03
  0.370    1.0850E-01    1.0741E-01    1.0842E-03
  0.380    1.1167E-01    1.1055E-01    1.1180E-03
  0.390    1.1486E-01    1.1370E-01    1.1521E-03
  0.400    1.1806E-01    1.1688E-01    1.1866E-03
  0.410    1.2129E-01    1.2007E-01    1.2214E-03
  0.420    1.2453E-01    1.2328E-01    1.2566E-03
  0.430    1.2780E-01    1.2651E-01    1.2921E-03
  0.440    1.3108E-01    1.2976E-01    1.3280E-03
  0.450    1.3439E-01    1.3303E-01    1.3642E-03
  0.460    1.3772E-01    1.3632E-01    1.4008E-03
  0.470    1.4107E-01    1.3964E-01    1.4379E-03
  0.480    1.4445E-01    1.4298E-01    1.4753E-03
  0.490    1.4785E-01    1.4634E-01    1.5132E-03
  0.500    1.5128E-01    1.4972E-01    1.5515E-03
  0.510    1.5473E-01    1.5314E-01    1.5903E-03
  0.520    1.5821E-01    1.5658E-01    1.6295E-03
  0.530    1.6171E-01    1.6004E-01    1.6691E-03
  0.540    1.6524E-01    1.6354E-01    1.7093E-03
  0.550    1.6881E-01    1.6706E-01    1.7500E-03
  0.560    1.7240E-01    1.7061E-01    1.7912E-03
  0.570    1.7602E-01    1.7419E-01    1.8329E-03
  0.580    1.7968E-01    1.7781E-01    1.8751E-03
  0.590    1.8337E-01    1.8145E-01    1.9180E-03
  0.600    1.8710E-01    1.8513E-01    1.9614E-03
  0.610    1.9086E-01    1.8885E-01    2.0054E-03
  0.620    1.9465E-01    1.9260E-01    2.0500E-03
  0.630    1.9849E-01    1.9639E-01    2.0953E-03
  0.640    2.0236E-01    2.0022E-01    2.1413E-03
  0.650    2.0628E-01    2.0409E-01    2.1879E-03
  0.660    2.1023E-01    2.0800E-01    2.2353E-03
  0.670    2.1423E-01    2.1195E-01    2.2833E-03
  0.680    2.1828E-01    2.1595E-01    2.3322E-03
  0.690    2.2237E-01    2.1999E-01    2.3818E-03
  0.700    2.2652E-01    2.2408E-01    2.4323E-03
  0.710    2.3071E-01    2.2823E-01    2.4835E-03
  0.720    2.3495E-01    2.3242E-01    2.5357E-03
  0.730    2.3925E-01    2.3666E-01    2.5888E-03
  0.740    2.4361E-01    2.4097E-01    2.6428E-03
  0.750    2.4802E-01    2.4533E-01    2.6978E-03
  0.760    2.5250E-01    2.4975E-01    2.7538E-03
  0.770    2.5704E-01    2.5423E-01    2.8109E-03
  0.780    2.6164E-01    2.5877E-01    2.8690E-03
  0.790    2.6632E-01    2.6339E-01    2.9283E-03
  0.800    2.7106E-01    2.6807E-01    2.9888E-03
  0.810    2.7588E-01    2.7283E-01    3.0506E-03
  0.820    2.8078E-01    2.7767E-01    3.1136E-03
  0.830    2.8576E-01    2.8259E-01    3.1779E-03
  0.840    2.9083E-01    2.8758E-01    3.2437E-03
  0.850    2.9598E-01    2.9267E-01    3.3109E-03
  0.860    3.0123E-01    2.9785E-01    3.3797E-03
  0.870    3.0657E-01    3.0312E-01    3.4500E-03
  0.880    3.1202E-01    3.0850E-01    3.5220E-03
  0.890    3.1757E-01    3.1398E-01    3.5957E-03
  0.900    3.2324E-01    3.1957E-01    3.6713E-03
  0.910    3.2902E-01    3.2527E-01    3.7488E-03
  0.920    3.3493E-01    3.3110E-01    3.8282E-03
  0.930    3.4096E-01    3.3705E-01    3.9098E-03
  0.940    3.4713E-01    3.4314E-01    3.9936E-03
  0.950    3.5345E-01    3.4937E-01    4.0796E-03
  0.960    3.5992E-01    3.5575E-01    4.1681E-03
  0.970    3.6654E-01    3.6228E-01    4.2591E-03
  0.980    3.7334E-01    3.6899E-01    4.3529E-03
  0.990    3.8031E-01    3.7586E-01    4.4494E-03
  1.000    3.8748E-01    3.8293E-01    4.5489E-03
