 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8768E-03    2.8512E-03    2.5549E-05
  0.020    5.7591E-03    5.7079E-03    5.1233E-05
  0.030    8.6472E-03    8.5701E-03    7.7053E-05
  0.040    1.1541E-02    1.1438E-02    1.0301E-04
  0.050    1.4442E-02    1.4312E-02    1.2912E-04
  0.060    1.7348E-02    1.7193E-02    1.5537E-04
  0.070    2.0262E-02    2.0080E-02    1.8177E-04
  0.080    2.3183E-02    2.2974E-02    2.0832E-04
  0.090    2.6111E-02    2.5876E-02    2.3504E-04
  0.100    2.9046E-02    2.8784E-02    2.6191E-04
  0.110    3.1989E-02    3.1700E-02    2.8894E-04
  0.120    3.4941E-02    3.4624E-02    3.1615E-04
  0.130    3.7900E-02    3.7557E-02    3.4353E-04
  0.140    4.0869E-02    4.0497E-02    3.7108E-04
  0.150    4.3846E-02    4.3447E-02    3.9881E-04
  0.160    4.6832E-02    4.6406E-02    4.2673E-04
  0.170    4.9828E-02    4.9374E-02    4.5483E-04
  0.180    5.2834E-02    5.2351E-02    4.8313E-04
  0.190    5.5851E-02    5.5339E-02    5.1163E-04
  0.200    5.8877E-02    5.8337E-02    5.4033E-04
  0.210    6.1915E-02    6.1345E-02    5.6924E-04
  0.220    6.4963E-02    6.4365E-02    5.9836E-04
  0.230    6.8023E-02    6.7396E-02    6.2769E-04
  0.240    7.1096E-02    7.0438E-02    6.5725E-04
  0.250    7.4180E-02    7.3493E-02    6.8704E-04
  0.260    7.7277E-02    7.6560E-02    7.1706E-04
  0.270    8.0387E-02    7.9639E-02    7.4732E-04
  0.280    8.3510E-02    8.2732E-02    7.7783E-04
  0.290    8.6647E-02    8.5839E-02    8.0858E-04
  0.300    8.9799E-02    8.8959E-02    8.3960E-04
  0.310    9.2965E-02    9.2094E-02    8.7088E-04
  0.320    9.6146E-02    9.5243E-02    9.0242E-04
  0.330    9.9343E-02    9.8408E-02    9.3425E-04
  0.340    1.0256E-01    1.0159E-01    9.6636E-04
  0.350    1.0578E-01    1.0479E-01    9.9876E-04
  0.360    1.0903E-01    1.0800E-01    1.0315E-03
  0.370    1.1229E-01    1.1123E-01    1.0645E-03
  0.380    1.1558E-01    1.1448E-01    1.0978E-03
  0.390    1.1888E-01    1.1774E-01    1.1314E-03
  0.400    1.2219E-01    1.2103E-01    1.1654E-03
  0.410    1.2553E-01    1.2433E-01    1.1997E-03
  0.420    1.2889E-01    1.2766E-01    1.2344E-03
  0.430    1.3227E-01    1.3100E-01    1.2694E-03
  0.440    1.3567E-01    1.3437E-01    1.3048E-03
  0.450    1.3910E-01    1.3776E-01    1.3406E-03
  0.460    1.4254E-01    1.4117E-01    1.3768E-03
  0.470    1.4601E-01    1.4460E-01    1.4134E-03
  0.480    1.4951E-01    1.4806E-01    1.4504E-03
  0.490    1.5302E-01    1.5154E-01    1.4878E-03
  0.500    1.5657E-01    1.5504E-01    1.5256E-03
  0.510    1.6014E-01    1.5858E-01    1.5639E-03
  0.520    1.6374E-01    1.6213E-01    1.6027E-03
  0.530    1.6736E-01    1.6572E-01    1.6419E-03
  0.540    1.7102E-01    1.6934E-01    1.6816E-03
  0.550    1.7470E-01    1.7298E-01    1.7218E-03
  0.560    1.7842E-01    1.7666E-01    1.7626E-03
  0.570    1.8217E-01    1.8036E-01    1.8039E-03
  0.580    1.8595E-01    1.8410E-01    1.8457E-03
  0.590    1.8976E-01    1.8787E-01    1.8881E-03
  0.600    1.9361E-01    1.9168E-01    1.9311E-03
  0.610    1.9750E-01    1.9552E-01    1.9747E-03
  0.620    2.0142E-01    1.9940E-01    2.0189E-03
  0.630    2.0538E-01    2.0332E-01    2.0638E-03
  0.640    2.0939E-01    2.0728E-01    2.1094E-03
  0.650    2.1343E-01    2.1127E-01    2.1556E-03
  0.660    2.1751E-01    2.1531E-01    2.2026E-03
  0.670    2.2165E-01    2.1940E-01    2.2502E-03
  0.680    2.2582E-01    2.2352E-01    2.2987E-03
  0.690    2.3005E-01    2.2770E-01    2.3479E-03
  0.700    2.3432E-01    2.3192E-01    2.3980E-03
  0.710    2.3864E-01    2.3619E-01    2.4489E-03
  0.720    2.4302E-01    2.4052E-01    2.5007E-03
  0.730    2.4745E-01    2.4490E-01    2.5534E-03
  0.740    2.5194E-01    2.4933E-01    2.6070E-03
  0.750    2.5649E-01    2.5383E-01    2.6616E-03
  0.760    2.6110E-01    2.5838E-01    2.7172E-03
  0.770    2.6577E-01    2.6300E-01    2.7739E-03
  0.780    2.7051E-01    2.6768E-01    2.8317E-03
  0.790    2.7532E-01    2.7243E-01    2.8906E-03
  0.800    2.8020E-01    2.7725E-01    2.9507E-03
  0.810    2.8516E-01    2.8215E-01    3.0120E-03
  0.820    2.9020E-01    2.8712E-01    3.0746E-03
  0.830    2.9531E-01    2.9217E-01    3.1386E-03
  0.840    3.0051E-01    2.9731E-01    3.2039E-03
  0.850    3.0580E-01    3.0253E-01    3.2707E-03
  0.860    3.1119E-01    3.0785E-01    3.3390E-03
  0.870    3.1667E-01    3.1326E-01    3.4089E-03
  0.880    3.2225E-01    3.1877E-01    3.4805E-03
  0.890    3.2794E-01    3.2439E-01    3.5537E-03
  0.900    3.3374E-01    3.3011E-01    3.6288E-03
  0.910    3.3966E-01    3.3595E-01    3.7058E-03
  0.920    3.4570E-01    3.4192E-01    3.7848E-03
  0.930    3.5187E-01    3.4801E-01    3.8658E-03
  0.940    3.5818E-01    3.5423E-01    3.9490E-03
  0.950    3.6463E-01    3.6060E-01    4.0346E-03
  0.960    3.7123E-01    3.6711E-01    4.1225E-03
  0.970    3.7799E-01    3.7378E-01    4.2130E-03
  0.980    3.8492E-01    3.8062E-01    4.3062E-03
  0.990    3.9203E-01    3.8763E-01    4.4022E-03
  1.000    3.9933E-01    3.9483E-01    4.5011E-03
