 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.8617E-03    2.8355E-03    2.6213E-05
  0.020    5.7289E-03    5.6764E-03    5.2560E-05
  0.030    8.6020E-03    8.5229E-03    7.9046E-05
  0.040    1.1481E-02    1.1375E-02    1.0567E-04
  0.050    1.4366E-02    1.4234E-02    1.3244E-04
  0.060    1.7258E-02    1.7099E-02    1.5936E-04
  0.070    2.0156E-02    1.9970E-02    1.8643E-04
  0.080    2.3062E-02    2.2848E-02    2.1365E-04
  0.090    2.5974E-02    2.5733E-02    2.4103E-04
  0.100    2.8894E-02    2.8625E-02    2.6857E-04
  0.110    3.1822E-02    3.1525E-02    2.9627E-04
  0.120    3.4757E-02    3.4433E-02    3.2414E-04
  0.130    3.7701E-02    3.7349E-02    3.5218E-04
  0.140    4.0653E-02    4.0273E-02    3.8040E-04
  0.150    4.3614E-02    4.3205E-02    4.0879E-04
  0.160    4.6584E-02    4.6146E-02    4.3737E-04
  0.170    4.9563E-02    4.9097E-02    4.6614E-04
  0.180    5.2552E-02    5.2057E-02    4.9509E-04
  0.190    5.5551E-02    5.5026E-02    5.2425E-04
  0.200    5.8560E-02    5.8006E-02    5.5360E-04
  0.210    6.1579E-02    6.0996E-02    5.8316E-04
  0.220    6.4610E-02    6.3997E-02    6.1293E-04
  0.230    6.7651E-02    6.7008E-02    6.4291E-04
  0.240    7.0704E-02    7.0031E-02    6.7311E-04
  0.250    7.3769E-02    7.3065E-02    7.0354E-04
  0.260    7.6846E-02    7.6112E-02    7.3419E-04
  0.270    7.9936E-02    7.9171E-02    7.6508E-04
  0.280    8.3039E-02    8.2242E-02    7.9622E-04
  0.290    8.6154E-02    8.5327E-02    8.2760E-04
  0.300    8.9284E-02    8.8425E-02    8.5923E-04
  0.310    9.2428E-02    9.1537E-02    8.9112E-04
  0.320    9.5586E-02    9.4663E-02    9.2327E-04
  0.330    9.8760E-02    9.7804E-02    9.5570E-04
  0.340    1.0195E-01    1.0096E-01    9.8841E-04
  0.350    1.0515E-01    1.0413E-01    1.0214E-03
  0.360    1.0837E-01    1.0732E-01    1.0547E-03
  0.370    1.1161E-01    1.1052E-01    1.0883E-03
  0.380    1.1487E-01    1.1374E-01    1.1222E-03
  0.390    1.1814E-01    1.1698E-01    1.1564E-03
  0.400    1.2143E-01    1.2024E-01    1.1909E-03
  0.410    1.2474E-01    1.2352E-01    1.2258E-03
  0.420    1.2807E-01    1.2681E-01    1.2610E-03
  0.430    1.3142E-01    1.3012E-01    1.2965E-03
  0.440    1.3479E-01    1.3346E-01    1.3324E-03
  0.450    1.3818E-01    1.3681E-01    1.3687E-03
  0.460    1.4160E-01    1.4019E-01    1.4054E-03
