 Curly R     I/F(total)  I/F(solar)   I/F(saturn)
 ---------------------------------------------------
  0.010    2.7469E-03    2.7208E-03    2.6063E-05
  0.020    5.4999E-03    5.4476E-03    5.2257E-05
  0.030    8.2592E-03    8.1806E-03    7.8584E-05
  0.040    1.1025E-02    1.0920E-02    1.0505E-04
  0.050    1.3798E-02    1.3666E-02    1.3165E-04
  0.060    1.6578E-02    1.6419E-02    1.5839E-04
  0.070    1.9365E-02    1.9179E-02    1.8529E-04
  0.080    2.2159E-02    2.1947E-02    2.1233E-04
  0.090    2.4962E-02    2.4722E-02    2.3952E-04
  0.100    2.7772E-02    2.7506E-02    2.6687E-04
  0.110    3.0591E-02    3.0297E-02    2.9438E-04
  0.120    3.3419E-02    3.3097E-02    3.2206E-04
  0.130    3.6256E-02    3.5906E-02    3.4990E-04
  0.140    3.9102E-02    3.8724E-02    3.7792E-04
  0.150    4.1957E-02    4.1551E-02    4.0611E-04
  0.160    4.4823E-02    4.4388E-02    4.3448E-04
  0.170    4.7698E-02    4.7235E-02    4.6304E-04
  0.180    5.0585E-02    5.0093E-02    4.9178E-04
  0.190    5.3482E-02    5.2961E-02    5.2072E-04
  0.200    5.6390E-02    5.5840E-02    5.4986E-04
  0.210    5.9310E-02    5.8730E-02    5.7920E-04
  0.220    6.2241E-02    6.1633E-02    6.0875E-04
  0.230    6.5185E-02    6.4547E-02    6.3851E-04
  0.240    6.8142E-02    6.7473E-02    6.6850E-04
  0.250    7.1112E-02    7.0413E-02    6.9870E-04
  0.260    7.4095E-02    7.3365E-02    7.2914E-04
  0.270    7.7091E-02    7.6332E-02    7.5981E-04
  0.280    8.0103E-02    7.9312E-02    7.9072E-04
  0.290    8.3128E-02    8.2306E-02    8.2188E-04
  0.300    8.6169E-02    8.5316E-02    8.5329E-04
  0.310    8.9226E-02    8.8341E-02    8.8497E-04
  0.320    9.2298E-02    9.1381E-02    9.1691E-04
  0.330    9.5387E-02    9.4438E-02    9.4913E-04
  0.340    9.8493E-02    9.7511E-02    9.8162E-04
  0.350    1.0162E-01    1.0060E-01    1.0144E-03
  0.360    1.0476E-01    1.0371E-01    1.0475E-03
  0.370    1.0792E-01    1.0684E-01    1.0809E-03
  0.380    1.1110E-01    1.0998E-01    1.1146E-03
  0.390    1.1430E-01    1.1315E-01    1.1486E-03
  0.400    1.1751E-01    1.1633E-01    1.1829E-03
  0.410    1.2075E-01    1.1954E-01    1.2176E-03
  0.420    1.2402E-01    1.2276E-01    1.2527E-03
  0.430    1.2730E-01    1.2601E-01    1.2881E-03
  0.440    1.3060E-01    1.2928E-01    1.3238E-03
  0.450    1.3393E-01    1.3257E-01    1.3600E-03
  0.460    1.3729E-01    1.3589E-01    1.3965E-03
  0.470    1.4067E-01    1.3923E-01    1.4334E-03
  0.480    1.4407E-01    1.4260E-01    1.4708E-03
  0.490    1.4750E-01    1.4599E-01    1.5086E-03
  0.500    1.5096E-01    1.4941E-01    1.5468E-03
  0.510    1.5445E-01    1.5286E-01    1.5854E-03
  0.520    1.5796E-01    1.5634E-01    1.6245E-03
  0.530    1.6151E-01    1.5984E-01    1.6641E-03
  0.540    1.6508E-01    1.6338E-01    1.7042E-03
  0.550    1.6869E-01    1.6694E-01    1.7448E-03
  0.560    1.7233E-01    1.7054E-01    1.7860E-03
  0.570    1.7600E-01    1.7418E-01    1.8276E-03
  0.580    1.7971E-01    1.7784E-01    1.8699E-03
  0.590    1.8346E-01    1.8155E-01    1.9127E-03
  0.600    1.8724E-01    1.8529E-01    1.9561E-03
  0.610    1.9106E-01    1.8906E-01    2.0001E-03
  0.620    1.9492E-01    1.9288E-01    2.0447E-03
  0.630    1.9883E-01    1.9674E-01    2.0900E-03
  0.640    2.0277E-01    2.0064E-01    2.1360E-03
  0.650    2.0676E-01    2.0458E-01    2.1827E-03
  0.660    2.1080E-01    2.0857E-01    2.2301E-03
  0.670    2.1488E-01    2.1260E-01    2.2783E-03
  0.680    2.1901E-01    2.1668E-01    2.3273E-03
  0.690    2.2319E-01    2.2081E-01    2.3771E-03
  0.700    2.2742E-01    2.2499E-01    2.4277E-03
  0.710    2.3171E-01    2.2923E-01    2.4792E-03
  0.720    2.3605E-01    2.3352E-01    2.5316E-03
  0.730    2.4045E-01    2.3787E-01    2.5849E-03
  0.740    2.4491E-01    2.4228E-01    2.6392E-03
  0.750    2.4944E-01    2.4674E-01    2.6946E-03
  0.760    2.5403E-01    2.5128E-01    2.7510E-03
  0.770    2.5869E-01    2.5588E-01    2.8084E-03
  0.780    2.6341E-01    2.6055E-01    2.8671E-03
  0.790    2.6821E-01    2.6529E-01    2.9269E-03
  0.800    2.7309E-01    2.7010E-01    2.9880E-03
  0.810    2.7804E-01    2.7499E-01    3.0504E-03
  0.820    2.8308E-01    2.7997E-01    3.1142E-03
  0.830    2.8820E-01    2.8502E-01    3.1793E-03
  0.840    2.9341E-01    2.9017E-01    3.2460E-03
  0.850    2.9872E-01    2.9540E-01    3.3142E-03
  0.860    3.0412E-01    3.0073E-01    3.3840E-03
  0.870    3.0962E-01    3.0616E-01    3.4556E-03
  0.880    3.1523E-01    3.1170E-01    3.5289E-03
  0.890    3.2094E-01    3.1734E-01    3.6041E-03
  0.900    3.2678E-01    3.2309E-01    3.6813E-03
  0.910    3.3273E-01    3.2897E-01    3.7606E-03
  0.920    3.3881E-01    3.3496E-01    3.8420E-03
  0.930    3.4502E-01    3.4109E-01    3.9257E-03
  0.940    3.5136E-01    3.4735E-01    4.0119E-03
  0.950    3.5786E-01    3.5376E-01    4.1006E-03
  0.960    3.6450E-01    3.6031E-01    4.1920E-03
  0.970    3.7131E-01    3.6702E-01    4.2863E-03
  0.980    3.7828E-01    3.7389E-01    4.3836E-03
  0.990    3.8543E-01    3.8094E-01    4.4841E-03
  1.000    3.9276E-01    3.8817E-01    4.5880E-03
